symbol,date,has_bars,underlying,daily_close,r,prior_close,close_1500,entry_open,entry_low,entry_high,qualifies,side,sho_gate,F,eff_entry,stopped_2pct,stop_exit
KEYS,2025-01-21,False,KEYS,170.97,,,,,,,,,,,,,
KEYS,2025-01-31,False,KEYS,178.35,,,,,,,,,,,,,
KEYS,2025-02-21,False,KEYS,175.45,,,,,,,,,,,,,
KEYS,2025-02-26,False,KEYS,160.36,,,,,,,,,,,,,
KEYS,2025-03-28,False,KEYS,150.33,,,,,,,,,,,,,
KEYS,2025-04-03,False,KEYS,135.73,,,,,,,,,,,,,
KEYS,2025-04-04,False,KEYS,127.02,,,,,,,,,,,,,
KEYS,2025-04-09,True,KEYS,142.5,0.08541731791184737,127.96,138.89,138.89,138.89,139.49,True,1.0,True,,139.05189592488088,False,
KEYS,2025-04-10,False,KEYS,133.41,,,,,,,,,,,,,
KEYS,2025-04-24,False,KEYS,143.79,,,,,,,,,,,,,
KEYS,2025-05-12,False,KEYS,162.63,,,,,,,,,,,,,
KEYS,2025-08-01,False,KEYS,158.68,,,,,,,,,,,,,
KEYS,2025-08-12,False,KEYS,167.09,,,,,,,,,,,,,
KEYS,2025-08-14,False,KEYS,164.48,,,,,,,,,,,,,
KEYS,2025-08-20,False,KEYS,158.51,,,,,,,,,,,,,
KEYS,2025-08-22,False,KEYS,166.87,,,,,,,,,,,,,
KEYS,2025-10-10,False,KEYS,159.49,,,,,,,,,,,,,
KEYS,2025-10-31,False,KEYS,182.96,,,,,,,,,,,,,
KEYS,2025-11-04,False,KEYS,179.1,,,,,,,,,,,,,
KEYS,2025-11-05,False,KEYS,185.85,,,,,,,,,,,,,
KEYS,2025-11-13,False,KEYS,178.37,,,,,,,,,,,,,
KEYS,2025-11-25,False,KEYS,195.46,,,,,,,,,,,,,
KEYS,2025-12-17,False,KEYS,198.53,,,,,,,,,,,,,
KEYS,2026-02-02,False,KEYS,223.26,,,,,,,,,,,,,
KEYS,2026-02-06,False,KEYS,230.95,,,,,,,,,,,,,
KEYS,2026-02-12,False,KEYS,229.48,,,,,,,,,,,,,
KEYS,2026-02-24,False,KEYS,301.48,,,,,,,,,,,,,
KEYS,2026-03-03,False,KEYS,302.54,,,,,,,,,,,,,
KEYS,2026-03-05,False,KEYS,284.51,,,,,,,,,,,,,
KEYS,2026-03-06,False,KEYS,272.43,,,,,,,,,,,,,
KEYS,2026-03-09,False,KEYS,282.02,,,,,,,,,,,,,
KEYS,2026-03-20,False,KEYS,277.53,,,,,,,,,,,,,
KEYS,2026-03-23,False,KEYS,288.96,,,,,,,,,,,,,
KEYS,2026-03-24,True,KEYS,298.58,0.03307135935769656,288.96,298.5163,298.86,298.56,298.86,False,,,,,,
KEYS,2026-03-26,False,KEYS,281.07,,,,,,,,,,,,,
KEYS,2026-03-30,False,KEYS,269.41,,,,,,,,,,,,,
KEYS,2026-03-31,False,KEYS,282.37,,,,,,,,,,,,,
KEYS,2026-04-08,False,KEYS,318.33,,,,,,,,,,,,,
KEYS,2026-04-30,False,KEYS,349.91,,,,,,,,,,,,,
KEYS,2026-05-06,False,KEYS,366.68,,,,,,,,,,,,,
KEYS,2026-05-07,False,KEYS,355.06,,,,,,,,,,,,,
KEYS,2026-05-15,False,KEYS,349.01,,,,,,,,,,,,,
ASYS,2025-01-08,False,ASYS,5.45,,,,,,,,,,,,,
ASYS,2025-01-27,False,ASYS,5.1,,,,,,,,,,,,,
ASYS,2025-02-04,False,ASYS,5.25,,,,,,,,,,,,,
ASYS,2025-02-06,False,ASYS,5.0,,,,,,,,,,,,,
ASYS,2025-02-07,False,ASYS,5.15,,,,,,,,,,,,,
ASYS,2025-02-12,False,ASYS,4.84,,,,,,,,,,,,,
ASYS,2025-02-18,False,ASYS,5.62,,,,,,,,,,,,,
ASYS,2025-02-21,False,ASYS,5.23,,,,,,,,,,,,,
ASYS,2025-02-25,False,ASYS,5.05,,,,,,,,,,,,,
ASYS,2025-03-10,False,ASYS,4.77,,,,,,,,,,,,,
ASYS,2025-08-08,False,ASYS,4.85,,,,,,,,,,,,,
ASYS,2025-08-18,True,ASYS,5.88,0.1530108588351431,5.065,5.84,5.7916,5.7916,5.7916,True,1.0,True,,5.798350928350063,False,
ASYS,2025-08-19,True,ASYS,5.4,-0.07823129251700678,5.88,5.42,5.41,5.41,5.42,True,-1.0,True,,5.403693880382996,True,5.511767757990657
ASYS,2025-08-20,False,ASYS,5.85,,,,,,,,,,,,,
ASYS,2025-08-21,True,ASYS,5.44,-0.06538461538461526,5.85,5.4675,5.475,5.475,5.475,True,-1.0,True,,5.4686181136962855,True,5.5779904759702115
ASYS,2025-08-22,True,ASYS,6.02,0.11397058823529393,5.44,6.06,6.0084,6.0084,6.0084,True,1.0,True,,6.015403639391276,True,5.89509556660345
ASYS,2025-08-28,True,ASYS,6.39,0.04020100502512558,5.97,6.21,6.25,6.2479,6.25,False,,,,,,
ASYS,2025-09-02,False,ASYS,5.925,,,,,,,,,,,,,
ASYS,2025-09-04,True,ASYS,6.41,0.09584482758620694,5.8,6.3559,6.39,6.34,6.39,True,1.0,True,,6.397448448124335,False,
ASYS,2025-09-08,True,ASYS,7.93,0.18457943925233655,6.42,7.605,7.61,7.61,7.61,True,1.0,True,,7.618870530551829,False,
ASYS,2025-09-11,True,ASYS,8.8,0.07329615861214367,8.07,8.6615,8.6501,8.65,8.6501,True,1.0,True,,8.660182914103336,False,
ASYS,2025-09-12,False,ASYS,9.24,,,,,,,,,,,,,
ASYS,2025-09-17,True,ASYS,8.74,-0.07229032258064516,9.3,8.6277,8.675,8.58,8.675,True,-1.0,True,,8.66488806142745,True,8.838185822655998
ASYS,2025-09-18,True,ASYS,9.5,0.07551487414187652,8.74,9.4,9.38,9.38,9.38,True,1.0,True,,9.39093371571303,False,
ASYS,2025-09-19,False,ASYS,9.04,,,,,,,,,,,,,
ASYS,2025-09-23,True,ASYS,9.65,0.0957446808510638,8.93,9.785,9.79,9.76,9.79,True,1.0,True,,9.801411628659974,True,9.605383396086774
ASYS,2025-09-24,True,ASYS,9.04,-0.04766839378238352,9.65,9.19,9.18,9.18,9.18,False,,,,,,
ASYS,2025-09-26,False,ASYS,9.44,,,,,,,,,,,,,
ASYS,2025-10-01,True,ASYS,9.68,0.04211663066954641,9.26,9.65,9.61,9.55,9.63,False,,,,,,
ASYS,2025-10-02,True,ASYS,8.9,-0.07663223140495867,9.68,8.9382,8.89,8.89,8.89,True,-1.0,True,,8.879637448540636,True,9.05723019751145
ASYS,2025-10-03,True,ASYS,9.17,0.004494382022471877,8.9,8.94,8.95,8.935,8.965,False,,,,,,
ASYS,2025-10-06,True,ASYS,10.44,0.13631406761177756,9.17,10.42,10.425,10.42,10.44,True,1.0,True,,10.437151810907073,False,
ASYS,2025-10-08,True,ASYS,9.77,-0.045988258317025466,10.22,9.75,9.74,9.74,9.74,False,,,,,,
ASYS,2025-10-10,True,ASYS,8.85,-0.10399999999999987,10.0,8.96,8.94,8.94,8.94,True,-1.0,False,,8.929579166473934,False,
ASYS,2025-10-13,True,ASYS,9.285,0.05028248587570627,8.85,9.295,9.27,9.245,9.27,True,1.0,True,,9.28080549516629,False,
