symbol,date,entry_time_et,entry_price,stop_loss,pnl,avg_volume_20d,err,ask_pre,bid_pre,t_fill,first_trade_px,bar_trade_hi,bar_n_trades,ask_fill,bid_fill,r_ps,R,mid,sp_bps,excess,excess_bps,dR,dR_pos
WYHG,2025-01-10,10:42:00,4.52,4.37,139.63,109600,,4.5,4.44,2025-01-10T15:42:05.969267+00:00,4.5,4.85,37.0,4.5,4.44,0.14999999999999947,0.069815,4.470000000000001,134.22818791946221,-0.019999999999999574,-44.24778761061853,-0.13333333333333097,0.0
CTEV,2025-01-13,09:36:00,14.82,14.45,-3248.37,194708,,14.9,14.17,2025-01-13T14:36:01.536902+00:00,14.535,14.89,17.0,14.9,14.17,0.370000000000001,-1.624185,14.535,502.2359821121434,0.08000000000000007,53.98110661268561,0.21621621621621584,0.21621621621621584
ASYS,2025-02-14,09:43:00,5.71,5.48,-366.62,36732,,5.77,5.59,2025-02-14T14:43:05.719716+00:00,5.6818,5.75,10.0,5.77,5.59,0.22999999999999954,-0.18331,5.68,316.90140845070374,0.05999999999999961,105.07880910682944,0.26086956521739013,0.26086956521739013
CNVS,2025-02-14,09:59:00,4.2,4.09,-622.89,145734,,4.22,4.17,2025-02-14T14:59:08.551058+00:00,4.177,4.22,38.0,4.22,4.17,0.11000000000000032,-0.31144499999999997,4.195,119.18951132300315,0.019999999999999574,47.619047619046604,0.1818181818181774,0.1818181818181774
FLD,2025-02-19,10:20:00,12.16,11.76,6243.9,127864,,12.0,11.77,2025-02-19T15:20:00.805287+00:00,11.9299,12.33,42.0,12.0,11.77,0.40000000000000036,3.12195,11.885,193.5212452671438,-0.16000000000000014,-131.57894736842115,-0.4,0.0
INSG,2025-02-20,09:49:00,9.5,9.18,467.22,114681,,9.32,9.19,2025-02-20T14:49:00.201178+00:00,9.255,9.48,68.0,9.32,9.19,0.3200000000000003,0.23361,9.254999999999999,140.46461372231312,-0.17999999999999972,-189.47368421052602,-0.5624999999999987,0.0
LE,2025-02-25,09:02:00,13.04,12.49,-241.45,80719,,12.98,12.62,2025-02-25T14:02:03.354935+00:00,12.9799,12.98,6.0,12.98,12.62,0.5499999999999989,-0.120725,12.8,281.25000000000097,-0.05999999999999872,-46.01226993864933,-0.10909090909090698,0.0
SCOR,2025-03-05,09:53:00,7.19,6.99,-161.36,20471,,7.19,7.01,2025-03-05T14:53:04.727559+00:00,7.1,7.3,42.0,7.19,7.01,0.20000000000000018,-0.08068,7.1,253.52112676056427,0.0,0.0,0.0,0.0
KLXE,2025-03-07,09:52:00,5.27,5.03,-1571.83,174056,,5.19,5.1,2025-03-07T14:52:02.006598+00:00,5.15,5.24,114.0,5.19,5.1,0.23999999999999932,-0.7859149999999999,5.145,174.92711370262538,-0.07999999999999918,-151.802656546488,-0.3333333333333309,0.0
YRD,2025-03-20,09:44:00,7.49,7.12,-1287.66,162917,,7.5,7.41,2025-03-20T13:44:00.771958+00:00,7.455,7.4831,14.0,7.5,7.41,0.3700000000000001,-0.64383,7.455,120.72434607645857,0.009999999999999787,13.351134846461663,0.027027027027026442,0.027027027027026442
ZYBT,2025-03-25,10:12:00,6.69,6.59,-205.03,83342,,6.7,6.6,2025-03-25T14:12:11.471671+00:00,6.65,6.7499,17.0,6.7,6.6,0.10000000000000053,-0.102515,6.65,150.37593984962484,0.009999999999999787,14.947683109117767,0.09999999999999734,0.09999999999999734
ARTV,2025-04-07,10:17:00,3.17,3.07,-498.55,131242,,3.19,3.07,2025-04-07T14:17:28.787241+00:00,3.19,3.19,7.0,3.19,3.11,0.10000000000000009,-0.249275,3.15,253.9682539682542,0.020000000000000018,63.09148264984233,0.2,0.2
INSG,2025-04-07,10:19:00,7.51,7.26,-1104.63,111077,,7.57,7.22,2025-04-07T14:19:13.833772+00:00,7.4772,7.4772,6.0,7.57,7.22,0.25,-0.552315,7.395,473.29276538201566,0.0600000000000005,79.8934753661791,0.240000000000002,0.240000000000002
UFI,2025-04-17,09:43:00,5.48,5.3,-462.16,59873,,5.4,5.34,2025-04-17T13:43:00.538435+00:00,5.4,5.45,6.0,5.4,5.34,0.1800000000000006,-0.23108,5.37,111.73184357541993,-0.08000000000000007,-145.98540145985413,-0.44444444444444337,0.0
RYM,2025-05-02,09:41:00,18.49,17.82,-536.84,18512,,19.0,18.1,2025-05-02T13:41:04.431937+00:00,18.4,18.64,22.0,19.0,18.1,0.6699999999999982,-0.26842,18.55,485.17520215633346,0.5100000000000016,275.82477014602574,0.7611940298507507,0.7611940298507507
GDEV,2025-05-05,10:05:00,14.43,13.88,248.87,27720,,15.51,14.3,2025-05-05T14:05:21.958360+00:00,14.7,15.08,19.0,15.51,14.3,0.5499999999999989,0.124435,14.905000000000001,811.8081180811802,1.08,748.4407484407485,1.9636363636363676,1.9636363636363676
LCFY,2025-05-07,09:49:00,5.43,5.19,-151.18,29392,,5.5,5.15,2025-05-07T13:49:04.717517+00:00,5.4,5.5,18.0,5.5,5.4,0.23999999999999932,-0.07559,5.45,183.48623853210944,0.07000000000000028,128.91344383057142,0.2916666666666687,0.2916666666666687
SOS,2025-05-12,09:58:00,7.01,6.79,27.93,10471,,7.0,6.68,2025-05-12T13:58:01.427577+00:00,6.9638,7.529,56.0,7.0,6.68,0.21999999999999975,0.013965,6.84,467.8362573099419,-0.009999999999999787,-14.265335235377728,-0.04545454545454454,0.0
GENK,2025-05-14,09:49:00,4.42,4.27,-120.4,36558,,,,2025-05-14T13:49:25.205139+00:00,4.4488,4.4488,12.0,4.45,4.35,0.15000000000000036,-0.060200000000000004,4.4,227.27272727272847,0.03000000000000025,67.87330316742138,0.20000000000000118,0.20000000000000118
FKWL,2025-05-19,09:46:00,4.11,3.95,112.63,25502,,4.16,4.0,2025-05-19T13:46:35.713924+00:00,4.0858,4.0858,1.0,4.16,4.0,0.16000000000000014,0.056315,4.08,392.15686274509835,0.04999999999999982,121.65450121654457,0.3124999999999986,0.3124999999999986
SAIH,2025-05-27,10:41:00,6.27,6.0,308.21,51643,,6.29,6.02,2025-05-27T14:41:10.073348+00:00,6.2373,6.2373,3.0,6.29,6.02,0.2699999999999996,0.154105,6.154999999999999,438.6677497969139,0.020000000000000462,31.897926634769476,0.0740740740740759,0.0740740740740759
YSXT,2025-05-28,10:22:00,7.87,7.58,1600.9,59505,,7.88,7.61,2025-05-28T14:22:04.506715+00:00,7.81,7.88,11.0,7.88,7.78,0.29000000000000004,0.80045,7.83,127.71392081736865,0.009999999999999787,12.706480304955257,0.03448275862068892,0.03448275862068892
