symbol,date,entry_price,stop_loss,pnl,avg_volume_20d,n_q_pre,n_q_bar,err,q_ts,bid,ask,spread,spread_bps,bar_med_spread_bps,r_ps,R,excess_$,excess_bps,dR
WYHG,2025-01-10,4.52,4.37,139.63,109600.0,3.0,70.0,,2025-01-10T15:41:49.770725+00:00,4.44,4.5,0.0599999999999996,134.2281879194622,474.4480906399951,0.14999999999999947,0.069815,0.0,-44.24778761061853,0.0
CTEV,2025-01-13,14.82,14.45,-3248.37,194708.0,10.0,14.0,,2025-01-13T14:35:59.994299+00:00,14.17,14.9,0.7300000000000004,502.2359821121434,502.2359821121434,0.370000000000001,-1.624185,0.08000000000000007,53.98110661268561,0.21621621621621584
ASYS,2025-02-14,5.71,5.48,-366.62,36732.0,50.0,3.0,,2025-02-14T14:42:59.440992+00:00,5.59,5.77,0.1799999999999997,316.90140845070374,282.1869488536158,0.22999999999999954,-0.18331,0.05999999999999961,105.07880910682944,0.26086956521739013
CNVS,2025-02-14,4.2,4.09,-622.89,145734.0,39.0,28.0,,2025-02-14T14:58:59.483895+00:00,4.17,4.22,0.0499999999999998,119.18951132300316,119.76047904191572,0.11000000000000032,-0.31144499999999997,0.019999999999999574,47.619047619046604,0.1818181818181774
FLD,2025-02-19,12.16,11.76,6243.9,127864.0,20.0,16.0,,2025-02-19T15:19:38.922074+00:00,11.77,12.0,0.2300000000000004,193.5212452671438,83.68200836820054,0.40000000000000036,3.12195,0.0,-131.57894736842115,0.0
INSG,2025-02-20,9.5,9.18,467.22,114681.0,79.0,94.0,,2025-02-20T14:48:58.253388+00:00,9.19,9.32,0.1300000000000007,140.46461372231312,180.3713527851458,0.3200000000000003,0.23361,0.0,-189.47368421052602,0.0
LE,2025-02-25,13.04,12.49,-241.45,80719.0,5.0,7.0,,2025-02-25T14:01:24.773766+00:00,12.62,12.98,0.3600000000000012,281.25000000000097,651.5906477577627,0.5499999999999989,-0.120725,0.0,-46.01226993864933,0.0
SCOR,2025-03-05,7.19,6.99,-161.36,20471.0,1.0,12.0,,2025-03-05T14:51:23.603780+00:00,7.01,7.19,0.1800000000000006,253.52112676056427,272.6164750542191,0.20000000000000018,-0.08068,0.0,0.0,0.0
KLXE,2025-03-07,5.27,5.03,-1571.83,174056.0,140.0,81.0,,2025-03-07T14:51:59.864829+00:00,5.1,5.19,0.0900000000000007,174.92711370262538,76.6283524904215,0.23999999999999932,-0.7859149999999999,0.0,-151.802656546488,0.0
YRD,2025-03-20,7.49,7.12,-1287.66,162917.0,82.0,14.0,,2025-03-20T13:43:59.993475+00:00,7.41,7.5,0.0899999999999998,120.72434607645856,134.2281879194626,0.3700000000000001,-0.64383,0.009999999999999787,13.351134846461663,0.027027027027026442
