symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry,R
WYHG,2025-01-10,10:42:00,4.52,4.37,4.77,2192,10:45:00,4.59,trail_stop,139.63,1.41,False,,0,0.0,34.02,109600,8.05,-2.19,False,-0.14,2,7.61,6.82,3.0,1.0,0.3,0.3,0.3,0.3,0.2,3.6,1.272,0.2,0.0,23.52,17.68,1.272,,0.069815
CTEV,2025-01-13,09:36:00,14.82,14.45,15.22,7788,09:38:00,14.41,stop,-3248.37,-2.81,False,,0,0.0,19.2,194708,4.28,5.53,False,0.02,2,15.4,5.55,2.3,2.0,0.0,0.3,0.3,0.3,0.2,2.3,1.356,0.2,0.0,15.4,0.568,1.356,,-1.624185
ASYS,2025-02-14,09:43:00,5.71,5.48,6.02,1468,09:51:00,5.46,stop,-366.62,-4.37,False,,0,0.0,18.45,36732,4.32,4.9,False,0.05,3,5.83,5.47,2.0,2.0,0.3,0.0,0.3,0.0,0.2,2.0,0.899,0.2,0.0,15.88,8.823,0.899,,-0.18331
CNVS,2025-02-14,09:59:00,4.2,4.09,4.39,5245,10:01:00,4.08,stop,-622.89,-2.83,False,,0,0.0,28.15,145734,0.17,2.68,False,0.05,3,6.89,0.84,1.9,1.8,0.3,0.3,0.3,0.0,0.0,1.9,0.899,0.0,0.0,28.42,1.211,0.899,,-0.31144499999999997
FLD,2025-02-19,10:20:00,12.16,11.76,13.01,13529,10:29:00,12.62,trail_stop,6243.9,3.8,False,,0,0.0,36.59,127864,3.19,-6.76,False,-0.02,3,13.74,3.64,2.3,1.0,0.0,0.3,0.3,-0.5,0.0,2.3,0.648,0.2,0.0,36.59,1.216,0.648,,3.12195
INSG,2025-02-20,09:49:00,9.5,9.18,10.17,2293,10:42:00,9.7,trail_stop,467.22,2.15,False,,0,0.0,43.49,114681,1.25,-8.63,False,0.0,3,7.88,1.74,2.1,1.0,0.3,0.0,0.3,-0.5,0.0,2.1,0.476,0.0,0.0,23.29,1.38,0.476,,0.23361
LE,2025-02-25,09:02:00,13.04,12.49,14.24,3228,15:00:00,12.97,eod,-241.45,-0.57,False,,0,0.0,11.6,80719,7.98,0.89,False,0.0,2,8.23,7.62,2.3,2.0,0.3,0.0,0.3,0.3,0.2,2.3,1.224,0.2,0.0,15.38,1.486,1.224,,-0.120725
SCOR,2025-03-05,09:53:00,7.19,6.99,7.59,736,10:11:00,6.97,stop,-161.36,-3.05,False,,0,0.0,12.31,20471,7.1,10.68,False,,2,5.58,6.51,2.3,1.8,0.3,0.0,0.3,0.3,0.2,2.3,2.471,0.2,0.0,25.26,5.007,2.471,,-0.08068
KLXE,2025-03-07,09:52:00,5.27,5.03,5.79,6265,09:55:00,5.02,stop,-1571.83,-4.76,False,,0,0.0,29.02,174056,7.26,-0.49,False,,2,6.5,6.0,2.5,1.8,0.3,-0.3,0.0,0.3,0.0,2.5,2.04,0.2,0.0,27.8,2.459,2.04,,-0.7859149999999999
YRD,2025-03-20,09:44:00,7.49,7.12,8.23,3258,09:56:00,7.1,stop,-1287.66,-5.28,False,,0,0.0,20.89,162917,5.67,-11.5,False,,3,15.65,6.65,3.0,1.0,0.0,0.3,0.3,0.3,0.2,3.3,1.345,0.2,0.0,20.57,0.427,1.345,,-0.64383
