day,symbol,r
2026-09-14,IONX,0.31
2026-09-14,DBI,-1.14
2026-09-14,GTBP,-1.02
2026-09-14,WBTN,-1.38
2026-09-14,BBNX,-1.05
2026-09-14,NBIL,-1.04
2026-09-14,DFDV,-1.07
2026-09-14,BKSY,-1.07
2026-09-14,USGG,0.44
2026-09-14,BUG,-1.25
2026-09-14,EFOR,3.67
2026-09-16,TGTX,-0.03
2026-09-16,QNT,0.17
2026-09-16,MVLL,-1.05
2026-09-16,HUT,-1.08
2026-09-16,SMST,-1.08
2026-09-16,FPS,-0.07
2026-09-16,NBIL,-1.06
2026-09-17,SNDU,-1.04
2026-09-17,CIEN,-1.04
2026-09-17,MULL,-0.14
2026-09-17,MUU,-0.06
2026-09-17,MRNA,-1.08
2026-09-17,CRSP,-0.03
2026-09-17,AMDL,-1.09
2026-09-18,SNDU,2.18
2026-09-18,ETHU,1.92
2026-09-18,MSTR,2.02
2026-09-18,APLZ,-1.07
2026-09-18,COIN,2.11
2026-09-18,MXL,2.23
