n,per_wk,net,netb,gross,t,green,flat,redstreak,worst,best,total,mdd,wk_mean,green_mo,ex5,imp,cell,split,note,capped,tc,costR,gross_pct,net_pct,cost_pct,r_pct,mde,ex5_uncapped,cap_bar,h1,h2,vgross,half_ok,exit_mix
121,2.2830188679245285,0.05060921070294494,-0.014587879677327206,0.13284324325190278,0.5190918326891398,28.30188679245283,24.528301886792452,5,-362.2710918461063,1229.5573594912041,612.3714495056341,-1104.3820146302444,11.554178292559135,50.0,-0.04924723178680843,99.17355371900827,L1 lasthour +2R,TRAIN,,True,0.40726768126655255,0.08223403254895782,0.5404227277171014,0.2721776813875211,0.26824504632958035,3.715304643149473,0.27298790126237044,,0.10526315789473685,0.3549474785235399,0.010401164832923361,-0.02503453857534821,False,eod:0.59|stop:0.28|target:0.13
76,3.3043478260869565,-0.11432575968595693,-0.18422248688676462,-0.02503453857534821,-1.025228649673126,39.130434782608695,13.043478260869565,4,-730.144973805144,332.9700646670655,-868.8757736132728,-1305.416204141814,-37.77720754840317,40.0,-0.22936187322742196,98.68421052631578,L1 lasthour +2R,VAL,,True,-0.8111157857934704,0.08929122111060873,0.343741308943099,0.06855846241291581,0.2751828465301828,3.527762619815341,0.3122348631427154,,0.10526315789473685,0.3549474785235399,0.010401164832923361,-0.02503453857534821,False,eod:0.59|stop:0.28|target:0.13
121,2.2830188679245285,0.04042023202152526,-0.028351753444085102,0.12685681423676629,0.35031871302309964,26.41509433962264,24.528301886792452,5,-672.9218020087123,1400.6544725537453,489.08480746045535,-1380.6056802844175,9.228015235102932,33.33333333333333,-0.14470086401585372,99.17355371900827,L2 lasthour bare,TRAIN,,False,0.2823093071753729,0.086436582215241,0.4596830870853417,0.17779107275541778,0.28189201432992383,3.715304643149473,0.3230676679632811,-0.14470086401585372,,0.3347595982407556,0.012243741003797822,0.013099960021147425,True,eod:0.70|stop:0.30
75,3.260869565217391,-0.07809726689737301,-0.1488828039722125,0.013099960021147425,-0.5677392331964134,34.78260869565217,13.043478260869565,6,-730.144973805144,443.57870752870076,-585.7295017302976,-1467.2433987029417,-25.46650007523033,40.0,-0.27852345621453445,98.66666666666667,L2 lasthour bare,VAL,,False,-0.5172155829511308,0.0911972269185204,0.5858820324573013,0.30510584305850025,0.28077618939880095,3.531114082374887,0.38516335410097186,-0.27852345621453445,,0.3347595982407556,0.012243741003797822,0.013099960021147425,True,eod:0.70|stop:0.30
121,2.2830188679245285,0.14420921176574591,0.08660464821665669,0.21550835740744603,0.564218994759387,35.84905660377358,24.528301886792452,3,-891.4236116676319,1627.8942499728253,1744.9314623655257,-1337.38766854317,32.92323513897218,50.0,-0.2797199885084014,99.17355371900827,L3 lasthour nextopen,TRAIN,,False,0.5283135113437736,0.07129914564170008,0.8646886315952093,0.6334433304867982,0.23124530110841093,3.715304643149473,0.7156543765710764,-0.2797199885084014,,-0.10386873408053168,0.3915752155354338,0.13326902701710608,False,nextopen:0.68|stop:0.32
75,3.260869565217391,0.05652881174921205,-0.003645793017605395,0.13326902701710608,0.23477536960244152,34.78260869565217,13.043478260869565,3,-629.0592770804597,1276.2679385284418,423.9660881190903,-1185.4313640187117,18.433308179090883,60.0,-0.2738060678483493,98.66666666666667,L3 lasthour nextopen,VAL,,False,0.22943171329729004,0.07674021526789403,0.2784261984198057,0.04405739015166213,0.23436880826814369,3.531114082374887,0.6741792086870927,-0.2738060678483493,,-0.10386873408053168,0.3915752155354338,0.13326902701710608,False,nextopen:0.68|stop:0.32
121,2.2830188679245285,-0.0007352600347518632,-0.05833982358384107,0.0705638856069482,-0.006411261648145168,30.18867924528302,24.528301886792452,4,-617.3516755173356,983.7857402652832,-8.89664642049756,-1422.6801493583573,-0.1678612532169351,41.66666666666667,-0.19920144196063638,99.17355371900827,L4 lasthour MOC,TRAIN,,False,-0.005455349317212624,0.07129914564170008,0.26922353591663756,0.03797823480822652,0.23124530110841093,3.715304643149473,0.32111122744472986,-0.19920144196063638,,0.25962832551354226,-0.033663946649251084,0.04163026210369821,False,moc:0.68|stop:0.32
75,3.260869565217391,-0.03510995316419583,-0.09528455793101336,0.04163026210369821,-0.2374361952996271,34.78260869565217,13.043478260869565,4,-760.5280899577227,422.87155114094975,-263.3246487314687,-1111.61628814077,-11.448897770933423,40.0,-0.24779048338451204,98.66666666666667,L4 lasthour MOC,VAL,,False,-0.21022527893381482,0.07674021526789403,0.6330980102641169,0.39872920199597317,0.23436880826814369,3.531114082374887,0.4140391010548791,-0.24779048338451204,,0.25962832551354226,-0.033663946649251084,0.04163026210369821,False,moc:0.68|stop:0.32
121,2.2830188679245285,0.07129091453038221,0.0016032242116631374,0.15893520487570037,0.6588489629337896,28.30188679245283,24.528301886792452,5,-523.0718020087124,1400.6544725537453,862.6200658176248,-965.9041850015591,16.27585029844575,33.33333333333333,-0.10130748956125137,99.17355371900827,L5 lasthour lock,TRAIN,,False,0.5234357261048466,0.08764429034531815,0.5809127267204812,0.2941273634644597,0.2867853632560215,3.715304643149473,0.30297469058189935,-0.10130748956125137,,0.3157868855066981,0.07246568863040673,0.008593407460101152,True,eod:0.66|stop:0.28|lock:0.07
75,3.260869565217391,-0.08345974848517192,-0.1547144948292648,0.008593407460101152,-0.6082407991632279,34.78260869565217,13.043478260869565,6,-730.144973805144,443.57870752870076,-625.9481136387893,-1510.8263497700113,-27.215135375599537,40.0,-0.2841880494410826,98.66666666666667,L5 lasthour lock,VAL,,False,-0.555344280973774,0.09205315594527307,0.5748461028987031,0.29146937690328845,0.28337672599541447,3.531114082374887,0.38420194120481693,-0.2841880494410826,,0.3157868855066981,0.07246568863040673,0.008593407460101152,True,eod:0.66|stop:0.28|lock:0.07
585,11.037735849056604,-0.0006441568655347032,-0.0610705457340278,0.08355369349476757,-0.018608778288528385,49.056603773584904,1.8867924528301887,5,-649.5733624060373,893.2186571409939,-37.68317663378089,-2178.2235138373608,-0.711003332712847,58.333333333333336,-0.10604139079765187,100.0,O1 orb1400 +2R,TRAIN,,True,-0.015267739477477444,0.08419785036030228,0.3557334981801685,0.08515068717626494,0.2705828110039036,3.466499024517914,0.09692410729666465,,0.10526315789473685,0.061193600040678246,0.10271948788398702,0.0534429693310008,True,eod:0.75|stop:0.19|target:0.06
308,13.391304347826088,-0.029319368057867765,-0.09082641086143167,0.0534429693310008,-0.5972012423016136,43.47826086956522,4.3478260869565215,4,-856.4568308619431,1239.04707313671,-903.0365361823269,-1977.4483845790942,-39.262458094883776,40.0,-0.13766924944696365,100.0,O1 orb1400 +2R,VAL,,True,-0.5129103474606576,0.0827623373888686,0.13592434812091966,-0.13683665726667066,0.2727610053875903,3.678764525036162,0.13746493601660734,,0.10526315789473685,0.061193600040678246,0.10271948788398702,0.0534429693310008,True,eod:0.75|stop:0.19|target:0.06
582,10.981132075471699,0.05139039404432031,0.003685688078664898,0.11791739639672637,1.1606390206596526,50.943396226415096,1.8867924528301887,5,-627.1048274704594,1389.0550007361292,2990.9209333794424,-1383.9490018544652,56.43247044112155,66.66666666666666,-0.10532554201648482,100.0,O2 orb1400 MOC,TRAIN,,False,1.0102878653199951,0.06652700235240605,0.5022469502891979,0.288673168012794,0.2135737822764039,3.4698174150598837,0.1239774820273704,-0.10532554201648482,,0.11814888450337091,0.11771844974916289,0.05008645220700985,True,moc:0.79|stop:0.21
307,13.347826086956522,-0.017466845644105815,-0.06770575596347732,0.05008645220700985,-0.33603740676195915,47.82608695652174,4.3478260869565215,4,-806.8701614113735,1140.6658264449252,-536.2321612740484,-1571.931476115428,-23.314441794523844,40.0,-0.12571919282710725,100.0,O2 orb1400 MOC,VAL,,False,-0.29263046072396953,0.06755329785111565,0.11053381196842609,-0.11225892581591132,0.22279273778433742,3.6827071048095115,0.14554084402318027,-0.12571919282710725,,0.11814888450337091,0.11771844974916289,0.05008645220700985,True,moc:0.79|stop:0.21
