cost model: measured NBBO on 15493 of 147196 break rows (10.5%); imputation cells 23, global median 0.345%
| cell | split | n | signal net R | CB paired diff (tc) | CA paired diff (tc) | MDE |
|---|---|---|---|---|---|---|
| 1  H5-S20-X2R | TRAIN | 1044 | +0.001 | +0.090 (+2.42, n 1044) | +0.031 (+1.10, n 1042) | 0.087 |
| 1  H5-S20-X2R | VAL | 500 | -0.069 | +0.034 (+0.67, n 499) | -0.004 (-0.10, n 499) | 0.116 |
| 2  H5-S20-XLK | TRAIN | 1013 | +0.014 | +0.109 (+2.64, n 1013) | +0.048 (+1.52, n 1011) | 0.095 |
| 2  H5-S20-XLK | VAL | 484 | -0.043 | +0.056 (+1.05, n 484) | +0.012 (+0.30, n 483) | 0.129 |
| 3  H5-S20-XBR | TRAIN | 1005 | +0.019 | +0.112 (+2.63, n 1005) | +0.048 (+1.49, n 1003) | 0.098 |
| 3  H5-S20-XBR | VAL | 482 | -0.044 | +0.053 (+0.96, n 482) | +0.013 (+0.33, n 481) | 0.130 |
| 4  H5-S20-XNO | TRAIN | 1005 | +0.074 | +0.013 (+0.19, n 1005) | +0.036 (+0.87, n 1003) | 0.145 |
| 4  H5-S20-XNO | VAL | 482 | +0.016 | +0.006 (+0.08, n 482) | +0.011 (+0.22, n 481) | 0.195 |
| 5  H20-S20-X2R | TRAIN | 750 | -0.042 | +0.047 (+1.13, n 750) | +0.010 (+0.32, n 749) | 0.103 |
| 5  H20-S20-X2R | VAL | 471 | -0.031 | +0.073 (+1.32, n 470) | +0.024 (+0.61, n 471) | 0.124 |
| 6  H20-S20-XLK | TRAIN | 732 | -0.029 | +0.061 (+1.34, n 732) | +0.024 (+0.68, n 731) | 0.110 |
| 6  H20-S20-XLK | VAL | 458 | -0.017 | +0.084 (+1.44, n 457) | +0.041 (+1.00, n 458) | 0.135 |
| 7  H20-S20-XBR | TRAIN | 729 | -0.025 | +0.067 (+1.43, n 729) | +0.027 (+0.77, n 728) | 0.114 |
| 7  H20-S20-XBR | VAL | 457 | -0.021 | +0.079 (+1.33, n 456) | +0.037 (+0.91, n 457) | 0.136 |
| 8  H20-S20-XNO | TRAIN | 729 | +0.079 | +0.049 (+0.71, n 729) | +0.059 (+1.28, n 728) | 0.162 |
| 8  H20-S20-XNO | VAL | 457 | +0.064 | +0.024 (+0.28, n 456) | +0.041 (+0.92, n 457) | 0.184 |
| 9  H252-S20-X2R | VAL | 83 | -0.120 | -0.025 (-0.26, n 83) | -0.080 (-0.77, n 83) | 0.314 |
| 10 H5-SPD-X2R | TRAIN | 987 | -0.050 | +0.056 (+0.81, n 177) | -0.002 (-0.06, n 176) | 0.051 |
| 10 H5-SPD-X2R | VAL | 424 | -0.071 | +0.145 (+1.60, n 71) | +0.144 (+2.44, n 71) | 0.077 |
| 11 H20-SPD-X2R | TRAIN | 811 | -0.057 | +0.014 (+0.27, n 217) | +0.062 (+1.83, n 216) | 0.051 |
| 11 H20-SPD-X2R | VAL | 424 | -0.058 | +0.048 (+0.65, n 98) | +0.082 (+1.54, n 98) | 0.077 |
