cell,geo,s,n,gross,cost,net,t,net_H1-25,net_H2-25,net_VAL,net_R,all_halves_pos,ex5_ok,passes,ex5_H1-25,ex5_H2-25,ex5_VAL
X1-2,x1,2,288174,-0.12618922459124804,0.33367106602110247,-0.45986029061235045,-11.047310229852847,-0.4795411453241639,-0.4669405868972766,-0.43001909641579383,-0.22993014530617523,False,,False,,,
X2-2,x2,2,288174,-0.1431449468432766,0.3560155756929288,-0.49916052253620546,-10.70881717907943,-0.5078819063253657,-0.4988131023554974,-0.490047679542989,-0.24958026126810273,False,,False,,,
X3-2,x3,2,288174,-0.13737223492781997,0.35742760135108115,-0.49479983627890106,-11.48663872151148,-0.509485111468759,-0.5007033019315252,-0.4718014222859412,-0.24739991813945053,False,,False,,,
X4-2,x4,2,288174,-0.11888501182256299,0.3574280716144203,-0.4763130834369833,-11.323149352669846,-0.49180003080664986,-0.4843738985688215,-0.4498944658291757,-0.23815654171849165,False,,False,,,
X5-2,x5,2,288174,-0.14713526781783304,0.34969132174630896,-0.496826589564142,-10.098074230064968,-0.5126537959137184,-0.49338148446472696,-0.4836091945896762,-0.248413294782071,False,False,False,-0.8510226373677623,-0.83449937794513,-0.8100512929509444
X6-2,x6,2,286739,-0.16790293227475475,0.6116630201708019,-0.7795659524455567,-6.556924513112138,-1.1789077811655182,-0.5877358743392297,-0.5728578626548699,-0.38978297622277835,False,False,False,-1.7475781599057822,-1.1705367361707306,-1.1889279669956794
X7-2,x7,2,286744,-0.2230440442235209,0.1989935101621298,-0.4220375543856507,-5.831559867008485,-0.5565647889860058,-0.4314193148645267,-0.26539204120031284,-0.21101877719282536,False,False,False,-0.91741593135938,-0.8155028174180602,-0.6325099592924185
X2-3,x2,3,288174,-0.21349062033893107,0.3467592803000975,-0.5602499006390285,-9.936072647751253,-0.5961780041153036,-0.5595376400927082,-0.5218610671906138,-0.18674996687967618,False,,False,,,
X4-3,x4,3,288174,-0.20309808149336298,0.3471378284569625,-0.5502359099503255,-10.192286343576455,-0.5911741510606983,-0.5559031156571711,-0.4988512089814183,-0.18341196998344184,False,,False,,,
X5-3,x5,3,288174,-0.21262833424935357,0.3398259729791773,-0.5524543072285308,-9.516860387043334,-0.5903081417376507,-0.5538409256520199,-0.5094869107862025,-0.1841514357428436,False,False,False,-0.9406128061263483,-0.9100316227718546,-0.852018833533845
X6-3,x6,3,286739,-0.16790293227475475,0.6116630201708019,-0.7795659524455567,-6.556924513112138,-1.1789077811655182,-0.5877358743392297,-0.5728578626548699,-0.25985531748185214,False,False,False,-1.7475781599057822,-1.1705367361707306,-1.1889279669956794
X7-3,x7,3,286744,-0.2230440442235209,0.1989935101621298,-0.4220375543856507,-5.831559867008485,-0.5565647889860058,-0.4314193148645267,-0.26539204120031284,-0.1406791847952169,False,False,False,-0.91741593135938,-0.8155028174180602,-0.6325099592924185
