  A13 keys 3,310,743 (frames13 reports 3,310,743)
  2016: 219,380 A13 rows with features (availability: V1 100%, V2 100%, V3 100%, V4 100%, V5 100%, V7 100%, V8 100%, V6 100%)
  2017: 287,719 A13 rows with features (availability: V1 100%, V2 100%, V3 100%, V4 93%, V5 93%, V7 100%, V8 93%, V6 100%)
  2018: 316,276 A13 rows with features (availability: V1 100%, V2 100%, V3 100%, V4 93%, V5 93%, V7 100%, V8 93%, V6 100%)
  2019: 320,471 A13 rows with features (availability: V1 100%, V2 100%, V3 100%, V4 93%, V5 93%, V7 100%, V8 93%, V6 100%)
  2020: 328,584 A13 rows with features (availability: V1 100%, V2 100%, V3 100%, V4 93%, V5 93%, V7 100%, V8 93%, V6 100%)
  2021: 403,689 A13 rows with features (availability: V1 100%, V2 100%, V3 100%, V4 93%, V5 93%, V7 100%, V8 94%, V6 100%)
  2022: 384,763 A13 rows with features (availability: V1 100%, V2 100%, V3 100%, V4 92%, V5 92%, V7 100%, V8 93%, V6 100%)
  2023: 363,157 A13 rows with features (availability: V1 100%, V2 100%, V3 100%, V4 93%, V5 93%, V7 100%, V8 93%, V6 100%)
  2024: 393,166 A13 rows with features (availability: V1 100%, V2 100%, V3 100%, V4 93%, V5 93%, V7 100%, V8 94%, V6 100%)
  2025: 421,122 A13 rows with features (availability: V1 100%, V2 100%, V3 100%, V4 93%, V5 93%, V7 100%, V8 93%, V6 100%)
  2026: 211,257 A13 rows with features (availability: V1 99%, V2 99%, V3 100%, V4 85%, V5 85%, V7 99%, V8 85%, V6 100%)
