day,symbol,hour,entry_m,entry,gate5,f_hrv3,f_sus,f_abs,f_mir,price,rr_bare,why_bare,exitm_bare,rr_tgt,why_tgt,exitm_tgt,rr_lock,why_lock,exitm_lock
2025-03-03,AMR,9,600,140.825,False,True,False,True,False,140.825,-1.0591088230072812,stop,794,-1.0591088230072812,stop,794,-1.0591088230072812,stop,794
2025-03-03,AMR,13,840,136.09,False,True,False,False,True,136.09,-1.0490000000000024,stop,897,-1.0490000000000024,stop,897,-1.0490000000000024,stop,897
2025-03-03,AMRX,11,720,9.105,True,True,False,False,True,9.105,-1.0489999999999997,stop,804,-1.0489999999999997,stop,804,-1.0489999999999997,stop,804
2025-03-03,ARKG,13,840,23.67,False,True,False,False,False,23.67,-1.0489999999999968,stop,912,-1.0489999999999968,stop,912,-1.0489999999999968,stop,912
2025-03-03,ARKQ,9,600,72.5,False,True,False,False,False,72.5,-1.1454551724137918,stop,899,-1.1454551724137918,stop,899,-1.1454551724137918,stop,899
2025-03-03,ARKW,9,600,107.61,False,True,False,False,True,107.61,-1.0489999999999982,stop,894,-1.0489999999999982,stop,894,-1.0489999999999982,stop,894
2025-03-03,ASTH,11,720,26.2744,True,False,True,False,False,26.2744,0.22950095910848536,eod,955,0.22950095910848536,eod,955,0.22950095910848536,eod,955
2025-03-03,AVBP,9,600,22.755,False,True,False,False,True,22.755,-1.0707317073170728,stop,918,-1.0707317073170728,stop,918,-1.0707317073170728,stop,918
2025-03-03,AVBP,10,660,22.975,False,True,False,True,False,22.975,-1.0490000000000015,stop,852,-1.0490000000000015,stop,852,-1.0490000000000015,stop,852
2025-03-03,AVBP,12,780,23.13,False,True,False,True,False,23.13,-1.081177042801549,stop,828,-1.081177042801549,stop,828,-1.081177042801549,stop,828
2025-03-03,BABX,14,900,35.71,False,True,False,False,True,35.71,-0.24502940352843,eod,955,-0.24502940352843,eod,955,-0.24502940352843,eod,955
2025-03-03,BAND,13,840,15.56,False,True,False,False,True,15.56,-1.077249357326482,stop,912,-1.077249357326482,stop,912,-1.077249357326482,stop,912
2025-03-03,BKV,13,840,19.685,False,True,False,True,False,19.685,-1.0489999999999977,stop,894,-1.0489999999999977,stop,894,-1.0489999999999977,stop,894
2025-03-03,BKV,14,900,19.285,False,False,True,False,False,19.285,-0.06481721545242049,eod,955,-0.06481721545242049,eod,955,-0.06481721545242049,eod,955
2025-03-03,BOOM,13,840,8.31,False,True,False,False,True,8.31,-0.7166064981949541,eod,955,-0.7166064981949541,eod,955,-0.7166064981949541,eod,955
2025-03-03,BTCL,9,600,41.73,False,True,False,False,True,41.73,-1.1153127246585122,stop,807,2.0,target,630,0.2851545650611107,lock_stop,792
2025-03-03,BULZ,13,841,138.96,False,True,False,False,False,138.96,-1.049000000000002,stop,891,-1.049000000000002,stop,891,-1.049000000000002,stop,891
2025-03-03,DDS,13,840,374.6,False,True,False,True,False,374.6,-1.0489999999999964,stop,943,-1.0489999999999964,stop,943,-1.0489999999999964,stop,943
2025-03-03,DHT,13,840,10.68,False,True,False,False,True,10.68,-1.0490000000000015,stop,910,-1.0490000000000015,stop,910,-1.0490000000000015,stop,910
2025-03-03,DRVN,10,660,17.57,False,True,False,False,False,17.57,-1.0489999999999988,stop,929,-1.0489999999999988,stop,929,-1.0489999999999988,stop,929
2025-03-03,ECO,13,840,21.34,False,True,False,False,True,21.34,-1.1852272727272735,stop,891,-1.1852272727272735,stop,891,-1.1852272727272735,stop,891
2025-03-03,EMBC,9,600,13.13,False,True,False,False,False,13.13,-1.0489999999999973,stop,929,2.0,target,735,0.4445544554455366,lock_stop,798
2025-03-03,ENOV,11,720,39.205,False,True,False,True,False,39.205,-1.048999999999998,stop,813,-1.048999999999998,stop,813,-1.048999999999998,stop,813
