dataset,symbol,n_chg_full,n_chg_snap,lost,r2_full,r2_snap
EQUS.MINI,AAPL,584581,18535,0.9682935298957716,0.10985960222913549,0.2647785767336486
EQUS.MINI,FSLY,186580,11045,0.940802872762354,0.03509718478396695,0.10647254868074774
EQUS.MINI,USAX,8148,3089,0.6208885616102111,0.23070968520405977,0.6034641280441873
XNAS.ITCH,AAPL,522455,21325,0.9591830875386397,0.6189615683292735,0.3309443205660413
XNAS.ITCH,FSLY,157936,12766,0.919169790294803,0.5414901786970521,0.3344220393883566
XNAS.ITCH,USAX,73185,16814,0.7702534672405548,0.1742343173123333,0.07003168727261944
XNAS.BASIC,AAPL,480195,21325,0.9555909578400441,0.5798839875225358,0.3301435452480337
XNAS.BASIC,FSLY,139482,12766,0.9084756456030169,0.5298878986642297,0.3226467737263645
XNAS.BASIC,USAX,73114,16814,0.7700303635418662,0.1740859906709653,0.06983898178099057
XNYS.PILLAR,AAPL,112462,14037,0.8751845067667301,0.39425074227236656,0.16961096698983757
XNYS.PILLAR,FSLY,36680,3707,0.8989367502726281,0.05334383111008434,0.028069652403904022
XNYS.PILLAR,USAX,0,0,1.0,,
