day,symbol,hour,k,ref,split,rr_reacting,react_entry_m,react_entry,react_exit_m,react_rpct,filled,fill_m,entry,rpct,rr,why,exit_m
2025-01-07,EGAN,13,0.003,7.33,TRAIN,0.925925925925922,840,7.29,956,0.02,False,,,,,unfilled,
2025-01-07,EGAN,13,0.006,7.33,TRAIN,0.925925925925922,840,7.29,956,0.02,False,,,,,unfilled,
2025-01-07,EGAN,14,0.003,7.11,TRAIN,-0.3164556962025314,900,7.11,956,0.0199999999999999,True,906.0,7.131329999999999,0.019999999999999976,-0.16595782273433565,eod,956.0
2025-01-07,EGAN,14,0.006,7.11,TRAIN,-0.3164556962025314,900,7.11,956,0.0199999999999999,True,907.0,7.15266,0.01999999999999997,-0.016357550897150394,eod,956.0
2025-01-10,RNA,9,0.003,30.415,TRAIN,1.906086387434553,600,30.56,955,0.02,True,600.0,30.506244999999996,0.019999999999999966,1.8213401878861177,eod,955.0
2025-01-10,RNA,9,0.006,30.415,TRAIN,1.906086387434553,600,30.56,955,0.02,True,600.0,30.59749,0.020000000000000046,1.9650141237075298,eod,955.0
2025-01-10,TKNO,9,0.003,7.98,TRAIN,-1.0509999999999895,600,7.9,602,0.0199999999999999,True,602.0,8.00394,0.020000000000000108,-1.0509999999999917,stop,618.0
2025-01-10,TKNO,9,0.006,7.98,TRAIN,-1.0509999999999895,600,7.9,602,0.0199999999999999,True,602.0,8.02788,0.02000000000000008,-1.1854312720170126,stop,619.0
2025-01-14,DJT,9,0.003,40.22,TRAIN,-1.0509999999999962,600,40.27,607,0.0199999999999999,True,600.0,40.34065999999999,0.020000000000000018,-1.0509999999999984,stop,607.0
2025-01-14,DJT,9,0.006,40.22,TRAIN,-1.0509999999999962,600,40.27,607,0.0199999999999999,True,600.0,40.46132,0.02,-1.050999999999991,stop,608.0
2025-01-14,PENN,14,0.003,20.54,TRAIN,-0.036514118792601,900,20.54,955,0.02,False,,,,,unfilled,
2025-01-14,PENN,14,0.006,20.54,TRAIN,-0.036514118792601,900,20.54,955,0.02,False,,,,,unfilled,
2025-01-14,TYRA,13,0.003,16.3,TRAIN,0.6307692307692269,844,16.25,955,0.0199999999999999,True,845.0,16.3489,0.020000000000000025,0.9294203279731307,eod,955.0
2025-01-14,TYRA,13,0.006,16.3,TRAIN,0.6307692307692269,844,16.25,955,0.0199999999999999,True,856.0,16.3978,0.02000000000000002,1.0757540645696315,eod,955.0
2025-01-14,UWMC,12,0.003,5.815,TRAIN,-0.0430292598967364,780,5.81,955,0.02,False,,,,,unfilled,
2025-01-14,UWMC,12,0.006,5.815,TRAIN,-0.0430292598967364,780,5.81,955,0.02,False,,,,,unfilled,
2025-01-16,HIMX,9,0.003,8.81,TRAIN,0.1698754246885576,600,8.83,955,0.02,True,601.0,8.83643,0.020000000000000063,0.2061352831403586,eod,955.0
2025-01-16,HIMX,9,0.006,8.81,TRAIN,0.1698754246885576,600,8.83,955,0.02,True,601.0,8.862860000000001,0.01999999999999996,0.3546259333894516,eod,955.0
2025-01-21,ETON,10,0.003,15.575,TRAIN,0.8167202572347312,660,15.55,955,0.0199999999999999,False,,,,,unfilled,
2025-01-21,ETON,10,0.006,15.575,TRAIN,0.8167202572347312,660,15.55,955,0.0199999999999999,False,,,,,unfilled,
2025-01-21,KODK,14,0.003,7.68,TRAIN,0.0650195058517597,900,7.69,955,0.02,True,901.0,7.703039999999999,0.01999999999999999,0.14955134596210767,eod,955.0
2025-01-21,KODK,14,0.006,7.68,TRAIN,0.0650195058517597,900,7.69,955,0.02,True,904.0,7.72608,0.019999999999999976,0.2982107355864808,eod,955.0
2025-01-21,NVCT,14,0.003,5.67,TRAIN,-1.0509999999999948,901,5.62,909,0.02,False,,,,,unfilled,
2025-01-21,NVCT,14,0.006,5.67,TRAIN,-1.0509999999999948,901,5.62,909,0.02,False,,,,,unfilled,
2025-01-21,RDDT,12,0.003,188.85,TRAIN,0.1415493703037343,780,188.98,955,0.02,False,,,,,unfilled,
2025-01-21,RDDT,12,0.006,188.85,TRAIN,0.1415493703037343,780,188.98,955,0.02,False,,,,,unfilled,
2025-01-21,TVTX,9,0.003,18.925,TRAIN,-1.0509999999999924,600,18.895,605,0.02,True,602.0,18.981775,0.019999999999999955,-1.0509999999999913,stop,691.0
2025-01-21,TVTX,9,0.006,18.925,TRAIN,-1.0509999999999924,600,18.895,605,0.02,True,604.0,19.03855,0.019999999999999962,-1.050999999999993,stop,694.0
2025-01-22,CERT,10,0.003,13.4,TRAIN,1.4013452914798217,660,13.38,955,0.0199999999999999,False,,,,,unfilled,
2025-01-22,CERT,10,0.006,13.4,TRAIN,1.4013452914798217,660,13.38,955,0.0199999999999999,False,,,,,unfilled,
2025-01-22,CLS,9,0.003,126.795,TRAIN,1.287359041085084,600,126.81,955,0.02,False,,,,,unfilled,
2025-01-22,CLS,9,0.006,126.795,TRAIN,1.287359041085084,600,126.81,955,0.02,False,,,,,unfilled,
2025-01-22,EWTX,9,0.003,26.895,TRAIN,-0.2323852017103548,600,26.895,955,0.02,False,,,,,unfilled,
2025-01-22,EWTX,9,0.006,26.895,TRAIN,-0.2323852017103548,600,26.895,955,0.02,False,,,,,unfilled,
2025-01-22,LUNG,10,0.003,6.27,TRAIN,1.585191082802547,662,6.28,955,0.02,True,664.0,6.288809999999999,0.01999999999999997,1.6530154353526303,eod,955.0
2025-01-22,LUNG,10,0.006,6.27,TRAIN,1.585191082802547,662,6.28,955,0.02,True,669.0,6.30762,0.02000000000000008,1.7971913336567467,eod,955.0
2025-01-22,SPIR,10,0.003,18.9,TRAIN,-0.130465723096382,660,18.9705,955,0.02,True,660.0,18.956699999999998,0.02000000000000003,-0.16695943914289302,eod,955.0
2025-01-22,SPIR,10,0.006,18.9,TRAIN,-0.130465723096382,660,18.9705,955,0.02,True,661.0,19.013399999999997,0.020000000000000052,-0.017356180378055384,eod,955.0
2025-01-22,TMCI,13,0.003,9.345,TRAIN,-1.0509999999999986,841,9.34,893,0.0199999999999999,True,843.0,9.373035,0.020000000000000087,-0.30387702595797245,eod,955.0
2025-01-22,TMCI,13,0.006,9.345,TRAIN,-1.0509999999999986,841,9.34,893,0.0199999999999999,True,844.0,9.40107,0.02000000000000002,-0.15386546425034053,eod,955.0
2025-01-22,VICR,9,0.003,61.14,TRAIN,0.2665682414698184,600,60.96,955,0.02,False,,,,,unfilled,
2025-01-22,VICR,9,0.006,61.14,TRAIN,0.2665682414698184,600,60.96,955,0.02,False,,,,,unfilled,
2025-01-22,VICR,10,0.003,59.7,TRAIN,-0.5713094245204305,660,59.95,955,0.0199999999999999,True,660.0,59.879099999999994,0.02000000000000007,-0.6311885115173753,eod,955.0
2025-01-22,VICR,10,0.006,59.7,TRAIN,-0.5713094245204305,660,59.95,955,0.0199999999999999,True,662.0,60.05820000000001,0.019999999999999973,-0.4802008718209938,eod,955.0
2025-01-23,HNRG,11,0.003,13.54,TRAIN,0.8327165062916317,720,13.51,956,0.02,False,,,,,unfilled,
2025-01-23,HNRG,11,0.006,13.54,TRAIN,0.8327165062916317,720,13.51,956,0.02,False,,,,,unfilled,
2025-01-23,PLRX,12,0.003,11.16,TRAIN,0.0898472596585865,781,11.13,955,0.0199999999999999,False,,,,,unfilled,
2025-01-23,PLRX,12,0.006,11.16,TRAIN,0.0898472596585865,781,11.13,955,0.0199999999999999,False,,,,,unfilled,
2025-01-24,PCRX,10,0.003,24.68,TRAIN,-1.0509999999999955,660,24.73,893,0.02,True,662.0,24.754039999999996,0.02000000000000001,-1.0527776476082282,stop,894.0
2025-01-24,PCRX,10,0.006,24.68,TRAIN,-1.0509999999999955,660,24.73,893,0.02,False,,,,,unfilled,
2025-01-24,RRGB,9,0.003,6.2,TRAIN,-1.050999999999993,600,6.238,667,0.02,True,600.0,6.2185999999999995,0.020000000000000025,-1.0509999999999973,stop,665.0
2025-01-24,RRGB,9,0.006,6.2,TRAIN,-1.050999999999993,600,6.238,667,0.02,True,600.0,6.2372000000000005,0.01999999999999996,-1.050999999999993,stop,667.0
2025-01-27,ANGO,9,0.003,12.74,TRAIN,2.413382806506659,600,12.7746,955,0.02,False,,,,,unfilled,
2025-01-27,ANGO,9,0.006,12.74,TRAIN,2.413382806506659,600,12.7746,955,0.02,False,,,,,unfilled,
2025-01-27,INGN,9,0.003,12.1587,TRAIN,2.885408079142632,600,12.13,955,0.0199999999999999,True,602.0,12.195176099999998,0.02000000000000001,3.137208080168673,eod,955.0
2025-01-27,INGN,9,0.006,12.1587,TRAIN,2.885408079142632,600,12.13,955,0.0199999999999999,True,602.0,12.2316522,0.020000000000000035,3.276957956669166,eod,955.0
2025-01-27,LZ,10,0.003,8.99,TRAIN,-0.0278086763070022,660,8.99,955,0.02,False,,,,,unfilled,
2025-01-27,LZ,10,0.006,8.99,TRAIN,-0.0278086763070022,660,8.99,955,0.02,False,,,,,unfilled,
2025-01-27,SPHR,9,0.003,44.975,TRAIN,-0.538171327119394,600,45.06,955,0.02,True,602.0,45.109925,0.01999999999999994,-0.48223866477278127,eod,955.0
2025-01-27,SPHR,9,0.006,44.975,TRAIN,-0.538171327119394,600,45.06,955,0.02,False,,,,,unfilled,
2025-01-27,TAL,9,0.003,12.13,TRAIN,0.4946413849958831,600,12.13,955,0.0199999999999999,False,,,,,unfilled,
2025-01-27,TAL,9,0.006,12.13,TRAIN,0.4946413849958831,600,12.13,955,0.0199999999999999,False,,,,,unfilled,
2025-01-28,AESI,9,0.003,26.4738,TRAIN,3.0924910156988767,600,26.435,955,0.02,False,,,,,unfilled,
2025-01-28,AESI,9,0.006,26.4738,TRAIN,3.0924910156988767,600,26.435,955,0.02,False,,,,,unfilled,
2025-01-28,BOOM,11,0.003,8.4299,TRAIN,-0.0225768504105422,720,8.4157,955,0.02,True,723.0,8.455189699999998,0.019999999999999976,0.2110520358874916,eod,955.0
2025-01-28,BOOM,11,0.006,8.4299,TRAIN,-0.0225768504105422,720,8.4157,955,0.02,True,723.0,8.4804794,0.020000000000000018,0.3595280238520522,eod,955.0
2025-01-28,BOOM,12,0.003,8.19,TRAIN,-1.1026534605037706,780,8.178,813,0.02,True,781.0,8.214569999999998,0.019999999999999973,-1.0509999999999933,stop,815.0
2025-01-28,BOOM,12,0.006,8.19,TRAIN,-1.1026534605037706,780,8.178,813,0.02,True,781.0,8.239139999999999,0.019999999999999924,-1.050999999999997,stop,816.0
2025-01-28,MTLS,14,0.003,8.45,TRAIN,0.1773049645390138,900,8.46,955,0.02,False,,,,,unfilled,
2025-01-28,MTLS,14,0.006,8.45,TRAIN,0.1773049645390138,900,8.46,955,0.02,False,,,,,unfilled,
2025-01-29,BOOM,12,0.003,8.28,TRAIN,-1.0509999999999973,780,8.26,821,0.02,False,,,,,unfilled,
2025-01-29,BOOM,12,0.006,8.28,TRAIN,-1.0509999999999973,780,8.26,821,0.02,False,,,,,unfilled,
2025-01-29,SYNA,12,0.003,87.84,TRAIN,-1.0509999999999904,781,87.805,881,0.02,False,,,,,unfilled,
2025-01-29,SYNA,12,0.006,87.84,TRAIN,-1.0509999999999904,781,87.805,881,0.02,False,,,,,unfilled,
2025-01-30,CLB,9,0.003,18.065,TRAIN,-1.0509999999999944,600,18.065,601,0.0199999999999999,True,600.0,18.119194999999998,0.020000000000000063,1.0463903059710935,eod,955.0
2025-01-30,CLB,9,0.006,18.065,TRAIN,-1.0509999999999944,600,18.065,601,0.0199999999999999,True,600.0,18.17339,0.019999999999999924,1.1923752255358093,eod,955.0
2025-01-30,TITN,9,0.003,19.28,TRAIN,1.322614107883821,600,19.28,955,0.02,False,,,,,unfilled,
2025-01-30,TITN,9,0.006,19.28,TRAIN,1.322614107883821,600,19.28,955,0.02,False,,,,,unfilled,
2025-01-31,BCYC,10,0.003,13.225,TRAIN,-1.0509999999999913,660,13.13,708,0.02,False,,,,,unfilled,
2025-01-31,BCYC,10,0.006,13.225,TRAIN,-1.0509999999999913,660,13.13,708,0.02,False,,,,,unfilled,
2025-01-31,DNTH,10,0.003,22.785,TRAIN,1.6601135867190988,664,22.89,956,0.0199999999999999,True,664.0,22.853354999999997,0.01999999999999999,1.5826013292140222,eod,956.0
2025-01-31,DNTH,10,0.006,22.785,TRAIN,1.6601135867190988,664,22.89,956,0.0199999999999999,False,,,,,unfilled,
2025-01-31,ONEW,11,0.003,17.83,TRAIN,-1.050999999999999,721,17.765,759,0.0199999999999999,False,,,,,unfilled,
2025-01-31,ONEW,11,0.006,17.83,TRAIN,-1.050999999999999,721,17.765,759,0.0199999999999999,False,,,,,unfilled,
2025-02-03,FETH,10,0.003,27.105,TRAIN,-1.0574699907663858,660,27.075,858,0.0199999999999999,True,661.0,27.186314999999997,0.019999999999999983,-1.0509999999999933,stop,889.0
