k,w,n_signal,n_touch,n_filled,fill_rate,exit_cov,ssr_active_n,ssr_void_n,ssr_void_share,ssr_undet_n,TRAIN_n,TRAIN_gross,TRAIN_gross_t,TRAIN_net,TRAIN_net_t,TRAIN_net_se_clust,TRAIN_net_se_iid,TRAIN_net_t_iid,TRAIN_ex5,TRAIN_unf_n,TRAIN_unf_net,TRAIN_margin,TRAIN_green,TRAIN_null50,TRAIN_wk,VAL_n,VAL_gross,VAL_gross_t,VAL_net,VAL_net_t,VAL_net_se_clust,VAL_net_se_iid,VAL_net_t_iid,VAL_ex5,VAL_unf_n,VAL_unf_net,VAL_margin,VAL_green,VAL_null50,VAL_wk,h1,h2,pass
0.004,3,2294,911,894,0.3897122929380994,0.9966442953020134,68,17,0.018660812294182216,3,548,0.2006206638694935,3.5149997223104656,0.1131860048843884,1.9276269443423906,0.058717795586221054,0.051909694973171217,2.180440569779633,-0.03686585910755606,818,0.06976325239829435,0.04342275248609405,56.60377358490566,54.71698113207547,68.51570190180519,346,0.34574249747345176,3.8683417274728265,0.259028352596567,2.8865444974047954,0.08973648347685322,0.09614092445773292,2.6942569364458873,0.018953784542831104,582,-0.04664361167833379,0.3056719642749008,60.86956521739131,69.56521739130434,382.36408399082046,0.1916678953414195,0.02937326903782309,False
0.004,5,2294,1111,1087,0.47384481255448996,0.9963201471941122,85,24,0.021602160216021602,3,659,0.22232119114051277,4.299857097046249,0.1388539379850015,2.6268860612909055,0.05285875928580086,0.04640391150237931,2.9922895180481053,-0.005325938321497223,707,0.11962629520688933,0.019227642778112175,60.37735849056604,58.490566037735846,119.21835351315069,428,0.29447326419453157,3.983286931096118,0.20940286089691754,2.7963158397490804,0.074885267937297,0.0813705256985841,2.573448544164454,-0.011876581642207189,500,0.024399244236842834,0.1850036166600747,65.21739130434783,65.21739130434783,376.9084823293474,0.196123687921864,0.08210324922581452,False
0.004,10,2294,1326,1299,0.5662598081952921,0.9969207082371054,101,27,0.020361990950226245,3,796,0.20189259006097435,4.465827952297745,0.1212376569754666,2.6335064192333744,0.04603659064205335,0.041204746524879696,2.942322601165924,-0.02210254780518703,570,0.2099194242877421,-0.0886817673122755,64.15094339622641,60.37735849056604,140.08270149719098,503,0.28610707409783803,4.344708676934785,0.20355828227524173,3.047171350424769,0.06680237468328329,0.07236198689964105,2.8130554590431167,-0.011376946522686792,425,0.06742668031520566,0.13613160196003607,65.21739130434783,69.56521739130434,398.9485071312603,0.18073823401475925,0.066886168333805,False
0.006,3,2294,574,568,0.24760244115082825,1.0,50,6,0.010452961672473868,3,350,0.19643402335785595,2.8048638932015937,0.11444979561012976,1.5949859044630132,0.07175599188048108,0.06452934198536353,1.773608595545405,-0.04184794315827885,1016,0.06015522551139119,0.054294570098738566,50.943396226415096,52.83018867924528,50.41240565143715,218,0.3505604585692291,3.055228732167726,0.2517593293514856,2.1718534558349796,0.11591911446654006,0.12148977109771703,2.0722677067931072,0.001324594845401611,710,-0.0076676308374293775,0.259426960188915,65.21739130434783,60.86956521739131,241.88080285943667,0.15961069983149045,0.06204084503225434,False
0.006,5,2294,765,754,0.32868352223190933,1.0,65,11,0.01437908496732026,3,465,0.19831062999644716,3.329473549742822,0.12077422070219522,1.992970728795491,0.06060009761166366,0.054721204052460594,2.207082661894836,-0.03324979898132973,901,0.12612667338598568,-0.005352452683790462,56.60377358490566,54.71698113207547,73.48719977381057,289,0.4007652981807574,3.0053761635803893,0.30803399511123314,2.3016871880460035,0.13382965187929635,0.11966409650911984,2.574155524483129,0.016877173542237823,639,0.039837600324523964,0.2681963947867092,73.91304347826086,69.56521739130434,429.6746366506761,0.1612042333811495,0.07535968591213697,False
0.006,10,2294,1010,997,0.43461203138622495,1.0,81,13,0.01287128712871287,3,610,0.2074634437213117,4.053423863880581,0.13325220613114183,2.5647260490523616,0.05195572688177635,0.04706388241091153,2.831305011510227,-0.014997021315065109,756,0.19853995068771185,-0.06528774455657002,60.37735849056604,58.490566037735846,117.441239202204,387,0.3719152802811652,3.5825568271622505,0.2850940257191555,2.726405652091032,0.10456772105812685,0.0938936844149719,3.0363493295156663,0.030771544767987966,541,0.11301785859204999,0.1720761671271055,73.91304347826086,69.56521739130434,489.7395577792533,0.17361552353166435,0.09520270947332446,False
0.008,3,2294,377,372,0.16216216216216217,1.0,39,5,0.013262599469496022,3,220,0.2669526558944048,2.7298733583129833,0.1730927222533898,1.7045778328909054,0.1015458014960986,0.08586467991172608,2.0158780354313235,0.015098580311669366,1146,0.030584283109158894,0.14250843914423092,56.60377358490566,52.83018867924528,48.180903282420296,152,0.441479717119017,2.8641614524717016,0.33563388564670477,2.1479817022356724,0.1562554677711494,0.16081751818607104,2.087048037007794,0.0388881858836775,776,-0.02125839859400972,0.3568922842407145,56.52173913043478,56.52173913043478,218.58671723528877,0.2661056437610359,0.06548953854846587,False
0.008,5,2294,518,511,0.2227550130775937,1.0,49,7,0.013513513513513514,3,309,0.25790703008519733,3.4216133967378792,0.17335573678456356,2.2452584596849485,0.07720970208876915,0.07045840098008264,2.460398396403691,0.013706838359444943,1057,0.09160530742969307,0.0817504293548705,56.60377358490566,56.60377358490566,81.46194805802806,202,0.44364541665818125,3.5241513709708125,0.34833416953081114,2.742516296091479,0.1270126161245578,0.1289132108885768,2.7020827976419413,0.07838531524073807,726,0.00029222440437684364,0.3480419451264343,60.86956521739131,65.21739130434783,311.4627912904801,0.31508407631342095,0.021164231250220048,False
0.008,10,2294,757,746,0.32519616390584133,1.0,69,11,0.01453104359313078,3,449,0.29005563707881504,4.839859237367685,0.2133776136084889,3.5043471401048376,0.06088940538068537,0.055906021212903,3.8167197196147766,0.0650874125259547,917,0.15527141860544882,0.05810619500304007,67.9245283018868,64.15094339622641,154.32120241193755,297,0.4191414599998,4.5085539152432546,0.3253903211368025,3.457641584921884,0.09410759130031512,0.0977162162694382,3.3299521160294026,0.0958996056390169,631,0.08331498142803635,0.24207533970876616,60.86956521739131,73.91304347826086,454.14627638528185,0.30786029353843586,0.12341367054475674,False
0.01,3,2294,233,228,0.0993897122929381,0.9956140350877193,31,5,0.02145922746781116,2,130,0.31512319007006817,2.389458519633641,0.20833596726807832,1.5297444487067302,0.13619004628139608,0.12057751140069907,1.7278177733801732,0.025870482167448514,1236,0.015378061598814807,0.19295790566926352,50.943396226415096,50.943396226415096,45.817789558145044,98,0.5071074128645744,2.5513580483708758,0.395322986585349,1.9585257099165132,0.2018472285473345,0.22078789981648766,1.7905101996709498,0.06555925735673784,830,-0.03023713820773804,0.425560124793087,56.52173913043478,52.17391304347826,168.08566984593594,0.342096693840606,0.08256095571480612,False
