day,symbol,m,sp_mean,sp_med,mid_med,bid_med,bid_max,n_q,err
2025-01-24,PCRX,896,0.0632258064516135,0.060000000000002274,25.255,25.22,25.26,31,
2025-01-31,ONEW,763,0.1610000000000003,0.16000000000000014,18.33,18.25,18.29,10,
2025-01-31,ONEW,894,0.12431818181818195,0.14499999999999957,18.4,18.325,18.35,44,
2025-02-03,FETH,661,0.025412744388124846,0.029999999999997584,27.175,27.16,27.23,2762,
2025-02-06,DAVE,616,0.8729807692307662,0.8499999999999943,110.8575,110.26,111.37,104,
2025-02-12,PZZA,874,0.0563636363636376,0.05000000000000426,43.275,43.25,43.29,121,
2025-02-12,PZZA,950,0.02673913043478254,0.02499999999999858,43.510000000000005,43.5,43.53,138,
2025-02-12,PZZA,952,0.029761904761904368,0.030000000000001137,43.587500000000006,43.575,43.62,126,
2025-02-13,ASND,756,0.5040000000000011,0.46000000000000796,146.53,146.13,146.5,30,
2025-02-20,INDV,603,0.027226890756303104,0.02000000000000135,9.379999999999999,9.36,9.39,119,
2025-02-20,INDV,604,0.025619834710744034,0.02000000000000135,9.440000000000001,9.42,9.47,121,
2025-02-26,XPEL,604,0.5703703703703715,0.610000000000003,35.4,35.05,35.42,54,
2025-02-26,XPEL,608,0.45318181818181863,0.21999999999999886,35.68,35.57,35.62,44,
2025-02-26,XPEL,661,0.2597713414634152,0.28000000000000114,34.01,33.87,33.87,656,
2025-02-27,PRVA,631,0.043396226415093685,0.04999999999999716,25.994999999999997,25.99,26.02,53,
2025-02-27,ZIP,654,0.011703703703703631,0.009999999999999787,5.825,5.82,5.84,135,
2025-02-27,ZIP,655,0.012402597402597427,0.009999999999999787,5.825,5.82,5.84,154,
2025-02-28,AMCX,889,0.028000000000000292,0.03000000000000025,7.3149999999999995,7.3,7.3,15,
2025-02-28,AMCX,900,0.009999999999999787,0.009999999999999787,7.335,7.33,7.33,11,
2025-03-05,AAON,848,0.117499999999993,0.11999999999999034,82.285,82.22,82.31,36,
2025-03-05,AAON,876,0.25642857142857245,0.19500000000000028,82.5,82.42,82.62,112,
2025-03-05,AAON,902,0.19384615384615264,0.15000000000000568,82.785,82.71,82.83,78,
2025-03-05,SSYS,635,0.020769230769230408,0.019999999999999574,10.504999999999999,10.5,10.52,65,
2025-03-05,SSYS,640,0.03433862433862466,0.03999999999999915,10.55,10.53,10.57,189,
2025-03-06,M,609,0.01332635983263594,0.009999999999999787,13.45,13.44,13.47,478,
2025-03-07,WLDN,831,0.15538461538461507,0.1699999999999946,40.87,40.79,40.8,13,
2025-03-11,TDS,905,0.03954128440366818,0.03999999999999915,34.615,34.6,34.63,218,
2025-03-11,TDS,908,0.07853658536585294,0.0799999999999983,34.712500000000006,34.67,34.71,82,
2025-03-12,MLYS,601,0.043364485981308515,0.05000000000000071,13.29,13.27,13.33,107,
2025-03-12,MLYS,602,0.020142857142857285,0.019999999999999574,13.33,13.32,13.37,140,
2025-03-12,MOMO,623,0.011284403669724604,0.009999999999999787,7.005,7.0,7.03,218,
2025-03-12,MOMO,627,0.0111788617886178,0.009999999999999787,7.035,7.03,7.05,246,
2025-03-12,MOMO,728,0.00999999999999983,0.009999999999999787,6.745,6.74,6.76,203,
2025-03-12,MOMO,729,0.010089285714285887,0.009999999999999787,6.765,6.76,6.77,112,
2025-03-13,AEO,605,0.018238153098420244,0.019999999999999574,11.475000000000001,11.46,11.5,823,
2025-03-13,AEO,616,0.014595141700404626,0.009999999999999787,11.495000000000001,11.49,11.53,494,
2025-03-14,TBCH,848,0.046551724137931606,0.049999999999998934,13.555,13.54,13.61,58,
2025-03-20,IMCR,624,0.2751851851851861,0.3100000000000023,31.125,30.97,31.13,27,
2025-04-01,TCMD,710,0.07392473118279562,0.07000000000000028,14.025,13.99,14.09,186,
2025-04-02,JELD,802,0.01301587301587326,0.010000000000000675,6.1850000000000005,6.18,6.18,63,
2025-04-02,PESI,956,0.010399999999999777,0.009999999999999787,7.375,7.37,7.37,25,
2025-04-03,ONON,602,0.031861471861471924,0.030000000000001137,38.86,38.85,38.91,462,
2025-04-04,BLDR,840,0.43914285714286033,0.45000000000000284,124.5175,124.39,124.47,70,
2025-04-04,BLDR,842,0.3859615384615386,0.4300000000000068,124.5625,124.35,124.65,52,
2025-04-09,DLTR,914,0.15173652694610704,0.1599999999999966,72.58,72.5,72.67,334,
2025-04-09,DLTR,932,0.12301526717557189,0.12000000000000455,72.9375,72.89,73.04,262,
2025-04-09,DLTR,952,0.09207792207792329,0.09000000000000341,72.93,72.88,73.14,770,
2025-04-09,TFIN,871,,,,,,0,
2025-04-09,TFIN,879,0.8299999999999983,0.8299999999999983,54.005,53.59,53.59,1,
2025-04-09,WERN,955,0.06466292134831479,0.0799999999999983,28.83,28.79,28.81,178,
2025-04-15,ZBIO,943,0.09882352941176412,0.07000000000000028,8.8075,8.75,8.8,34,
2025-04-22,CLPT,855,0.08694444444444407,0.08999999999999986,12.96,12.91,12.98,36,
2025-04-22,CLPT,856,0.08999999999999986,0.08999999999999986,12.975,12.93,12.95,4,
2025-04-24,VSTM,955,0.010000000000000675,0.010000000000000675,7.525,7.52,7.52,18,
2025-04-25,FIX,705,2.096486486486481,2.1149999999999807,404.805,403.93,404.22,74,
2025-04-28,INMD,601,0.047941176470588855,0.05000000000000071,14.775,14.75,14.78,170,
2025-04-28,INMD,602,0.05044444444444482,0.05000000000000071,14.815,14.78,14.82,135,
2025-04-28,INMD,605,0.031860465116279206,0.02999999999999936,14.86,14.84,14.87,129,
2025-04-29,MBIN,661,0.13769230769230872,0.129999999999999,30.555,30.49,30.55,13,
2025-04-30,TENB,601,0.13376288659793847,0.1399999999999988,30.585,30.49,30.62,194,
2025-04-30,TENB,602,0.1873469387755097,0.19000000000000128,30.62,30.52,30.53,49,
2025-05-01,GL,678,0.23027027027027208,0.25,117.175,117.05,117.18,37,
2025-05-01,GL,681,0.38262499999999927,0.36999999999999744,117.53999999999999,117.36,117.75,80,
2025-05-06,FN,601,1.2584000000000015,1.1800000000000068,203.765,203.49,203.5,25,
2025-05-06,FN,602,1.289766081871345,1.3200000000000216,205.065,204.59,205.14,171,
2025-05-06,IPI,773,0.176923076923077,0.1700000000000017,38.0225,37.95,37.99,26,
2025-05-06,IPI,778,0.10923076923076937,0.10999999999999943,38.065,38.01,38.05,13,
2025-05-06,LPX,674,0.24377777777777934,0.28000000000000114,92.53,92.37,92.45,45,
2025-05-06,LPX,701,0.21999999999999886,0.21999999999999886,92.78,92.67,92.67,3,
2025-05-06,LPX,955,0.08386666666666599,0.0799999999999983,90.53999999999999,90.52,90.73,150,
2025-05-08,AXON,619,5.752765957446819,6.190000000000055,675.78,672.68,677.99,141,
2025-05-08,AXON,630,3.2746808510638292,3.3799999999999955,678.31,676.62,678.26,47,
2025-05-08,AXON,650,1.7130232558139793,1.7200000000000273,679.14,678.28,679.99,43,
2025-05-08,AXON,656,2.8697727272727422,2.8600000000000136,679.3375,678.67,680.37,44,
2025-05-08,DGII,711,0.30999999999999517,0.30999999999999517,32.495000000000005,32.34,32.34,5,
2025-05-08,ESTA,955,0.09315789473683965,0.10999999999999943,34.685,34.63,34.64,38,
2025-05-08,SGI,688,0.06785714285714153,0.060000000000002274,60.305,60.27,60.29,28,
2025-05-08,SGI,695,0.054334975369459325,0.05999999999999517,60.41,60.38,60.45,203,
2025-05-08,ZG,696,0.07195652173913049,0.07000000000000028,67.21000000000001,67.16,67.25,46,
2025-05-08,ZG,722,0.09974358974359213,0.10999999999999943,67.61,67.56,67.63,78,
2025-05-09,CARS,631,0.02767441860465115,0.02999999999999936,10.86,10.85,10.86,86,
2025-05-09,CARS,955,0.011066666666666485,0.009999999999999787,10.475000000000001,10.47,10.48,225,
2025-05-09,MGNI,955,0.010811209439527887,0.009999999999999787,15.14,15.13,15.15,678,
2025-05-09,NGVC,799,0.47812499999999786,0.4799999999999969,59.095,58.82,59.04,48,
2025-05-09,NGVC,847,0.3314705882352936,0.3299999999999983,59.21,59.06,59.07,34,
2025-05-09,NGVC,848,0.41571428571428726,0.4200000000000017,59.29,59.08,59.08,7,
2025-05-09,NGVC,910,0.2526666666666671,0.269999999999996,60.315,60.17,60.27,45,
2025-05-09,NGVC,942,0.2929729729729721,0.22999999999999687,60.504999999999995,60.43,60.43,37,
2025-05-09,NGVC,944,0.4299999999999997,0.4299999999999997,60.644999999999996,60.43,60.43,10,
2025-05-12,XPO,782,0.27444444444444055,0.2799999999999869,128.0,127.86,127.99,45,
2025-05-12,XPO,801,0.27388235294117647,0.28000000000000114,128.52499999999998,128.37,128.41,85,
2025-05-12,XPO,823,0.26619999999998983,0.28999999999999204,128.76999999999998,128.62,128.64,50,
2025-05-13,AS,955,0.027147239263803642,0.030000000000001137,31.22,31.2,31.24,326,
2025-05-20,TRNS,867,,,,,,0,
2025-05-22,ENPH,663,0.029115456238361554,0.030000000000001137,38.45,38.44,38.56,1074,
2025-05-22,ENPH,667,0.028757875787578824,0.030000000000001137,38.54,38.52,38.61,1111,
2025-05-23,ASPN,843,0.009999999999999787,0.009999999999999787,6.615,6.61,6.62,46,
2025-05-23,ASPN,955,0.009999999999999787,0.009999999999999787,6.405,6.4,6.41,203,
2025-05-23,BAH,782,0.13365671641791285,0.12000000000000455,108.3475,108.28,108.59,134,
2025-05-23,MIR,955,0.010720720720721031,0.010000000000001563,18.755000000000003,18.75,18.77,333,
2025-05-27,CMP,613,0.09958904109589051,0.10000000000000142,20.48,20.44,20.47,73,
2025-05-27,CMP,622,0.10884615384615337,0.10999999999999943,20.535,20.48,20.5,26,
2025-05-29,S,662,0.010016977928692897,0.010000000000001563,17.755000000000003,17.75,17.78,589,
2025-05-29,S,667,0.01144664031620545,0.010000000000001563,17.705,17.7,17.76,1265,
2025-05-30,ESTC,661,0.1300000000000023,0.14000000000000057,82.49000000000001,82.47,82.51,89,
2025-05-30,ESTC,669,0.09788321167883479,0.0899999999999892,82.89,82.85,82.92,137,
2025-06-02,BNTX,623,0.4241666666666719,0.44000000000001194,113.07499999999999,112.82,113.29,120,
2025-06-05,BKSY,796,0.03999999999999915,0.03999999999999915,12.15,12.13,12.13,5,
2025-06-05,BKSY,818,0.04576923076923137,0.05000000000000071,12.219999999999999,12.19,12.2,26,
2025-06-05,BKSY,821,0.04500000000000082,0.04500000000000082,12.2225,12.2,12.2,6,
2025-06-05,BROS,646,0.16006410256410047,0.1599999999999966,77.735,77.66,77.78,156,
2025-06-06,CRSP,732,0.0818000000000012,0.0799999999999983,41.805,41.77,41.81,50,
2025-06-06,LEGN,955,0.061216216216215945,0.07000000000000028,35.004999999999995,34.97,35.01,74,
2025-06-11,GTLB,608,0.03469354838709726,0.020000000000003126,44.0125,43.99,44.14,620,
2025-06-11,GTLB,609,0.04176838810641635,0.03999999999999915,44.245,44.23,44.31,639,
