pop,day,symbol,hour,price,entry_m,sig_ix,ref,limit,touch_off,fill_m,entry,rpct,rr,why,exit_m,ssr_active,ssr_undet,split
P1,2025-01-23,ORKA,11,12.43,720,339,12.41,12.5341,5,735,12.5341,0.019999999999999952,0.5349406818199968,eod,955,False,False,TRAIN
P1,2025-01-27,BRZE,9,46.875,600,454,46.875,47.34375,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-01-29,DAVE,12,97.25,780,571,97.2,98.172,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-01-29,PAM,12,84.73,782,571,84.84,85.6884,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-01-30,STVN,9,22.36,600,587,22.45,22.6745,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-01-30,STVN,9,22.36,600,612,22.45,22.6745,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-01-30,NGNE,9,16.075,600,587,16.21,16.3721,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-03,WAY,10,39.955,660,730,39.98,40.379799999999996,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-03,HOOD,10,51.68,660,737,51.7,52.217000000000006,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-04,GPCR,10,28.98,660,807,28.99,29.279899999999998,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-05,SLAB,14,146.28,900,837,146.15,147.6115,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-05,AGX,14,143.955,900,837,143.955,145.39455,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-06,TPB,10,64.68,660,930,64.85,65.49849999999999,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-10,PARR,9,17.28,600,1090,17.295,17.467950000000002,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-11,HIMX,9,9.99,600,1159,9.99,10.0899,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-12,PAM,14,78.3,903,1203,78.29,79.0729,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-12,GFS,13,42.75,840,1209,42.77,43.197700000000005,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-12,GH,13,45.65,840,1209,45.64,46.0964,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-14,BHF,9,61.2,600,1329,61.195,61.80695,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-14,PPC,10,55.36,660,1330,55.36,55.9136,3,663,55.9136,0.019999999999999955,-1.0509999999999966,stop,723,False,False,TRAIN
P1,2025-02-14,MLYS,10,10.345,660,1348,10.345,10.448450000000001,7,674,10.448450000000001,0.019999999999999973,1.117151347807577,eod,955,False,False,TRAIN
P1,2025-02-18,BOOM,10,9.115,662,1391,9.13,9.221300000000001,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-18,JOBY,9,8.13,600,1401,8.135,8.21635,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-18,CEPU,10,13.235,660,1410,13.25,13.3825,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-18,GPRE,14,6.61,900,1414,6.61,6.676100000000001,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-20,PAAS,12,25.66,780,1516,25.66,25.9166,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-25,PATK,10,94.16,660,1813,94.19,95.1319,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-25,PATK,11,92.97,720,1814,92.955,93.88455,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-26,BCYC,9,11.41,600,1926,11.28,11.3928,0,600,11.3928,0.020000000000000084,-1.0509999999999913,stop,626,False,False,TRAIN
P1,2025-02-26,PLAB,12,21.33,780,1933,21.33,21.5433,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-26,MAN,11,56.8299,720,1934,56.77,57.337700000000005,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-27,DORM,10,127.56,662,2049,127.73,129.00730000000001,6,687,129.00730000000001,0.0200000000000001,0.9562637153091321,eod,955,False,False,TRAIN
P1,2025-02-28,COGT,12,7.3,780,2114,7.3,7.373,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-03-04,FUTU,14,110.02,900,2253,109.95,111.04950000000001,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-03-05,ZH,13,5.57,840,2393,5.57,5.6257,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-03-10,RVLV,12,24.53,780,2677,24.54,24.7854,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-03-11,RVMD,14,39.07,900,2771,39.135,39.52635,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-03-11,MGNI,9,12.83,600,2776,12.85,12.9785,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-03-11,SIMO,14,53.195,900,2780,53.195,53.72695,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-03-14,SEZL,10,233.17,661,2943,232.44,234.7644,2,667,234.7644,0.02000000000000002,0.4993090945645943,eod,955,False,False,TRAIN
P1,2025-03-20,NN,10,12.13,660,3104,12.13,12.2513,-1,-1,,,,unfilled,-1,False,False,TRAIN
