day,symbol,split,entry_price,r_pct,book_r,entry_m,gap_pct,prev_close,adv20,advd
2025-02-24,RPID,TRAIN,3.04,1.644736842105257,-1.2000000000000053,631,-1.56,3.21,583313.15,1633276.82
2025-02-27,MSW,TRAIN,5.09,5.69744597249509,-1.0344827586206888,587,7.2,4.86,420618.05,1791832.893
2025-02-27,PMA,TRAIN,5.09,5.69744597249509,-1.0344827586206888,587,7.2,4.86,420612.0,1791807.1199999999
2025-02-28,PCLA,TRAIN,5.28,3.030303030303033,-1.1250000000000027,610,9.95,5.63,1782543.95,8645338.157499999
2025-02-28,STAK,TRAIN,3.52,3.1249999999999964,0.6363636363636356,616,-0.83,3.63,,
2025-03-04,MAXN,TRAIN,3.22,3.7267080745341645,-1.0833333333333353,604,0.29,3.4,295062.5,956002.5000000001
2025-03-11,EWCZ,TRAIN,4.13,3.8740920096852225,1.687500000000006,596,-46.77,5.11,423153.15,1883031.5175
2025-03-19,KBSX,TRAIN,3.87,4.392764857881136,5.411764705882355,607,-36.25,6.6,2714040.75,10991865.0375
2025-03-20,OM,TRAIN,10.02,3.592814371257479,3.4722222222222276,626,1322.62,1.1,1110199.7,12523052.615999999
2025-03-20,TITN,TRAIN,15.34,5.019556714471966,2.272727272727274,584,-15.14,14.73,230755.0,3837455.65
2025-03-31,WHLR,TRAIN,3.51,2.5641025641025603,-1.111111111111109,644,-7.27,3.3,2546969.95,8048425.042000001
2025-04-07,TNXP,TRAIN,17.19,2.1524141942990167,0.7567567567567481,596,-6.97,15.64,1700591.4,30270526.919999998
2025-04-16,FATN,TRAIN,7.99,1.877346683354197,2.5999999999999974,605,-13.14,7.42,883389.5555555555,7994675.477777778
2025-05-02,CPS,TRAIN,19.79,4.042445679636184,2.2249999999999996,592,11.3,15.22,378797.0,8288078.359999999
2025-05-16,TSSI,TRAIN,13.92,3.0890804597701127,1.8604651162790726,597,46.56,8.87,947907.3,14635688.712
2025-05-23,RYET,TRAIN,13.09,4.58365164247517,-1.0666666666666682,614,-4.14,13.77,1187461.9,15858553.6745
2025-05-28,FMST,TRAIN,3.72,4.56989247311829,1.0588235294117607,582,9.26,3.24,832094.3,3136995.5110000004
2025-06-09,NEGG,TRAIN,13.57,3.4635224760501155,0.744680851063828,625,0.0,10.4,931289.55,12749353.9395
2025-06-16,AGIG,TRAIN,11.33,4.5013239187996446,-1.058823529411767,592,-11.31,15.65,2104276.05,22305326.13
2025-07-09,EGG,TRAIN,7.19,3.19888734353269,1.3043478260869534,597,-4.17,6.0,1111589.25,9748637.7225
2025-08-07,SDM,TRAIN,10.74,3.445065176908761,1.5945945945945899,618,-1.87,10.68,752520.95,7826217.88
2025-09-11,FABC,TRAIN,4.84,3.0991735537189973,1.4000000000000048,593,-4.21,5.22,341498.45,1912391.3199999998
2025-09-11,SBLX,TRAIN,4.84,3.0991735537189973,1.4000000000000048,593,-4.21,5.22,476686.7272727273,2669445.672727273
2025-10-13,AQMS,TRAIN,6.83,3.221083455344067,1.500000000000002,579,12.19,5.66,2592400.6,25690689.946000002
2025-10-13,IPDN,TRAIN,3.62,4.419889502762435,2.4999999999999947,597,-1.35,2.96,2643889.95,10443365.302500002
2025-10-16,DFNS,TRAIN,15.28,2.7486910994764395,-1.0952380952380931,578,8.7,13.11,2763531.8,36533890.396
2025-11-05,DTCK,TRAIN,4.49,2.2271714922049117,0.6999999999999902,585,-3.14,5.1,2274726.4,14421765.375999998
2025-11-14,AREN,TRAIN,3.86,5.44041450777202,2.714285714285714,586,-11.25,4.0,228795.95,988398.5040000001
2025-11-14,PAAI,TRAIN,3.86,5.44041450777202,2.714285714285714,586,-13.75,4.0,228795.95,988398.5040000001
2025-11-20,VELO,TRAIN,4.92,3.658536585365848,1.3333333333333366,586,4.58,4.15,578889.05,2564478.4915
2025-12-08,PHGE,TRAIN,3.2,3.4375000000000098,-1.0909090909090886,538,-44.68,5.17,681064.65,2220270.759
2025-12-23,KZIA,TRAIN,8.12,4.433497536945806,3.250000000000005,636,-0.9,10.0,284764.55,2443279.839
2025-12-29,KXIN,TRAIN,5.2,4.615384615384619,-0.08333333333333519,615,-13.95,6.0,1456492.2,7398980.376
2025-12-29,KXIN,TRAIN,5.2,4.615384615384619,-1.0416666666666659,619,-13.95,6.0,1456492.2,7398980.376
2026-01-06,VELO,VAL,17.1,2.6900584795321687,0.3260869565217354,589,2.81,15.66,1890032.9,35835023.784
2026-01-27,BNRG,VAL,3.19,5.015673981191227,0.75,600,-1.95,3.59,926650.0,2965280.0
2026-01-27,BRNX,VAL,3.19,5.015673981191227,0.75,600,-1.95,3.59,926502.0,2964806.4000000004
2026-02-12,KPTI,VAL,7.81,3.841229193341867,2.3000000000000025,586,-11.8,7.37,415232.15,3712175.421
2026-02-17,DBGI,VAL,5.66,3.1802120141342707,-1.1111111111111138,623,6.47,4.79,767334.2,4235684.783999999
2026-02-24,ADVB,VAL,4.88,3.2786885245901667,-1.0624999999999987,642,-0.49,4.06,424841.0,1580408.52
2026-02-25,LAW,VAL,3.1,4.5161290322580685,-1.0714285714285698,602,-12.27,3.26,494941.9,1366039.6439999999
2026-02-27,ANPA,VAL,11.04,4.438405797101436,-1.0612244897959209,614,-1.48,12.8,539808.3,5608608.237000001
2026-03-06,QCLS,VAL,3.97,4.53400503778338,0.7777777777777778,620,-2.59,3.48,327994.25,1475974.125
2026-03-13,EDHL,VAL,3.64,3.57142857142858,0.23076923076922867,613,8.67,3.4601,210531.2,892652.2880000001
2026-03-26,MKDW,VAL,6.13,4.404567699836861,2.0740740740740793,591,0.38,5.23,370921.7,2893189.2600000002
2026-04-01,GLND,VAL,8.22,2.433090024330913,-1.149999999999996,587,-0.57,8.75,1453348.75,12251729.9625
2026-04-09,TMCR,VAL,11.56,3.027681660899651,2.142857142857145,597,-14.07,14.0,,
2026-05-15,TRT,VAL,18.47,3.5192203573362133,1.0000000000000056,645,6.28,14.02,2739947.1,54935939.355000004
2026-05-20,MLGO,VAL,4.6,4.347826086956506,2.9000000000000106,615,-1.04,3.83,607928.9,3258498.904
