cell,n,H1,H2,VAL,all,null_p95,tr_wk_H1,tr_wk_H2,tr_wk_VAL,clust_t,mde,era_pos,above_null,FINDING
minute 09:37-10:30,96877,-0.14861008171593668,-0.1445914086069678,-0.1280280380175998,-0.14070042192537896,-0.05848860305603004,29.692307692307693,30.85185185185185,30.652173913043477,-7.102485274402547,0.009088204961232343,False,False,False
minute 10:30-11:30,74686,-0.08593448516941725,-0.04623365142735644,-0.05403444293133543,-0.06196690964675145,-0.05866082712963692,29.692307692307693,30.85185185185185,30.652173913043477,-2.878121521058934,0.010202132184268653,False,False,False
minute 11:30-13:00,101236,-0.04146577236406469,-0.02074686537121862,-0.04567629255696132,-0.03529993328706966,-0.05806764036497545,29.692307692307693,30.85185185185185,30.652173913043477,-1.828260141692812,0.007820183321097594,False,True,False
minute 13:00-14:01,66426,-0.052044584815196686,-0.03367393107348968,0.015297570376098569,-0.025350160189900908,-0.05848184092706045,29.692307692307693,30.85185185185185,30.652173913043477,-1.5372715257496696,0.008441749182203081,False,True,False
r_pct <1.5%,59503,-0.07238592398012111,-0.002938527048020119,-0.057487551056188274,-0.043290175910161675,-0.05852114341030272,5.8076923076923075,5.407407407407407,4.608695652173913,-1.5814982022369004,0.015308172085235137,False,True,False
r_pct 1.5-3%,95316,-0.13167752783603276,-0.06649344010139167,-0.07791065570601242,-0.09425332487064897,-0.058013229662192724,9.384615384615385,8.407407407407407,7.565217391304348,-3.484024491901925,0.009862986771309512,False,False,False
r_pct >=3%,184406,-0.0556419978424025,-0.08327115376865676,-0.053125671664259966,-0.06483782482789732,-0.05831135532116738,14.5,17.037037037037038,18.47826086956522,-4.9283263482983,0.004159963916534189,False,False,False
ADV$ <$25M,87337,-0.07625596138038358,-0.09889328643053698,-0.10297151306591865,-0.09368035291321493,-0.05851589959047953,13.538461538461538,17.14814814814815,13.565217391304348,-5.19666907511731,0.007961586592834455,False,False,False
ADV$ $25-150M,149959,-0.09870225359074246,-0.07281754687970701,-0.07652257606311885,-0.08299773976862926,-0.05831751929716048,25.192307692307693,24.62962962962963,21.956521739130434,-4.8328429342354156,0.006666923415931008,False,False,False
ADV$ >=$150M,101929,-0.06525730609884636,-0.007707850185913705,-0.007700754609213228,-0.028335509378302877,-0.05837626264019014,20.153846153846153,16.037037037037038,17.043478260869566,-1.216667133623013,0.00887196268679198,False,True,False
class wrapper,131869,-0.17535498633781074,-0.10548991003217542,-0.11542880995335739,-0.13129153488940049,-0.05861239498640674,11.23076923076923,12.185185185185185,12.08695652173913,-6.33362867529834,0.007750401252906504,False,False,False
class stock,206310,-0.026450863851539354,-0.0384675843738122,-0.024139732348906713,-0.030020418305106877,-0.058222795455186015,18.26923076923077,18.555555555555557,18.652173913043477,-1.6842396228587595,0.0054025868939396905,False,True,False
09:37-10:30|<1.5%|<$25M|wrapper,1848,-0.24190216732764155,-0.1295194857070297,-0.24754304626891047,-0.1898132562566119,-0.03310639512914353,1.8461538461538463,1.8148148148148149,0.8260869565217391,-2.6949018071320547,0.09509069035332446,False,False,False
09:37-10:30|<1.5%|<$25M|stock,128,0.5571424234620458,-0.003931552753312156,0.05491774310300928,0.07420148865442565,0.06547256683144555,0.11538461538461539,0.2962962962962963,0.2608695652173913,0.4015285523231093,0.36307145115569883,False,True,False
09:37-10:30|<1.5%|$25-150M|wrapper,2752,-0.22167003778431627,-0.20476945318201956,-0.2779103549216562,-0.22632222380225997,-0.03996142358579765,2.576923076923077,2.2962962962962963,1.4782608695652173,-5.353099781514064,0.07336069242447313,False,False,False
09:37-10:30|<1.5%|$25-150M|stock,2698,0.008405775310959865,0.04700767676499819,-0.11946078094074596,-0.005379994150816831,-0.03967732010401921,2.3846153846153846,2.111111111111111,1.5217391304347827,-0.08558724800526091,0.07851798352456515,False,True,False
09:37-10:30|<1.5%|>=$150M|wrapper,1060,-0.2483445098398264,-0.23601619404604476,-0.6130300927539447,-0.3136755948968858,-0.022101658396040717,2.1538461538461537,1.4814814814814814,0.9130434782608695,-5.2287860731632465,0.11461880124647437,False,False,False
09:37-10:30|<1.5%|>=$150M|stock,4391,-0.06588453940551761,0.0417622298781271,-0.07055353806439965,-0.03287521577634164,-0.04478526221032707,2.769230769230769,2.4074074074074074,2.4347826086956523,-0.5644152406790494,0.06012458302640338,False,True,False
09:37-10:30|1.5-3%|<$25M|wrapper,3707,-0.3398290340101788,-0.2832094515597304,-0.27149181681342455,-0.2965146579648342,-0.04363362527876064,2.8076923076923075,2.8518518518518516,2.130434782608696,-6.0589351805283185,0.05507247098764209,False,False,False
09:37-10:30|1.5-3%|<$25M|stock,1093,-0.13839889066001249,-0.11037899150624424,-0.24388205939654742,-0.14557774685658506,-0.021645661759353865,0.6923076923076923,0.7777777777777778,0.4782608695652174,-1.7314632426659833,0.09699712693757452,False,False,False
09:37-10:30|1.5-3%|$25-150M|wrapper,5755,-0.37338615169466427,-0.34162371817787335,-0.2178598308607299,-0.32002749297196703,-0.04926915246393914,4.5,3.2222222222222223,2.9565217391304346,-7.612111429084448,0.043901756251186724,False,False,False
09:37-10:30|1.5-3%|$25-150M|stock,4823,-0.14840826662867873,0.0073460741326505435,-0.03358441775837567,-0.06447950011585948,-0.04748522197000832,3.769230769230769,3.3333333333333335,2.347826086956522,-1.2648986161589044,0.04971695352061545,False,False,False
09:37-10:30|1.5-3%|>=$150M|wrapper,2210,-0.31988466606570565,-0.16030740688200013,0.00889975830858607,-0.21809840508689446,-0.03772794754093721,3.6153846153846154,1.962962962962963,2.0869565217391304,-3.2017721454099313,0.07487757633479808,False,False,False
09:37-10:30|1.5-3%|>=$150M|stock,7710,-0.02932323755028455,-0.023812696024578802,-0.07341955413338884,-0.04366792041028577,-0.05255467135142189,3.6923076923076925,3.6296296296296298,3.6956521739130435,-0.8134886584488504,0.03968755875872877,False,True,False
09:37-10:30|>=3%|<$25M|wrapper,10712,-0.16878877024825054,-0.17222191025124525,-0.17743956570606317,-0.17354114041862861,-0.054167026293773936,2.6153846153846154,5.7407407407407405,6.043478260869565,-5.89812894396456,0.022190414030311318,False,False,False
09:37-10:30|>=3%|<$25M|stock,9239,-0.11029213887639179,-0.1801860979134864,-0.13068214132041098,-0.1445119938828529,-0.05311707164816178,5.076923076923077,5.407407407407407,3.739130434782609,-6.239217906905123,0.020734271893817942,False,False,False
09:37-10:30|>=3%|$25-150M|wrapper,9219,-0.1893457362345102,-0.19757782228345822,-0.2109373988373887,-0.20172328233942485,-0.05329944446104608,3.6153846153846154,5.666666666666667,6.130434782608695,-7.022419092958795,0.024120085979168406,False,False,False
