book,day,symbol,entry_m,split,arm,ctrl,ctrl_m,rr,why
bf,2025-02-24,RPID,631,TRAIN,sig,RPID,631,-1.4723589289256276,stop
bf,2025-02-24,RPID,631,TRAIN,a2,RPID,669,-1.3715392220366205,stop
bf,2025-02-24,RPID,631,TRAIN,a2,RPID,690,1.8441817733816832,trail_stop
bf,2025-02-24,RPID,631,TRAIN,a2,RPID,734,1.1641751409395935,trail_stop
bf,2025-02-24,RPID,631,TRAIN,a2,RPID,699,2.437411616438358,trail_stop
bf,2025-02-24,RPID,631,TRAIN,a2,RPID,758,-1.2856069702970274,stop
bf,2025-02-24,RPID,631,TRAIN,a2,RPID,874,-1.059800000000005,stop
bf,2025-02-24,RPID,631,TRAIN,a2,RPID,683,2.7138672376873765,trail_stop
bf,2025-02-24,RPID,631,TRAIN,a2,RPID,830,-1.0597999999999934,stop
bf,2025-02-24,RPID,631,TRAIN,a2,RPID,841,-1.0597999999999963,stop
bf,2025-02-24,RPID,631,TRAIN,a2,RPID,692,2.587183359452927,trail_stop
bf,2025-02-24,RPID,631,TRAIN,b,ZVIA,631,0.2594330996647334,flat
bf,2025-02-24,RPID,631,TRAIN,b,BZUN,631,-1.0597999999999983,stop
bf,2025-02-24,RPID,631,TRAIN,b,RGTIW,631,-1.225661369863014,stop
bf,2025-02-24,RPID,631,TRAIN,b,AMLX,631,1.0924759493670892,trail_stop
bf,2025-02-24,RPID,631,TRAIN,b,DC,631,-1.3690289230769244,stop
bf,2025-02-24,RPID,631,TRAIN,b,KLTR,631,-1.0598000000000027,stop
bf,2025-02-24,RPID,631,TRAIN,b,EVTL,631,1.4646136986301517,trail_stop
bf,2025-02-24,RPID,631,TRAIN,u,SINT,631,3.62621082673542,trail_stop
bf,2025-02-24,RPID,631,TRAIN,u,CSAI,631,-1.696191030303038,stop
bf,2025-02-24,RPID,631,TRAIN,u,HIBS,631,-1.059799999999994,stop
bf,2025-02-24,RPID,631,TRAIN,u,GHRS,631,-1.0598000000000014,stop
