day,symbol,entry_m,ctrl
2025-01-10,KITT,0,SARK
2025-01-10,KITT,0,SIDU
2025-01-10,KITT,0,CXW
2025-01-10,KITT,0,HSAI
2025-01-10,KITT,0,GPCR
2025-01-10,KITT,0,KLG
2025-01-10,KITT,0,RSI
2025-01-10,KITT,0,TSLR
2025-01-10,KITT,0,QS
2025-01-10,KITT,0,LAW
2025-01-10,KITT,0,EXFY
2025-01-10,KITT,0,WVE
2025-01-10,KITT,0,FRSX
2025-01-10,KITT,0,INTZ
2025-01-10,KITT,0,NEO
2025-01-10,KITT,0,DATS
2025-01-10,KITT,0,ALNT
2025-01-10,KITT,0,LPSN
2025-01-10,KITT,0,DNA
2025-01-10,KITT,0,VITL
2025-01-10,KITT,0,TMDX
2025-01-10,KITT,0,SPRY
2025-01-10,KITT,0,TWFG
2025-01-10,KITT,0,ATNF
2025-01-10,KITT,0,COEP
2025-01-10,AMPX,0,VRA
2025-01-10,AMPX,0,FGF
2025-01-10,AMPX,0,SNDX
2025-01-10,AMPX,0,AISP
2025-01-10,AMPX,0,BYON
2025-01-10,AMPX,0,UP
2025-01-10,AMPX,0,ARRY
2025-01-10,AMPX,0,CMTG
2025-01-10,AMPX,0,WAVE
2025-01-10,AMPX,0,DJT
2025-01-10,AMPX,0,ALUR
2025-01-10,AMPX,0,BLIN
2025-01-10,AMPX,0,XLO
2025-01-10,AMPX,0,MYGN
2025-01-10,AMPX,0,EHTH
2025-01-10,AMPX,0,TSVT
2025-01-10,AMPX,0,ANF
2025-01-10,AMPX,0,ARVN
2025-01-10,AMPX,0,HCC
2025-01-10,AMPX,0,ATUS
2025-01-10,AMPX,0,IBIO
2025-01-10,AMPX,0,CRVS
2025-01-10,AMPX,0,ICLK
2025-01-10,AMPX,0,JXG
2025-01-10,AMPX,0,IE
2025-01-13,GRRR,0,OPFI+
2025-01-13,GRRR,0,FOA
2025-01-13,GRRR,0,COCO
2025-01-13,GRRR,0,ICLK
2025-01-13,GRRR,0,DIOD
2025-01-13,GRRR,0,VSEE
2025-01-13,GRRR,0,CTXR
2025-01-13,GRRR,0,SKYX
2025-01-13,GRRR,0,VMAR
2025-01-13,GRRR,0,CVAC
2025-01-13,GRRR,0,LABU
2025-01-13,GRRR,0,MVIS
2025-01-13,GRRR,0,VCIG
2025-01-13,GRRR,0,KYMR
2025-01-13,GRRR,0,BTU
2025-01-13,GRRR,0,ASND
2025-01-13,GRRR,0,NAMI
2025-01-13,GRRR,0,DK
2025-01-13,GRRR,0,BHVN
2025-01-13,GRRR,0,ATCH
2025-01-13,GRRR,0,IMMR
2025-01-13,GRRR,0,PSQH
2025-01-13,GRRR,0,ASTL
2025-01-13,GRRR,0,EVC
2025-01-13,GRRR,0,BLUE
2025-01-14,SERV,0,CMPX
2025-01-14,SERV,0,INVZ
2025-01-14,SERV,0,MPW
2025-01-14,SERV,0,JFBR
2025-01-14,SERV,0,SMCX
2025-01-14,SERV,0,STVN
2025-01-14,SERV,0,TSSI
2025-01-14,SERV,0,ACIU
2025-01-14,SERV,0,BDTX
2025-01-14,SERV,0,ICG
2025-01-14,SERV,0,VRNA
2025-01-14,SERV,0,COMP
2025-01-14,SERV,0,NPCE
2025-01-14,SERV,0,CRVS
2025-01-14,SERV,0,RGEN
2025-01-14,SERV,0,BLIN
2025-01-14,SERV,0,HCAT
2025-01-14,SERV,0,AVL
2025-01-14,SERV,0,ANF
2025-01-14,SERV,0,ESPR
2025-01-14,SERV,0,JOBY
2025-01-14,SERV,0,RDUS
2025-01-14,SERV,0,SNDX
2025-01-14,SERV,0,CMTL
2025-01-14,SERV,0,HLVX
2025-01-14,ARBE,0,LBGJ
2025-01-14,ARBE,0,IHRT
2025-01-14,ARBE,0,IESC
2025-01-14,ARBE,0,GATO
2025-01-14,ARBE,0,GRNQ
2025-01-14,ARBE,0,PLRX
2025-01-14,ARBE,0,GANX
2025-01-14,ARBE,0,DPST
2025-01-14,ARBE,0,LIDR
2025-01-14,ARBE,0,IE
2025-01-14,ARBE,0,TNON
2025-01-14,ARBE,0,AVL
2025-01-14,ARBE,0,CMMB
2025-01-14,ARBE,0,MBX
2025-01-14,ARBE,0,CRBU
2025-01-14,ARBE,0,GUTS
2025-01-14,ARBE,0,BLFS
2025-01-14,ARBE,0,OPCH
2025-01-14,ARBE,0,CARA
2025-01-14,ARBE,0,IAC
2025-01-14,ARBE,0,CDLX
2025-01-14,ARBE,0,ASNS
2025-01-14,ARBE,0,DDD
2025-01-14,ARBE,0,RRGB
2025-01-14,ARBE,0,RVLV
2025-01-15,BFLY,0,GROV
2025-01-15,BFLY,0,LESL
2025-01-15,BFLY,0,CGEN
2025-01-15,BFLY,0,ZVIA
2025-01-15,BFLY,0,BCAX
2025-01-15,BFLY,0,IFRX
2025-01-15,BFLY,0,CDLX
2025-01-15,BFLY,0,PTCT
2025-01-15,BFLY,0,UK
2025-01-15,BFLY,0,VCEL
2025-01-15,BFLY,0,AENT
2025-01-15,BFLY,0,CRSR
2025-01-15,BFLY,0,NFE
2025-01-15,BFLY,0,SWIN
2025-01-15,BFLY,0,INMB
2025-01-15,BFLY,0,ARRY
2025-01-15,BFLY,0,VIR
2025-01-15,BFLY,0,CONI
2025-01-15,BFLY,0,BLDE
2025-01-15,BFLY,0,AGL
2025-01-15,BFLY,0,BBAR
2025-01-15,BFLY,0,RVSN
2025-01-15,BFLY,0,EVER
2025-01-15,BFLY,0,CVGW
2025-01-15,BFLY,0,CMPX
2025-01-15,ATOM,0,DBVT
2025-01-15,ATOM,0,QXO
2025-01-15,ATOM,0,IGMS
2025-01-15,ATOM,0,AISP
2025-01-15,ATOM,0,OSS
2025-01-15,ATOM,0,NVCT
2025-01-15,ATOM,0,MSS
