cell,split,n,per_wk,gross,cost,net,clust_t,green,null_p95,redstreak,worst,total,wk_dollar,mdd,ex5,h1,h2,mde,x_target,x_lock,x_trail,x_stop,x_eod,note
X0,TRAIN,1622,30.60377358490566,-0.03895918684147365,0.06798002849533383,-0.10693921533680749,-2.9931691681122707,32.075471698113205,37.735849056603776,5,-2231.432721493132,-17345.540727630167,-327.27435335151256,-18928.988592607813,-0.21816972125039874,-0.14325229361401337,-0.07254423483174693,0.08766022312870501,20.34525277435265,0.0,0.0,51.72626387176326,27.928483353884094,
X0,VAL,706,30.695652173913043,0.08272033029467891,0.07006955092013452,0.012650779374544365,0.26162959495333044,43.47826086956522,60.86956521739131,4,-957.3728770391667,893.1450238428332,38.83239234099275,-2940.0336675961453,-0.09302888820971139,,0.012650779374544365,0.13226736123718896,21.246458923512748,0.0,0.0,45.75070821529745,33.0028328611898,
G1,TRAIN,1622,30.60377358490566,-0.004120184370379998,0.07348562504059591,-0.07760580941097593,-1.445802349905986,33.9622641509434,41.509433962264154,4,-2244.249974216496,-12587.662286460294,-237.5030620086848,-15807.810595769357,-0.3437045777939065,-0.1013941229832747,-0.055074021405521256,0.11185961408569374,0.0,11.775585696670776,0.0,50.0,38.224414303329226,
G1,VAL,706,30.695652173913043,0.08909930498495386,0.07600105261401821,0.013098252370935618,0.2256622586093092,47.82608695652174,56.52173913043478,3,-1507.5898479583689,924.7366173880567,40.20593988643725,-4417.516890300928,-0.1937865905819286,,0.013098252370935618,0.14643019896723186,0.0,10.48158640226629,0.0,44.19263456090651,45.3257790368272,
G2,TRAIN,1622,30.60377358490566,-0.02480202525039398,0.0750178534128036,-0.0998198786631976,-2.4250033980039505,32.075471698113205,39.62264150943396,6,-2339.3033187398983,-16190.78431917065,-305.4864965881255,-18077.58903604144,-0.28395615710941086,-0.13033433872329953,-0.0709172268175548,0.09392228929106222,0.0,0.0,18.002466091245374,51.41800246609125,30.579531442663377,
G2,VAL,706,30.695652173913043,0.08475401772466835,0.07803253336417368,0.006721484360494651,0.1386039753291701,52.17391304347826,56.52173913043478,3,-1035.7837864709888,474.5367958509229,20.632034602214038,-3036.585670469864,-0.1527440889117866,,0.006721484360494651,0.13559565715470834,0.0,0.0,17.988668555240793,45.609065155807365,36.40226628895184,
G2p,TRAIN,1622,30.60377358490566,-0.024353034676456938,0.07532695186785951,-0.09967998654431642,-2.638796109792448,33.9622641509434,39.62264150943396,6,-2317.952375343672,-16168.093817488127,-305.0583739148703,-17998.782666759325,-0.24715344325011881,-0.13384998293110462,-0.06731488792585802,0.0893222033598969,0.0,0.0,18.002466091245374,51.41800246609125,30.579531442663377,
G2p,VAL,706,30.695652173913043,0.09605932235482194,0.07852657954770882,0.017532742807113103,0.362336425305462,56.52173913043478,60.86956521739131,3,-1014.8659228568229,1237.8116421821858,53.81789748618199,-2866.8767487678447,-0.11499418940837271,,0.017532742807113103,0.1329382718042367,0.0,0.0,17.988668555240793,45.609065155807365,36.40226628895184,
G3,TRAIN,1622,30.60377358490566,0.014167178243332744,0.07207381496231599,-0.057906636718983245,-0.9499297340533854,35.84905660377358,45.28301886792453,4,-2197.8397071854315,-9392.456475819083,-177.21615992111478,-13205.988470313194,-0.3388497537383538,-0.07867135112403544,-0.038238737960776537,0.12052161547663348,0.0,0.0,0.0,54.56226880394575,45.43773119605425,
G3,VAL,706,30.695652173913043,0.07857930917141347,0.07460117800913402,0.003978131162279412,0.06791428755848763,47.82608695652174,56.52173913043478,6,-1575.6954695885242,280.8560600569275,12.21113304595337,-5911.975539449369,-0.21436089068928177,,0.003978131162279412,0.15517682113838416,0.0,0.0,0.0,47.875354107648725,52.124645892351275,
G5,TRAIN,1622,30.60377358490566,-0.02115414720369746,0.07012320944290008,-0.09127735664659753,-2.191691072156348,35.84905660377358,41.509433962264154,4,-2131.432721493132,-14805.187248078122,-279.3431556241155,-18168.248810741745,-0.25458705565478434,-0.12803422736994233,-0.056462025313201346,0.09831686952497708,10.60419235511714,0.0,0.0,53.69913686806412,35.69667077681874,
G5,VAL,706,30.695652173913043,0.1039629511130421,0.07239985403866148,0.03156309707438062,0.6029058495516814,52.17391304347826,60.86956521739131,3,-1345.522453148627,2228.3546534512716,96.88498493266398,-2439.5651120910593,-0.12616544900947607,,0.03156309707438062,0.1471748244455437,10.198300283286118,0.0,0.0,47.1671388101983,42.63456090651558,
G6,TRAIN,1622,30.60377358490566,-0.00941522483134903,0.0709243512168995,-0.08033957604824853,-1.7438325521975846,37.735849056603776,43.39622641509434,5,-2197.8397071854315,-13031.07923502591,-245.86941952879076,-16663.766354402786,-0.2955905086523204,-0.11547504931446508,-0.047059998128626844,0.10481592732204402,6.165228113440198,0.0,0.0,54.25400739827374,39.58076448828607,
G6,VAL,706,30.695652173913043,0.08883871489751514,0.07373079448030123,0.01510792041721388,0.2837771908591236,60.86956521739131,60.86956521739131,3,-1575.6954695885242,1066.6191814553008,46.374747019795684,-4412.56303858705,-0.18984502202037115,,0.01510792041721388,0.15037870247757104,4.2492917847025495,0.0,0.0,47.59206798866856,48.1586402266289,
G7,TRAIN,1622,30.60377358490566,0.0009960745009215109,0.0717019973101587,-0.07070592280923718,-1.3744476332296465,33.9622641509434,43.39622641509434,5,-2197.8397071854315,-11468.50067965827,-216.38680527657112,-16118.133527474763,-0.3343732613816426,-0.11478951325466291,-0.02895087735732732,0.11168768250941621,2.096177558569667,0.0,0.0,54.56226880394575,43.34155363748459,
G7,VAL,706,30.695652173913043,0.09035573843114833,0.07435011063409273,0.016005627797055572,0.2797508868561166,52.17391304347826,60.86956521739131,6,-1575.6954695885242,1129.9973224721243,49.13031836835323,-5086.242199123314,-0.20617259635376536,,0.016005627797055572,0.15604010442404043,1.41643059490085,0.0,0.0,47.73371104815864,50.849858356940516,
G1a,TRAIN,994,18.754716981132077,-0.010936112375684898,0.07295479179438304,-0.08389090417006795,-2.067636036737812,18.867924528301888,28.30188679245283,8,-1002.374530373909,-8338.755874504754,-157.3350165000897,-8338.755874504752,-0.23148307479575245,-0.0626800531085914,-0.10579577080819812,0.07981278315707838,0.0,34.00402414486921,0.0,61.97183098591549,4.0241448692152915,
G1a,VAL,353,15.347826086956522,-0.05496359238366586,0.07713565107810752,-0.13209924346177337,-3.859434867789535,21.73913043478261,21.73913043478261,6,-642.6028229940458,-4663.1032942005995,-202.7436214869826,-4868.3713802123475,-0.23885507845542295,,-0.13209924346177337,0.09984061109215746,0.0,32.29461756373937,0.0,64.02266288951841,3.6827195467422094,
G1b,TRAIN,1622,30.60377358490566,-0.011191494546565059,0.07261893224989341,-0.08381042679645849,-1.8089054303840675,33.9622641509434,41.509433962264154,4,-2244.249974216496,-13594.051226385567,-256.4915325733126,-16796.409562480887,-0.3084121185978788,-0.11210246816080544,-0.057012802983169485,0.10072598090791224,0.0,11.775585696670776,0.0,50.0,38.224414303329226,
