day,symbol,entry_m,ctrl,pond
2025-01-10,NTCL,600,AQMS,BF
2025-01-10,NTCL,600,XXII,BF
2025-01-10,NTCL,600,HOUR,BF
2025-01-10,NTCL,600,FUFU,BF
2025-01-10,NTCL,600,CNVS,BF
2025-01-10,NTCL,600,RIGL,BF
2025-01-10,NTCL,600,HBIO,BF
2025-01-10,NTCL,600,VVOS,BF
2025-01-10,NTCL,600,TSSI,BF
2025-01-10,NTCL,600,SPAI,BF
2025-01-10,NTCL,600,VMAR,BF
2025-01-10,NTCL,600,AXGN,BF
2025-01-13,COEP,721,SPAI,BF
2025-01-13,COEP,721,AIRS,BF
2025-01-13,COEP,721,TTGT,BF
2025-01-13,COEP,721,BAOS,BF
2025-01-13,COEP,721,RADX,BF
2025-01-13,COEP,721,CLPT,BF
2025-01-13,COEP,721,EWCZ,BF
2025-01-13,COEP,721,INLF,BF
2025-01-13,COEP,721,DTIL,BF
2025-01-13,COEP,721,XXII,BF
2025-01-13,COEP,721,CVRX,BF
2025-01-13,COEP,721,AXGN,BF
2025-01-13,PHIO,577,ATRA,BF
2025-01-13,PHIO,577,TTGT,BF
2025-01-13,PHIO,577,WHLR,BF
2025-01-13,PHIO,577,WYHG,BF
2025-01-13,PHIO,577,ARQQ,BF
2025-01-13,PHIO,577,DUOT,BF
2025-01-13,PHIO,577,VVOS,BF
2025-01-13,PHIO,577,ANRO,BF
2025-01-13,PHIO,577,EUDA,BF
2025-01-13,PHIO,577,GPUS,BF
2025-01-13,PHIO,577,CLNN,BF
2025-01-13,PHIO,577,GDHG,BF
2025-01-15,GRAL,737,EWCZ,BF
2025-01-15,GRAL,737,EUDA,BF
2025-01-15,GRAL,737,BFRG,BF
2025-01-15,GRAL,737,SPAI,BF
2025-01-15,GRAL,737,MAXN,BF
2025-01-15,GRAL,737,GDHG,BF
2025-01-15,GRAL,737,LESL,BF
2025-01-15,GRAL,737,TTGT,BF
2025-01-15,GRAL,737,RIGL,BF
2025-01-15,GRAL,737,YSXT,BF
2025-01-15,GRAL,737,SPHL,BF
2025-01-15,GRAL,737,INSG,BF
2025-01-15,WKEY,581,BAOS,BF
2025-01-15,WKEY,581,MSW,BF
2025-01-15,WKEY,581,INSG,BF
2025-01-15,WKEY,581,MNTS,BF
2025-01-15,WKEY,581,SYNX,BF
2025-01-15,WKEY,581,NPCE,BF
2025-01-15,WKEY,581,CETX,BF
2025-01-15,WKEY,581,GDHG,BF
2025-01-15,WKEY,581,OPRX,BF
2025-01-15,WKEY,581,VVOS,BF
2025-01-15,WKEY,581,SPCB,BF
2025-01-15,WKEY,581,BDMD,BF
2025-01-15,XXII,591,SEAT,BF
2025-01-15,XXII,591,OCC,BF
2025-01-15,XXII,591,GRRR,BF
2025-01-15,XXII,591,TSSI,BF
2025-01-15,XXII,591,MAXN,BF
2025-01-15,XXII,591,TTGT,BF
2025-01-15,XXII,591,COGT,BF
2025-01-15,XXII,591,VCIG,BF
2025-01-15,XXII,591,AXGN,BF
2025-01-15,XXII,591,CMTL,BF
2025-01-15,XXII,591,INSG,BF
2025-01-15,XXII,591,GPUS,BF
2025-01-16,ARQQ,577,NPCE,BF
2025-01-16,ARQQ,577,SPCB,BF
2025-01-16,ARQQ,577,NNAVW,BF
2025-01-16,ARQQ,577,CPIX,BF
2025-01-16,ARQQ,577,MEG,BF
2025-01-16,ARQQ,577,ANRO,BF
2025-01-16,ARQQ,577,DUOT,BF
2025-01-16,ARQQ,577,HOUR,BF
2025-01-16,ARQQ,577,BBCP,BF
2025-01-16,ARQQ,577,MSW,BF
2025-01-16,ARQQ,577,NTCL,BF
2025-01-16,ARQQ,577,AQMS,BF
2025-01-16,KLXE,693,CVRX,BF
2025-01-16,KLXE,693,CATO,BF
2025-01-16,KLXE,693,PAL,BF
2025-01-16,KLXE,693,EUDA,BF
2025-01-16,KLXE,693,BAOS,BF
2025-01-16,KLXE,693,HTCO,BF
2025-01-16,KLXE,693,PHIO,BF
2025-01-16,KLXE,693,MNTS,BF
2025-01-16,KLXE,693,SPHL,BF
2025-01-16,KLXE,693,PDFS,BF
2025-01-16,KLXE,693,BFRG,BF
2025-01-16,KLXE,693,BBCP,BF
2025-01-17,NTCL,628,KLXE,BF
2025-01-17,NTCL,628,AIRS,BF
2025-01-17,NTCL,628,SPCB,BF
2025-01-17,NTCL,628,COGT,BF
2025-01-17,NTCL,628,DUOT,BF
2025-01-17,NTCL,628,LESL,BF
2025-01-17,NTCL,628,MNTS,BF
2025-01-17,NTCL,628,OCC,BF
2025-01-17,NTCL,628,SPAI,BF
2025-01-17,NTCL,628,SMX,BF
2025-01-17,NTCL,628,HOUR,BF
2025-01-17,NTCL,628,BDMD,BF
2025-01-17,WKEY,591,OCC,BF
2025-01-17,WKEY,591,SPCB,BF
2025-01-17,WKEY,591,CPIX,BF
2025-01-17,WKEY,591,BAOS,BF
2025-01-17,WKEY,591,HOUR,BF
2025-01-17,WKEY,591,CETX,BF
2025-01-17,WKEY,591,CSTL,BF
2025-01-17,WKEY,591,KITT,BF
2025-01-17,WKEY,591,GRRR,BF
2025-01-17,WKEY,591,YRD,BF
2025-01-17,WKEY,591,INLF,BF
2025-01-17,WKEY,591,FUFU,BF
2025-01-21,CLPT,577,BFRG,BF
2025-01-21,CLPT,577,SPAI,BF
2025-01-21,CLPT,577,MSW,BF
2025-01-21,CLPT,577,LENZ,BF
2025-01-21,CLPT,577,KITT,BF
2025-01-21,CLPT,577,RIGL,BF
2025-01-21,CLPT,577,COEP,BF
