day,symbol,entry_m,ctrl,pond
2025-01-10,CDZI,587,AMPX,ORB
2025-01-10,CDZI,587,ZENA,ORB
2025-01-10,CDZI,587,ARHS,ORB
2025-01-10,CDZI,587,SANA,ORB
2025-01-10,CDZI,587,UVIX,ORB
2025-01-10,CDZI,587,KITT,ORB
2025-01-10,CDZI,587,DBVT,ORB
2025-01-10,CDZI,587,WKEY,ORB
2025-01-10,CDZI,587,FUBO,ORB
2025-01-10,CDZI,587,ZNTL,ORB
2025-01-10,CDZI,587,OPFI,ORB
2025-01-10,CDZI,587,INDO,ORB
2025-01-10,LAES,586,DBVT,ORB
2025-01-10,LAES,586,WKEY,ORB
2025-01-10,LAES,586,UVIX,ORB
2025-01-10,LAES,586,INDO,ORB
2025-01-10,LAES,586,KITT,ORB
2025-01-10,LAES,586,AMPX,ORB
2025-01-10,LAES,586,BAER,ORB
2025-01-10,LAES,586,FUBO,ORB
2025-01-10,LAES,586,ARHS,ORB
2025-01-10,LAES,586,ZNTL,ORB
2025-01-10,LAES,586,SANA,ORB
2025-01-10,LAES,586,API,ORB
2025-01-10,UVXY,607,WKEY,ORB
2025-01-10,UVXY,607,KITT,ORB
2025-01-10,UVXY,607,LABD,ORB
2025-01-10,UVXY,607,SANA,ORB
2025-01-10,UVXY,607,OPFI,ORB
2025-01-10,UVXY,607,DBVT,ORB
2025-01-10,UVXY,607,UVIX,ORB
2025-01-10,UVXY,607,AMPX,ORB
2025-01-10,UVXY,607,API,ORB
2025-01-10,UVXY,607,ZENA,ORB
2025-01-10,UVXY,607,FUBO,ORB
2025-01-10,UVXY,607,ARHS,ORB
2025-01-13,NUS,598,INTZ,ORB
2025-01-13,NUS,598,TSLQ,ORB
2025-01-13,NUS,598,ARQT,ORB
2025-01-13,NUS,598,PRM,ORB
2025-01-13,NUS,598,MSTZ,ORB
2025-01-13,NUS,598,CLMT,ORB
2025-01-13,NUS,598,GRRR,ORB
2025-01-13,NUS,598,UVIX,ORB
2025-01-13,NUS,598,SOXS,ORB
2025-01-13,NUS,598,VRME,ORB
2025-01-13,NUS,598,OPFI,ORB
2025-01-13,NUS,598,TXG,ORB
2025-01-14,ATOM,578,APLD,ORB
2025-01-14,ATOM,578,OLMA,ORB
2025-01-14,ATOM,578,LUNR,ORB
2025-01-14,ATOM,578,OKLO,ORB
2025-01-14,ATOM,578,SOUN,ORB
2025-01-14,ATOM,578,TIGR,ORB
2025-01-14,ATOM,578,ASC,ORB
2025-01-14,ATOM,578,IREN,ORB
2025-01-14,ATOM,578,PLTU,ORB
2025-01-14,ATOM,578,VRME,ORB
2025-01-14,ATOM,578,RGTI,ORB
2025-01-14,ATOM,578,ARBE,ORB
2025-01-14,DJTWW,578,RGTI,ORB
2025-01-14,DJTWW,578,POET,ORB
2025-01-14,DJTWW,578,IREN,ORB
2025-01-14,DJTWW,578,SPRY,ORB
2025-01-14,DJTWW,578,MSTU,ORB
2025-01-14,DJTWW,578,TIGR,ORB
2025-01-14,DJTWW,578,BBAI,ORB
2025-01-14,DJTWW,578,TSLL,ORB
2025-01-14,DJTWW,578,APLD,ORB
2025-01-14,DJTWW,578,AUR,ORB
2025-01-14,DJTWW,578,MBLY,ORB
2025-01-14,DJTWW,578,KC,ORB
2025-01-14,OPFI,579,SPRY,ORB
2025-01-14,OPFI,579,WULF,ORB
2025-01-14,OPFI,579,OKLO,ORB
2025-01-14,OPFI,579,AUR,ORB
2025-01-14,OPFI,579,MSTU,ORB
2025-01-14,OPFI,579,TGTX,ORB
2025-01-14,OPFI,579,BTDR,ORB
2025-01-14,OPFI,579,LUNR,ORB
2025-01-14,OPFI,579,AMPX,ORB
2025-01-14,OPFI,579,VRME,ORB
2025-01-14,OPFI,579,OLMA,ORB
2025-01-14,OPFI,579,ACHR,ORB
2025-01-14,QMCO,593,BBAI,ORB
2025-01-14,QMCO,593,ARBE,ORB
2025-01-14,QMCO,593,QTRX,ORB
2025-01-14,QMCO,593,GDS,ORB
2025-01-14,QMCO,593,WULF,ORB
2025-01-14,QMCO,593,LUNR,ORB
2025-01-14,QMCO,593,POET,ORB
2025-01-14,QMCO,593,NNE,ORB
