day,symbol,entry_m,rr_X0,why_X0,xm_X0,rr_G3,why_G3,xm_G3
2025-01-10,CDZI,587,-1.04030769230769,stop,590,-1.04030769230769,stop,590
2025-01-10,LAES,586,-0.20714285714285774,eod,900,-0.20714285714285774,eod,900
2025-01-10,NTCL,600,-1.018781603288797,stop,603,-1.018781603288797,stop,603
2025-01-10,UVXY,607,-1.0649718309859126,stop,623,-1.0649718309859126,stop,623
2025-01-13,COEP,721,-1.1942379717660616,stop,740,-1.1942379717660616,stop,740
2025-01-13,NUS,598,-1.0400709219858157,stop,685,-1.0400709219858157,stop,685
2025-01-13,PHIO,577,2.0,target,611,1.590927139170142,eod,955
2025-01-14,ATOM,578,-1.0182345597897513,stop,598,-1.0182345597897513,stop,598
2025-01-14,DJTWW,578,-1.0283680665610146,stop,599,-1.0283680665610146,stop,599
2025-01-14,OPFI,579,-0.19512725690667956,eod,900,-0.19512725690667956,eod,900
2025-01-14,QMCO,593,-1.0221308023027027,stop,597,-1.0221308023027027,stop,597
2025-01-14,QUBT,581,-1.0312653061224508,stop,584,-1.0312653061224508,stop,584
2025-01-14,UMAC,595,-1.0182968750000012,stop,692,-1.0182968750000012,stop,692
2025-01-14,UNG,772,-1.0785319148936137,stop,856,-1.0785319148936137,stop,856
2025-01-15,ATOM,581,2.0,target,724,1.1432260285763467,eod,900
2025-01-15,DNA,605,-1.0228536585365866,stop,779,-1.0228536585365866,stop,779
2025-01-15,GRAL,737,-1.0112173038229375,stop,948,-1.0112173038229375,stop,948
2025-01-15,NNOX,584,2.0,target,620,0.6296296296296325,eod,900
2025-01-15,QBTS,622,-1.0338145474736278,stop,630,-1.0338145474736278,stop,630
2025-01-15,RGTI,584,-1.0099805825242716,stop,658,-1.0099805825242716,stop,658
2025-01-15,SERV,579,-0.19911504424778903,eod,955,-0.19911504424778903,eod,955
2025-01-15,WKEY,581,-1.0213851440655546,stop,652,-1.0213851440655546,stop,652
2025-01-15,WOLF,611,2.0,target,802,4.525894287239731,eod,955
2025-01-15,XXII,591,-1.0072999999999999,stop,660,-1.0072999999999999,stop,660
2025-01-16,ARQQ,577,2.0,target,630,1.1529158442490572,eod,955
2025-01-16,KLXE,693,2.0,target,854,2.7646662171274476,eod,899
2025-01-17,LAES,597,-1.0224247948951697,stop,611,-1.0224247948951697,stop,611
2025-01-17,MARA,641,2.0,target,678,-1.0698421052631628,stop,905
2025-01-17,MSTU,699,-1.0535416666666677,stop,761,-1.0535416666666677,stop,761
2025-01-17,NTCL,628,2.0,target,655,3.2181379933715086,eod,955
2025-01-17,WKEY,591,-1.0201509433962277,stop,603,-1.0201509433962277,stop,603
2025-01-17,WULF,725,-1.0424784625579842,stop,777,-1.0424784625579842,stop,777
2025-01-21,CLPT,577,1.2303664921465998,eod,955,1.2303664921465998,eod,955
2025-01-21,DOGZ,639,2.0,target,880,2.028843374886803,eod,955
2025-01-21,EOLS,579,-0.4056603773584901,eod,955,-0.4056603773584901,eod,955
2025-01-21,GRRR,695,2.0,target,830,2.642024909602236,eod,955
2025-01-21,MIND,577,-0.5862068965517224,eod,899,-0.5862068965517224,eod,899
2025-01-21,MNTS,630,2.0,target,687,1.023065476190477,eod,895
2025-01-21,NNE,628,2.0,target,740,5.2489177489177505,eod,955
2025-01-21,OKLO,670,2.0,target,932,1.6513157894736872,eod,955
2025-01-21,RKLB,577,1.7015706806282722,eod,955,1.7015706806282722,eod,955
2025-01-21,SMR,775,0.942567567567558,eod,955,0.942567567567558,eod,955
2025-01-21,UMAC,829,0.18421052631578516,eod,955,0.18421052631578516,eod,955
2025-01-21,VSAT,578,2.0,target,739,1.8743540528569285,eod,955
2025-01-22,DUOT,620,2.0,target,744,3.0823648307225926,eod,900
2025-01-22,GRAL,577,2.0,target,598,2.1648083623693375,eod,955
2025-01-22,GRRR,590,-1.027810810810811,stop,597,-1.027810810810811,stop,597
2025-01-22,MGNI,720,-1.0845499999999968,stop,764,-1.0845499999999968,stop,764
2025-01-22,MSW,698,-1.0340000000000007,stop,951,-1.0340000000000007,stop,951
2025-01-22,TSSI,590,2.0,target,610,0.6319999999999993,eod,955
2025-01-23,ATRA,581,-1.0319266055045886,stop,591,-1.0319266055045886,stop,591
2025-01-23,SPCB,639,-1.0134207388814809,stop,653,-1.0134207388814809,stop,653
2025-01-23,TRIP,702,2.0,target,707,5.465116279069758,eod,955
2025-01-23,WKEY,581,-1.0226089030206693,stop,602,-1.0226089030206693,stop,602
2025-01-24,DAN,579,-0.9615384615384632,eod,930,-0.9615384615384632,eod,930
2025-01-24,EVAX,590,-1.0047692307692306,stop,595,-1.0047692307692306,stop,595
2025-01-24,OCC,684,-0.015567765567765892,eod,894,-0.015567765567765892,eod,894
2025-01-24,OPRX,747,-1.041222222222221,stop,792,-1.041222222222221,stop,792
2025-01-24,RNAZ,577,2.0,target,583,0.12423447069116386,eod,900
2025-01-24,RRGB,580,0.3846153846153804,eod,955,0.3846153846153804,eod,955
2025-01-24,TSSI,596,-1.0235622395109734,stop,642,-1.0235622395109734,stop,642
2025-01-27,COEP,619,0.09183673469387736,eod,881,0.09183673469387736,eod,881
2025-01-27,KLXE,684,-1.1781426707264042,stop,717,-1.1781426707264042,stop,717
2025-01-27,MIMI,610,2.0,target,921,2.627480916030541,eod,955
2025-01-27,MSTZ,768,2.0,target,806,-1.0829047619047696,stop,872
2025-01-27,SOXS,689,2.0,target,770,1.9923170238576662,eod,955
2025-01-28,AIRS,618,-1.0192799999999984,stop,697,-1.0192799999999984,stop,697
2025-01-28,BKSY,599,-1.0145959896026742,stop,618,-1.0145959896026742,stop,618
2025-01-29,GRRR,594,-1.0227661290322587,stop,707,-1.0227661290322587,stop,707
2025-01-29,NVNI,577,-1.005543689320388,stop,686,-1.005543689320388,stop,686
2025-01-29,RADX,674,-1.013466666666666,stop,675,-1.013466666666666,stop,675
2025-01-30,FLG,595,-0.057692307692303095,eod,930,-0.057692307692303095,eod,930
2025-01-30,MIND,686,0.5909090909090847,eod,956,0.5909090909090847,eod,956
2025-01-31,ALGS,588,0.7617827139399108,eod,900,0.7617827139399108,eod,900
2025-01-31,ASTS,584,-0.3351063829787243,eod,955,-0.3351063829787243,eod,955
2025-01-31,ATRA,579,-1.05822644847413,stop,643,-1.05822644847413,stop,643
2025-01-31,CIFR,633,-1.0235105957616966,stop,697,-1.0235105957616966,stop,697
2025-01-31,DYN,678,-1.0879285714285798,stop,684,-1.0879285714285798,stop,684
2025-01-31,OCC,706,-1.0395000000000019,stop,707,-1.0395000000000019,stop,707
2025-01-31,POET,582,-1.0355260900643346,stop,727,-1.0355260900643346,stop,727
2025-01-31,TSSI,767,-1.0456107466416735,stop,848,-1.0456107466416735,stop,848
2025-02-03,DUOT,712,2.0,target,840,2.2275000000000147,eod,894
2025-02-03,JG,598,-0.08974358974358998,eod,955,-0.08974358974358998,eod,955
2025-02-03,KC,578,-0.5347826086956522,eod,955,-0.5347826086956522,eod,955
2025-02-03,MP,580,-1.0212952380952371,stop,618,-1.0212952380952371,stop,618
2025-02-03,MVO,592,0.3805128205128213,eod,891,0.3805128205128213,eod,891
2025-02-03,TSLQ,618,-1.097481890307001,stop,622,-1.097481890307001,stop,622
