base,split,a,s,n,lost_n,lost_R,cut_n,cut_R,dR
B0,TRAIN,0.3,-0.3,1688,256,402.4911952283489,623,420.8656854792114,0.010885361523022804
B0,TRAIN,0.3,-0.2,1688,286,453.87766819881136,635,483.558931210585,0.01758368661834931
B0,TRAIN,0.3,-0.1,1688,330,523.5046985612213,643,547.6036369999828,0.014276622297844477
B0,TRAIN,0.3,0.0,1688,380,591.8320520832167,653,610.6420095643814,0.011143339740026481
B0,TRAIN,0.3,0.1,1688,420,651.5703266849014,666,670.5721062016316,0.011256978386688547
B0,TRAIN,0.3,0.2,1688,486,747.5422268524179,678,727.4997450829582,-0.011873508157262888
B0,TRAIN,0.4,-0.3,1688,226,352.60416821129354,545,367.65960286882245,0.008919096361095323
B0,TRAIN,0.4,-0.2,1688,249,384.7126759364692,555,422.467004913805,0.022366308635862427
B0,TRAIN,0.4,-0.1,1688,289,447.7318663150444,563,478.67488111208394,0.01833116990345945
B0,TRAIN,0.4,0.0,1688,328,500.4415084280992,573,534.9976126403511,0.020471625718158713
B0,TRAIN,0.4,0.1,1688,367,555.7664704852436,586,590.03198422234,0.020299474962734834
B0,TRAIN,0.4,0.2,1688,423,638.2966751399842,598,644.9802066089285,0.003959438074019099
B0,TRAIN,0.5,-0.3,1688,192,308.2535664144708,463,310.828071438532,0.001525180701458046
B0,TRAIN,0.5,-0.2,1688,213,333.1453777646837,470,356.93312124236553,0.014092265093413405
B0,TRAIN,0.5,-0.1,1688,252,388.19670540533986,476,404.48579901725486,0.009649936973883298
B0,TRAIN,0.5,0.0,1688,292,439.3573609037983,482,452.14965011149854,0.007578370383708687
B0,TRAIN,0.5,0.1,1688,332,496.2612302327119,494,499.2249614594712,0.0017557649447626229
B0,TRAIN,0.5,0.2,1688,381,567.5503851083658,506,548.326065640431,-0.011388814850672295
B0,TRAIN,0.6,-0.3,1688,169,270.55041491018085,391,262.8242589298518,-0.004577106623417686
B0,TRAIN,0.6,-0.2,1688,184,282.8203990493977,397,302.1474947151593,0.011449701223792444
B0,TRAIN,0.6,-0.1,1688,219,332.9427884273384,403,342.9811419260121,0.005946891883100534
B0,TRAIN,0.6,0.0,1688,260,386.37478103143735,408,383.2614127930927,-0.0018444124634743261
B0,TRAIN,0.6,0.1,1688,296,434.88686265585886,418,423.46874285266387,-0.006764288982935425
B0,TRAIN,0.6,0.2,1688,342,502.01329337812643,429,465.5844837734725,-0.02158104834398928
B0,VAL,0.3,-0.3,820,158,246.82670466180707,256,171.93877617281885,-0.09132674205974174
B0,VAL,0.3,-0.2,820,178,268.38735535547386,259,197.83335007599166,-0.08604146985302707
B0,VAL,0.3,-0.1,820,199,290.7426954778097,262,222.83406465407612,-0.08281540344357756
B0,VAL,0.3,0.0,820,220,318.9307639524307,270,249.1566660930232,-0.08509036324317988
B0,VAL,0.3,0.1,820,236,342.7275502559851,277,274.9703280975591,-0.08263075872978777
B0,VAL,0.3,0.2,820,256,364.48146895150916,282,298.51302743536735,-0.08044931892212416
B0,VAL,0.4,-0.3,820,136,211.4156315360376,223,150.31245574032397,-0.07451606804355322
B0,VAL,0.4,-0.2,820,158,234.5976319766117,226,173.0112438205743,-0.07510535140980171
B0,VAL,0.4,-0.1,820,174,249.59926392642427,229,195.07607117931045,-0.06649169847209004
B0,VAL,0.4,0.0,820,194,275.9080288199194,237,218.24134098690408,-0.07032522906465286
B0,VAL,0.4,0.1,820,214,302.7340574507379,242,241.04681404651464,-0.07522834561490642
B0,VAL,0.4,0.2,820,230,317.61266909560146,247,263.0950279689847,-0.06648492820319116
B0,VAL,0.5,-0.3,820,126,190.09358881579914,181,121.24670954813708,-0.08395960886300251
B0,VAL,0.5,-0.2,820,142,202.74489330937396,184,139.9275015536089,-0.07660657531190862
B0,VAL,0.5,-0.1,820,155,214.96664343676937,187,158.11823073321958,-0.06932733256530463
B0,VAL,0.5,0.0,820,169,232.94468866420888,195,177.55139340204695,-0.06755279910019747
B0,VAL,0.5,0.1,820,191,264.3593724513122,200,196.85316849029456,-0.08232463897685077
B0,VAL,0.5,0.2,820,208,282.918585011961,205,216.18626638454512,-0.08138087637489741
B0,VAL,0.6,-0.3,820,110,162.5894767288924,149,99.19917979938144,-0.0773052401579402
B0,VAL,0.6,-0.2,820,126,175.9921107510325,151,114.52037365147874,-0.07496553304823629
B0,VAL,0.6,-0.1,820,140,189.8144207600851,153,129.44423645617366,-0.07362217598037983
B0,VAL,0.6,0.0,820,154,207.70996691336094,161,145.72886683322085,-0.075586707414805
B0,VAL,0.6,0.1,820,174,238.3380000363927,166,161.96599542545178,-0.09313659098895236
B0,VAL,0.6,0.2,820,188,254.52505889429924,171,178.30431404453043,-0.09295212786557172
