cell,base,split,obs,mu,p5,p95
E5 ratchet+hist,B2,TRAIN,20.754716981132077,20.610377358490563,15.09433962264151,26.41509433962264
E5 ratchet+hist,B2,VAL,17.391304347826086,18.547826086956523,8.695652173913043,26.08695652173913
E4d MACD hist < 0,B0,TRAIN,32.075471698113205,28.486792452830187,22.641509433962266,35.84905660377358
E4d MACD hist < 0,B0,VAL,21.73913043478261,20.573913043478264,8.695652173913043,30.434782608695656
E3 a=0.4 d=0.5,B0,TRAIN,32.075471698113205,28.255660377358495,22.641509433962266,35.84905660377358
E3 a=0.4 d=0.5,B0,VAL,17.391304347826086,19.715217391304346,8.695652173913043,30.434782608695656
E4e MACD signal cross,B0,TRAIN,33.9622641509434,28.19811320754717,20.754716981132077,35.84905660377358
E4e MACD signal cross,B0,VAL,21.73913043478261,20.721739130434784,13.043478260869565,30.434782608695656
E3 a=0.3 d=0.4,B0,TRAIN,33.9622641509434,25.341509433962266,18.867924528301888,32.075471698113205
E3 a=0.3 d=0.4,B0,VAL,21.73913043478261,16.141304347826086,8.695652173913043,26.08695652173913
E3 a=0.4 d=0.4,B0,TRAIN,32.075471698113205,26.0188679245283,18.867924528301888,32.075471698113205
E3 a=0.4 d=0.4,B0,VAL,21.73913043478261,18.776086956521738,8.695652173913043,30.434782608695656
