symbol-days to walk 229206
1/415 2025-01-10 sig+238 raw+2888
21/415 2025-02-10 sig+282 raw+3814
41/415 2025-03-11 sig+409 raw+5780
61/415 2025-04-08 sig+167 raw+3225
81/415 2025-05-07 sig+271 raw+3230
101/415 2025-06-05 sig+271 raw+3555
121/415 2025-07-07 sig+237 raw+2707
141/415 2025-08-04 sig+341 raw+6137
161/415 2025-09-02 sig+339 raw+4088
181/415 2025-09-30 sig+260 raw+2785
201/415 2025-10-28 sig+271 raw+3892
221/415 2025-11-25 sig+357 raw+6928
241/415 2025-12-24 sig+168 raw+1968
261/415 2026-01-26 sig+249 raw+3139
281/415 2026-02-24 sig+695 raw+10729
301/415 2026-03-24 sig+365 raw+6886
321/415 2026-04-22 sig+411 raw+4081
341/415 2026-05-20 sig+500 raw+9105
361/415 2026-06-18 sig+334 raw+4934
381/415 2026-07-20 sig+246 raw+4058
401/415 2026-08-17 sig+304 raw+3846
PASS DONE
EXIT=0
