feat,cov,q1,q2,n0,n1,n2,mu0,mu1,mu2,best,worst,spread,t,half_consistent,val_best,val_worst,val_spread,nv_best,mu_best,mu_worst,wspread,selectable,note
breadth_min,1.0,4.0,12.0,1786.0,1276.0,1513.0,-0.03230151967163771,-0.07853575156028199,0.09913202609466377,2.0,1.0,0.17766777765494576,3.9640688547947445,True,0.05772270864070446,-0.004251799841232874,0.061974508481937335,504.0,0.09913202609466377,-0.07853575156028199,0.17744541378645312,False,
breadth_15m,1.0,25.0,70.0,1540.0,1520.0,1515.0,-0.0018541297465844394,-0.07369935802221404,0.07060264446222236,2.0,1.0,0.14430200248443642,3.2639313295497008,True,0.03357533263981393,-0.007658854688274461,0.041234187328088395,600.0,0.07060264446222236,-0.07369935802221404,0.14396848231887543,False,
breadth_day,1.0,91.0,262.0,1536.0,1520.0,1519.0,-0.03775731809817192,-0.034019784060900185,0.06701114860310856,2.0,0.0,0.10476846670128048,2.4721744034404605,True,-0.07371410300163954,0.07973646805616075,-0.1534505710578003,513.0,0.06701114860310856,-0.03775731809817192,0.1050850813065409,False,
cohort_rank_dist,0.9998870822041553,0.2321428571428571,0.514853334267138,1526.0,1523.0,1525.0,-0.043076648725967365,0.021674642819716802,0.016933672713378787,1.0,0.0,0.06475129154568417,1.4213900682035723,True,-0.023069174326386072,0.0006708513890616764,-0.023740025715447748,847.0,0.021674642819716802,-0.043076648725967365,0.06441266067013604,False,
rs_vs_cohort,0.9998870822041553,-1.2619297723350642,-0.6239590307495477,1525.0,1524.0,1525.0,-0.0705397416121363,-0.010417710293454877,0.07642561468343488,2.0,0.0,0.14696535629557117,3.361743029120161,True,0.01933037649749678,0.012586712548187488,0.006743663949309291,679.0,0.07642561468343488,-0.0705397416121363,0.14809966975383643,False,
spy_dist_hod_pct,1.0,-0.11875446941789226,-0.0061799698965655245,1525.0,1525.0,1525.0,-0.147595487014912,0.055473962921829524,0.08693111252374582,2.0,0.0,0.23452659953865784,5.321654619283726,True,-0.057364841878770306,-0.043406129634433945,-0.013958712244336362,647.0,0.08693111252374582,-0.147595487014912,0.23387907139387848,True,
spy_ret_30m,0.5589430894308943,0.08191552981107911,3.729510651466428,982.0,1107.0,856.0,0.02749820679101061,0.1256921502887472,-0.15748058275157162,1.0,2.0,0.2831727330403188,5.490176307819257,False,-0.03757181507815943,,,623.0,0.1256921502887472,-0.15748058275157162,0.2836132899080651,False,
spy_ret_open_sig,1.0,0.041282240258773695,0.4564527530041884,1525.0,1528.0,1522.0,-0.03963051861846739,-0.010446027409677917,0.04499519916682794,2.0,0.0,0.08462571778529533,1.9307304442895081,True,-0.06538026278915311,-0.018879735106957472,-0.04650052768219564,283.0,0.04499519916682794,-0.03963051861846739,0.08378081074976113,False,
ret_open_1000,0.5504742547425474,0.0118181818181819,0.025040387722132292,972.0,970.0,972.0,0.04710165404195147,0.02262693722369036,-0.04116270924232927,0.0,2.0,0.08826436328428075,1.5193950956182543,True,-0.08592512758073258,-0.018366668843813157,-0.06755845873691942,424.0,0.04710165404195147,-0.04116270924232927,0.08824996687234181,False,
ret_1000_sig,0.5504742547425474,0.029715489989462395,0.04438893159108389,971.0,971.0,972.0,-0.03818379272837939,0.0035156995466505765,0.06315175095850935,2.0,0.0,0.10133554368688874,1.740544199929094,True,-0.04892112685359082,-0.01669097339083846,-0.03223015346275236,411.0,0.06315175095850935,-0.03818379272837939,0.10264282553076823,False,
ret_open_sig,1.0,0.052830105509340704,0.05748354502885623,1525.0,1525.0,1525.0,-0.03753171093054636,-0.013152301043960896,0.04549360040517058,2.0,0.0,0.08302531133571694,1.8792361601206282,True,0.10799455269099818,-0.031832967596737136,0.13982752028773532,845.0,0.04549360040517058,-0.03753171093054636,0.08425945557187073,False,
slope5,1.0,0.3180476063580988,0.6218490279207234,1525.0,1525.0,1525.0,-0.022426972228411307,-0.009786577228050942,0.02702313788712555,2.0,0.0,0.049450110115536856,1.1036442692886033,False,0.08306480988644653,-0.12978629477762546,0.21285110466407198,765.0,0.02702313788712555,-0.022426972228411307,0.048518066079729194,False,
slope_prior10,0.75,0.027477719318311097,0.14311480922454645,1233.0,1232.0,1233.0,0.033820945119028945,-0.04513554336682481,-0.0010812959607500794,0.0,1.0,0.07895648848585375,1.5754250587637493,True,0.04006128122666928,-0.10428329356285163,0.1443445747895209,576.0,0.033820945119028945,-0.04513554336682481,0.07770855896409329,False,
slope_accel,0.75,0.17605332879625302,0.44181934402144174,1233.0,1232.0,1233.0,-0.004211345763546621,-0.027987624167067886,0.019816983199116185,2.0,1.0,0.04780460736618407,0.9785810326354045,True,-0.013072182596904436,0.10028516964098359,-0.11335735223788802,447.0,0.019816983199116185,-0.027987624167067886,0.04767898344245491,False,
vol3_over_10,0.7772131887985546,3.3427689621119625,5.754911421661482,1256.0,1254.0,1256.0,-0.004238875631087135,-0.02377520920609889,0.02029599310205384,2.0,1.0,0.04407120230815273,0.8762053735016371,False,0.07064433252496996,-0.006251864381588771,0.07689619690655873,566.0,0.02029599310205384,-0.02377520920609889,0.044270447423717205,False,
vwap_dist_pct,1.0,2.8342474956880945,4.135415157158383,1525.0,1525.0,1525.0,-0.028193523489542686,0.05259472014558732,-0.02959160822538134,1.0,2.0,0.08218632837096866,1.874141956811055,True,0.002291127461461026,0.01734450009358703,-0.015053372632126003,883.0,0.05259472014558732,-0.02959160822538134,0.08153941000328731,False,
range_pos,0.9759485094850948,0.4999572594776828,0.8539554762584968,1494.0,1493.0,1494.0,-0.020264482479533007,0.031728560325611214,-0.010364560928426076,1.0,0.0,0.05199304280514422,1.1497293851562915,True,0.06884216144860604,0.019906343185348827,0.048935818263257214,812.0,0.031728560325611214,-0.020264482479533007,0.05081751868492852,False,
atr14_pct,0.7624209575429087,0.45949758670889,0.6929060627012154,1244.0,1243.0,1244.0,-0.006350724732230784,-0.02558286422703019,0.02102902451570071,2.0,1.0,0.0466118887427309,0.9434686990466108,False,-0.0028913160836673175,-0.02368120953400911,0.020789893450341792,595.0,0.02102902451570071,-0.02558286422703019,0.04556531829944066,False,
hod_age_bars,1.0,1.0,2.0,3183.0,503.0,889.0,0.004199894077056564,-0.04197986620560113,-0.0001887151733319816,0.0,1.0,0.046179760282657696,0.8100818031588395,False,0.03103555034267465,-0.009688634300448584,0.04072418464312323,1670.0,0.004199894077056564,-0.04197986620560113,0.04695955223300273,False,
prev_close_pos,0.9996612466124661,0.22089762789738474,0.6219315309071722,1525.0,1524.0,1525.0,0.09509236081057622,-0.024365200936278694,-0.07599578813555133,0.0,2.0,0.17108814894612756,3.857836987148563,False,0.05539650094948154,0.025791642154654616,0.029604858794826928,518.0,0.09509236081057622,-0.07599578813555133,0.17073281566598225,False,
dow,1.0,1.0,2.0,1864.0,1234.0,1477.0,-0.21632729097993234,0.32907929340489933,-0.0072885276359446445,1.0,0.0,0.5454065843848317,12.673942757818766,False,0.02673547353242774,-0.010509130148286807,0.03724460368071455,428.0,0.32907929340489933,-0.21632729097993234,0.5451659731883094,False,
spy_vol20,1.0,12.727760725956864,20.258267174867743,1527.0,1527.0,1521.0,-0.00521982888214308,-0.06979216337537765,0.07010383598553305,2.0,1.0,0.13989599936091068,3.192876089557038,False,0.167643793501969,0.016771900781722106,0.1508718927202469,32.0,0.07010383598553305,-0.06979216337537765,0.13930991241193608,False,
breadth_by_1000,1.0,98.0,163.0,1619.0,1445.0,1511.0,-0.0007441946784325725,-0.05218783662743733,0.04546717238106613,2.0,1.0,0.09765500900850346,2.2214880752362722,True,0.18457476910204115,-0.09847501638557171,0.28304978548761284,851.0,0.04546717238106613,-0.05218783662743733,0.09758445469779328,False,
sym_prior_n,1.0,3.0,18.0,1660.0,1412.0,1503.0,-0.018975237816945708,0.010241234400008336,0.006069789860332433,1.0,0.0,0.029216472216954045,0.6739878194245682,True,-0.05083530977247143,-0.08373805552313604,0.03290274575066461,601.0,0.010241234400008336,-0.018975237816945708,0.028543422278986534,False,
sym_prior_meanR,0.9998870822041553,-0.18915905666568994,0.025929737577491854,1525.0,1524.0,1525.0,0.14595636338550708,-0.1424378446803534,-0.008131382651629505,0.0,1.0,0.28839420806586047,6.608115054685517,False,-0.02930783002015087,0.04950367243496404,-0.07881150245511491,616.0,0.14595636338550708,-0.1424378446803534,0.2884100101327055,False,
news_recency_min,0.15718157181571815,,,,,,,,,,,,,,,,,,,,,,insufficient
news_n,0.7338527551942186,,,,,,,,,,,,,,,,,,,,,,degenerate
entry_m,1.0,598.0,636.0,1562.0,1490.0,1523.0,-0.019803267250376674,-0.336453143928044,0.3442761065362019,2.0,1.0,0.6807292504642459,15.508665427319121,True,-0.03302097708831037,-0.09309118061469115,0.06007020352638078,622.0,0.3442761065362019,-0.336453143928044,0.6805354076055233,True,
rv_profile,1.0,1.9000207083996372,3.7956952559584463,1525.0,1525.0,1525.0,0.1725076355542274,-0.0706607458339651,-0.10703730128959896,0.0,2.0,0.27954493684382636,6.3765777982586584,True,-0.04521784553520192,0.05056132977542093,-0.09577917531062285,692.0,0.1725076355542274,-0.10703730128959896,0.2793233855701699,True,
dist_open_pct,1.0,5.213960438028938,5.63849420681656,1525.0,1525.0,1525.0,-0.044669672813578816,0.05779083188902509,-0.01831157064478299,1.0,0.0,0.1024605047026039,2.237106134029018,True,-0.041648073499026245,-0.019923100703593925,-0.02172497279543232,700.0,0.05779083188902509,-0.044669672813578816,0.10182951349811918,False,
gap_pct,0.9996612466124661,-1.9146595427671833,0.9576096080828501,1525.0,1524.0,1525.0,-0.16981609929118818,0.1983685973647469,-0.033675071385106906,1.0,0.0,0.3681846966559351,8.465920481160483,False,-0.04720583480716661,-0.002521288731826401,-0.04468454607534021,760.0,0.1983685973647469,-0.16981609929118818,0.36800010752614964,False,
prev_range_pct,0.9996612466124661,6.004275785857829,9.894422009206254,1525.0,1524.0,1525.0,-0.11782440437843866,0.043629584050968936,0.06897077881046988,2.0,0.0,0.18679518318890853,4.134379698831678,False,0.023319576774070424,-0.08606976469447383,0.10938934146854426,993.0,0.06897077881046988,-0.11782440437843866,0.18775773743535157,False,
dist_20d_high_pct,0.9996612466124661,-17.26016734996088,-5.74341463332547,1525.0,1524.0,1525.0,-0.01341977899525868,0.022587678487362973,-0.01440573897996555,1.0,2.0,0.036993417467328524,0.8448638128166579,True,-0.008803450365956979,0.03999546591896434,-0.04879891628492132,657.0,0.022587678487362973,-0.01440573897996555,0.03834999717934243,False,
is_wrapper,1.0,,,,,,,,,,,,,,,,,,,,,,insufficient
has_news,0.7338527551942186,,,,,,,,,,,,,,,,,,,,,,insufficient
above_vwap,1.0,,,,,,,,,,,,,,,,,,,,,,insufficient
