cell,split,obs,mu,p5,p95,outside
R1 B2 shipped (long),TRAIN,32.075471698113205,30.756603773584906,24.528301886792452,37.735849056603776,inside
R1 B2 shipped (long),VAL,43.47826086956522,49.47391304347826,39.130434782608695,60.86956521739131,inside
F1a a01/mfe/tls,TRAIN,41.509433962264154,45.448113207547166,39.62264150943396,50.943396226415096,inside
F1a a01/mfe/tls,VAL,39.130434782608695,35.70434782608696,26.08695652173913,43.47826086956522,inside
F1a a01/mfe/t2,TRAIN,35.84905660377358,46.28773584905661,39.62264150943396,52.83018867924528,below
F1a a01/mfe/t2,VAL,30.434782608695656,25.710869565217394,17.391304347826086,34.78260869565217,inside
F1a a00/mfe/tls,TRAIN,39.62264150943396,44.571698113207546,39.62264150943396,50.943396226415096,inside
F1a a00/mfe/tls,VAL,39.130434782608695,38.35,30.434782608695656,47.82608695652174,inside
F1a a00/mfe/t2,TRAIN,35.84905660377358,46.22641509433962,39.62264150943396,52.83018867924528,below
F1a a00/mfe/t2,VAL,34.78260869565217,34.26086956521739,26.08695652173913,43.47826086956522,inside
F1a am1/mfe/tls,TRAIN,33.9622641509434,40.7,35.84905660377358,47.16981132075472,below
F1a am1/mfe/tls,VAL,39.130434782608695,36.05652173913043,26.08695652173913,43.47826086956522,inside
F1a am1/mfe/t2,TRAIN,35.84905660377358,41.968867924528304,35.84905660377358,47.16981132075472,inside
F1a am1/mfe/t2,VAL,34.78260869565217,32.01521739130435,26.08695652173913,39.130434782608695,inside
F1b fb/mfe/tls,TRAIN,45.28301886792453,48.235849056603776,41.509433962264154,54.71698113207547,inside
F1b fb/mfe/tls,VAL,43.47826086956522,42.32608695652174,30.434782608695656,52.17391304347826,inside
F1b fb/mfe/t2,TRAIN,50.943396226415096,51.44622641509434,45.28301886792453,58.490566037735846,inside
F1b fb/mfe/t2,VAL,43.47826086956522,36.15434782608696,26.08695652173913,47.82608695652174,inside
F1c fb/mfe/t1,TRAIN,39.62264150943396,38.13301886792453,30.18867924528302,45.28301886792453,inside
F1c fb/mfe/t1,VAL,39.130434782608695,30.678260869565214,21.73913043478261,39.130434782608695,inside
F1c fb/mfe/t2,TRAIN,43.39622641509434,43.640566037735844,35.84905660377358,50.943396226415096,inside
F1c fb/mfe/t2,VAL,30.434782608695656,28.48695652173913,17.391304347826086,39.130434782608695,inside
F1c fb/mfe/tls,TRAIN,35.84905660377358,39.13490566037736,32.075471698113205,47.16981132075472,inside
F1c fb/mfe/tls,VAL,39.130434782608695,33.11304347826086,21.73913043478261,43.47826086956522,inside
F1c fb/h05/t1,TRAIN,37.735849056603776,31.822641509433964,24.528301886792452,39.62264150943396,inside
F1c fb/h05/t1,VAL,34.78260869565217,31.376086956521736,21.73913043478261,43.47826086956522,inside
F1c fb/h05/t2,TRAIN,35.84905660377358,35.88396226415095,28.30188679245283,43.39622641509434,inside
F1c fb/h05/t2,VAL,34.78260869565217,33.57826086956521,26.08695652173913,43.47826086956522,inside
F1c fb/h05/tls,TRAIN,32.075471698113205,29.028301886792455,22.641509433962266,35.84905660377358,inside
F1c fb/h05/tls,VAL,34.78260869565217,33.265217391304354,21.73913043478261,43.47826086956522,inside
F1c fb/h10/t1,TRAIN,43.39622641509434,38.157547169811316,30.18867924528302,45.28301886792453,inside
F1c fb/h10/t1,VAL,13.043478260869565,16.53695652173913,8.695652173913043,26.08695652173913,inside
F1c fb/h10/t2,TRAIN,41.509433962264154,37.286792452830184,30.18867924528302,43.39622641509434,inside
F1c fb/h10/t2,VAL,21.73913043478261,19.360869565217392,8.695652173913043,30.434782608695656,inside
F1c fb/h10/tls,TRAIN,37.735849056603776,30.514150943396228,24.528301886792452,37.735849056603776,inside
F1c fb/h10/tls,VAL,17.391304347826086,14.567391304347824,4.3478260869565215,26.08695652173913,inside
F1d fb/mfe/t1 SPYdn,TRAIN,41.509433962264154,37.74905660377358,30.18867924528302,45.28301886792453,inside
F1d fb/mfe/t1 SPYdn,VAL,34.78260869565217,35.582608695652176,26.08695652173913,43.47826086956522,inside
F1d fb/mfe/t2 SPYdn,TRAIN,43.39622641509434,43.462264150943405,37.735849056603776,50.943396226415096,inside
F1d fb/mfe/t2 SPYdn,VAL,39.130434782608695,31.758695652173913,21.73913043478261,39.130434782608695,inside
F1d fb/mfe/tls SPYdn,TRAIN,47.16981132075472,42.716037735849056,35.84905660377358,49.056603773584904,inside
F1d fb/mfe/tls SPYdn,VAL,39.130434782608695,36.278260869565216,26.08695652173913,47.82608695652174,inside
F1d fb/h05/t1 SPYdn,TRAIN,32.075471698113205,30.895283018867925,24.528301886792452,37.735849056603776,inside
F1d fb/h05/t1 SPYdn,VAL,47.82608695652174,40.230434782608704,30.434782608695656,52.17391304347826,inside
F1d fb/h05/t2 SPYdn,TRAIN,35.84905660377358,31.87924528301887,24.528301886792452,37.735849056603776,inside
F1d fb/h05/t2 SPYdn,VAL,52.17391304347826,36.60652173913044,26.08695652173913,47.82608695652174,ABOVE
F1d fb/h05/tls SPYdn,TRAIN,33.9622641509434,29.562264150943395,22.641509433962266,35.84905660377358,inside
F1d fb/h05/tls SPYdn,VAL,52.17391304347826,39.515217391304354,30.434782608695656,52.17391304347826,inside
F1d fb/h10/t1 SPYdn,TRAIN,47.16981132075472,45.43396226415095,39.62264150943396,52.83018867924528,inside
F1d fb/h10/t1 SPYdn,VAL,34.78260869565217,33.05434782608696,21.73913043478261,43.47826086956522,inside
F1d fb/h10/t2 SPYdn,TRAIN,45.28301886792453,39.14150943396227,32.075471698113205,45.28301886792453,inside
F1d fb/h10/t2 SPYdn,VAL,39.130434782608695,37.480434782608704,26.08695652173913,47.82608695652174,inside
F1d fb/h10/tls SPYdn,TRAIN,49.056603773584904,39.549056603773586,32.075471698113205,45.28301886792453,ABOVE
F1d fb/h10/tls SPYdn,VAL,43.47826086956522,29.832608695652173,17.391304347826086,39.130434782608695,ABOVE
F1c-bor fb/mfe/t1,TRAIN,37.735849056603776,38.03867924528302,30.18867924528302,45.28301886792453,inside
F1c-bor fb/mfe/t1,VAL,17.391304347826086,24.01086956521739,13.043478260869565,34.78260869565217,inside
F1c-bor fb/mfe/t2,TRAIN,39.62264150943396,39.16320754716981,32.075471698113205,45.28301886792453,inside
F1c-bor fb/mfe/t2,VAL,26.08695652173913,24.95652173913044,17.391304347826086,34.78260869565217,inside
F1c-bor fb/mfe/tls,TRAIN,33.9622641509434,38.50849056603774,32.075471698113205,45.28301886792453,inside
F1c-bor fb/mfe/tls,VAL,21.73913043478261,25.178260869565214,17.391304347826086,34.78260869565217,inside
F1c-bor fb/h05/t1,TRAIN,39.62264150943396,32.67358490566038,26.41509433962264,39.62264150943396,inside
F1c-bor fb/h05/t1,VAL,34.78260869565217,31.482608695652175,21.73913043478261,43.47826086956522,inside
F1c-bor fb/h05/t2,TRAIN,30.18867924528302,32.070754716981135,24.528301886792452,39.62264150943396,inside
F1c-bor fb/h05/t2,VAL,30.434782608695656,26.654347826086955,17.391304347826086,39.130434782608695,inside
F1c-bor fb/h05/tls,TRAIN,32.075471698113205,30.712264150943398,22.641509433962266,37.735849056603776,inside
F1c-bor fb/h05/tls,VAL,34.78260869565217,35.743478260869566,26.08695652173913,47.82608695652174,inside
F1c-bor fb/h10/t1,TRAIN,49.056603773584904,37.70754716981132,30.18867924528302,45.28301886792453,ABOVE
F1c-bor fb/h10/t1,VAL,21.73913043478261,25.467391304347828,17.391304347826086,34.78260869565217,inside
F1c-bor fb/h10/t2,TRAIN,43.39622641509434,35.05849056603774,28.30188679245283,41.509433962264154,ABOVE
F1c-bor fb/h10/t2,VAL,26.08695652173913,24.778260869565216,17.391304347826086,34.78260869565217,inside
F1c-bor fb/h10/tls,TRAIN,41.509433962264154,31.176415094339625,24.528301886792452,37.735849056603776,ABOVE
F1c-bor fb/h10/tls,VAL,26.08695652173913,25.66521739130435,17.391304347826086,34.78260869565217,inside
F2 T11:00 X6%,TRAIN,30.18867924528302,38.60660377358491,32.075471698113205,45.28301886792453,below
F2 T11:00 X6%,VAL,34.78260869565217,34.61304347826087,26.08695652173913,43.47826086956522,inside
F2 T11:00 X7%,TRAIN,41.509433962264154,44.3943396226415,37.735849056603776,50.943396226415096,inside
F2 T11:00 X7%,VAL,30.434782608695656,39.54347826086957,30.434782608695656,52.17391304347826,inside
F2 T11:00 X8%,TRAIN,47.16981132075472,45.55566037735849,39.62264150943396,52.83018867924528,inside
F2 T11:00 X8%,VAL,30.434782608695656,38.495652173913044,30.434782608695656,47.82608695652174,inside
F2 T12:00 X6%,TRAIN,32.075471698113205,40.716981132075475,33.9622641509434,47.16981132075472,below
F2 T12:00 X6%,VAL,30.434782608695656,31.83478260869565,21.73913043478261,43.47826086956522,inside
F2 T12:00 X7%,TRAIN,32.075471698113205,42.08301886792453,35.84905660377358,49.056603773584904,below
F2 T12:00 X7%,VAL,30.434782608695656,33.82391304347827,26.08695652173913,43.47826086956522,inside
F2 T12:00 X8%,TRAIN,37.735849056603776,42.051886792452834,35.84905660377358,47.16981132075472,inside
F2 T12:00 X8%,VAL,26.08695652173913,27.182608695652174,17.391304347826086,34.78260869565217,inside
F2 T13:00 X6%,TRAIN,26.41509433962264,22.497169811320756,16.9811320754717,28.30188679245283,inside
F2 T13:00 X6%,VAL,43.47826086956522,33.84130434782608,26.08695652173913,43.47826086956522,inside
F2 T13:00 X7%,TRAIN,22.641509433962266,23.29433962264151,18.867924528301888,28.30188679245283,inside
F2 T13:00 X7%,VAL,43.47826086956522,36.391304347826086,26.08695652173913,43.47826086956522,inside
F2 T13:00 X8%,TRAIN,22.641509433962266,19.964150943396227,16.9811320754717,24.528301886792452,inside
F2 T13:00 X8%,VAL,43.47826086956522,38.32826086956521,30.434782608695656,47.82608695652174,inside
