cell,split,obs,mu,p5,p95,outside
R1/R2 B2 shipped (pop.csv),TRAIN,32.075471698113205,30.756603773584906,24.528301886792452,37.735849056603776,inside
R1/R2 B2 shipped (pop.csv),VAL,43.47826086956522,49.47391304347826,39.130434782608695,60.86956521739131,inside
R2b B2 rebuilt (this pass),TRAIN,30.18867924528302,29.620754716981132,22.641509433962266,35.84905660377358,inside
R2b B2 rebuilt (this pass),VAL,43.47826086956522,50.754347826086956,39.130434782608695,60.86956521739131,inside
F10 dollar_frac>=p50 (24.4%),TRAIN,35.84905660377358,37.94622641509434,32.075471698113205,45.28301886792453,inside
F10 dollar_frac>=p50 (24.4%),VAL,26.08695652173913,35.63478260869566,26.08695652173913,47.82608695652174,inside
F10 dollar_frac>=p60 (30.3%),TRAIN,30.18867924528302,39.05849056603774,32.075471698113205,45.28301886792453,below
F10 dollar_frac>=p60 (30.3%),VAL,34.78260869565217,41.97826086956522,30.434782608695656,52.17391304347826,inside
F10 dollar_frac>=p70 (37.3%),TRAIN,33.9622641509434,42.14811320754717,35.84905660377358,49.056603773584904,below
F10 dollar_frac>=p70 (37.3%),VAL,34.78260869565217,39.99782608695653,30.434782608695656,52.17391304347826,inside
F10 dollar_frac>=p80 (46.1%),TRAIN,37.735849056603776,45.74811320754717,39.62264150943396,52.83018867924528,below
F10 dollar_frac>=p80 (46.1%),VAL,60.86956521739131,50.69782608695652,39.130434782608695,60.86956521739131,inside
F10 dollar_frac>=p90 (64.1%),TRAIN,39.62264150943396,42.24433962264151,35.84905660377358,49.056603773584904,inside
F10 dollar_frac>=p90 (64.1%),VAL,47.82608695652174,48.832608695652176,39.130434782608695,60.86956521739131,inside
