cell,split,n_days,day_mean,day_t,green_days,total,green,per_wk,n,gross,net,mdd,worst,h1,h2,val,mde_day
F14-d0 base (every day),TRAIN,242,-71.6757881307032,-2.969112983774578,38.84297520661157,-17345.540727630174,32.075471698113205,30.60377358490566,1622,-0.03895918684147366,-0.10693921533680749,-18928.988592607817,-2231.432721493132,-96.6034697961167,-48.34347809187614,,67.59332092200569
F14-d0 base (every day),VAL,102,8.75632376316504,0.26075018297350905,51.9607843137255,893.1450238428342,43.47826086956522,30.695652173913043,706,0.08272033029467893,0.012650779374544391,-2940.0336675961444,-957.3728770391668,,,8.75632376316504,94.02757174422767
F14-d1 spy_r5>0 [D2],TRAIN,124,-24.66908856111561,-0.7525164245270181,45.16129032258064,-3058.9669815783336,43.39622641509434,15.641509433962264,829,0.032191540601933265,-0.03689948108055893,-7999.323372605825,-1189.0108143596967,-85.49958438168063,32.359501270664104,,91.78995397281687
F14-d1 spy_r5>0 [D2],VAL,52,66.13932849102184,1.4253397933394338,65.38461538461539,3439.245081533136,65.21739130434783,15.869565217391305,365,0.16513250738438082,0.09422589264474344,-1885.3251067831488,-1380.5195789319241,,,66.13932849102184,129.9269975063129
F14-d2a spy_r5 T1 (most down),TRAIN,81,-94.1397132143212,-2.0810353905257566,34.5679012345679,-7625.3167703600175,28.30188679245283,10.49056603773585,556,-0.07017597102286484,-0.13714598507841758,-7625.316770360018,-1385.2842388679308,-87.4583067603346,-101.33507401092216,,126.66348597440488
F14-d2a spy_r5 T1 (most down),VAL,33,-62.9583867651852,-1.0704172194918842,36.36363636363637,-2077.6267632511117,39.130434782608695,10.130434782608695,233,-0.01949471461737789,-0.08916853061163568,-2394.10452736872,-1192.8762442549034,,,-62.9583867651852,164.6867032148441
F14-d2b spy_r5 T2,TRAIN,80,-75.50409519024647,-1.8656689777668696,43.75,-6040.327615219719,39.62264150943396,10.169811320754716,539,-0.04542891945616989,-0.11206544740667383,-6830.034734230093,-1581.944654833823,-105.03177586455213,-52.538121332453194,,113.31670786837067
F14-d2b spy_r5 T2,VAL,26,-0.09449535095150124,-0.0013874524998704037,46.15384615384615,-2.4568791247389186,30.434782608695656,7.565217391304348,174,0.0691500671771339,-0.0001411999496976627,-1503.2677408159707,-620.7919294856474,,,-0.09449535095150124,190.69984932018752
F14-d2c spy_r5 T3 (most up),TRAIN,81,-45.430819037659724,-1.1407150815145997,38.2716049382716,-3679.8963420504374,28.30188679245283,9.943396226415095,527,0.0005924599975676686,-0.06982725506737074,-7513.167548082149,-1178.4051986801821,-98.83112317380693,6.667038656142414,,111.51451871447809
F14-d2c spy_r5 T3 (most up),VAL,43,69.14485270276012,1.366971097021148,67.44186046511628,2973.2286662186852,60.86956521739131,13.0,299,0.17026993312732797,0.09943908582671188,-1722.0992642912183,-1679.3167251363348,,,69.14485270276012,141.63107617244165
F14-d3 qqq_r5>0,TRAIN,114,-102.34603593493705,-3.12420197284762,34.21052631578947,-11667.448096582824,32.075471698113205,14.283018867924529,757,-0.08526440245384595,-0.15412745173821432,-12776.940482630278,-1842.6661587340736,-139.12495649643014,-68.06060151320622,,91.72547201121712
F14-d3 qqq_r5>0,VAL,52,42.41449430198596,0.8757129479534631,57.692307692307686,2205.55370370327,52.17391304347826,15.652173913043478,360,0.1320407554188001,0.061265380658424184,-2522.123528295093,-1380.5195789319241,,,42.41449430198596,135.61588226267932
F14-d4 spy_r5>0 AND qqq_r5>0,TRAIN,94,-66.95499795147384,-1.8952643121126689,38.297872340425535,-6293.76980743854,33.9622641509434,11.641509433962264,617,-0.03238473314637246,-0.10200599363757763,-9396.009296939868,-1238.782944099052,-133.1660945143893,-6.148888863082091,,98.91707086234729
F14-d4 spy_r5>0 AND qqq_r5>0,VAL,40,63.83887638245866,1.1031387318413666,65.0,2553.555055298346,60.86956521739131,12.130434782608695,279,0.16288474579923407,0.09152527079922387,-1885.3251067831488,-1380.5195789319241,,,63.83887638245866,162.03660402034427
F14-d5a spy_rng5_atr T1 (quiet),TRAIN,81,-69.25728771624568,-1.7003030880796015,40.74074074074074,-5609.840305015901,28.30188679245283,9.226415094339623,489,-0.0463164640066247,-0.114720660634272,-8033.627149174144,-2231.432721493132,-122.03118044531617,15.861894104835763,,114.05049309444605
