population,train_n,train_gross,train_net,val_n,val_gross,val_net,h1,h2,era_ok
mixed  $20 (B2 population),4205,0.016200360601576588,-0.042483848853666475,2347,0.03148360157944915,-0.03166949474755476,0.010513250954958742,0.02297510403678682,True
mixed  $5,9061,0.0011683823857987056,-0.06497290814879254,5117,0.009680242810929307,-0.06081830713550274,0.0244094893630295,-0.02329954333309381,False
mixed  $10,6238,0.014008766529921786,-0.04929257926903674,3612,0.007972268655762563,-0.06059980085091442,0.021691134833418134,0.005593515257600128,True
mixed  $30,2941,0.017328622698188835,-0.04226217019910354,1655,0.045710435387650565,-0.019067663396007597,0.004422440203115916,0.03313430307604288,True
mixed  $50,1671,0.035241981638288726,-0.02624478746882552,1012,0.04058211146524236,-0.024271441537386997,0.036021555667495674,0.03434285952986061,True
WRAP   $20,1773,0.00913286129853589,-0.048749950508290577,929,0.09723487009722102,0.03131096584008594,-0.05211730289036746,0.08112998681138182,False
COMMON $20,2417,0.017788574378350974,-0.041478166663549136,1411,-0.011552028778766633,-0.07286891629259745,0.055159749063846,-0.02725460240954949,False
WRAP   $5,2292,0.011205402164190675,-0.047839042448485455,1604,0.11272387741080946,0.045055445427760854,-0.046551719104118865,0.07153866621877635,False
COMMON $5,6685,-0.0046310725199542446,-0.07320809754994528,3484,-0.03563674859171762,-0.10740986058144829,0.048792682068464606,-0.061028289464001594,False
WRAP   $10,2108,0.022588408191487067,-0.03601032485199206,1281,0.1050436924461957,0.03764041761935295,-0.028682815445608457,0.07717393227916856,False
COMMON $10,4090,0.007131078616934333,-0.05859895496758447,2316,-0.04362557891260095,-0.11281245182470759,0.04807935888010184,-0.03856237225096653,False
WRAP   $30,1267,0.017318550003031796,-0.04344666287242946,627,0.07698498860662564,0.008614827609942338,-0.05157369201586939,0.09712557653259361,False
WRAP   $50,661,-0.035539544922312004,-0.09951008456517065,307,0.04441320339788172,-0.02717215498884985,-0.13044819089748713,0.06317716400865717,False
mixed  $20 gates OFF,7625,0.0031409373218761467,-0.15250893319155676,4764,-0.02844372945405078,-0.21600741313508187,0.005124723990849629,0.0010354097570234773,False
mixed  $20 frac_r 0.08,2341,0.0011624598451857424,-0.03502641252884502,1171,0.04837994937518009,0.010613549711509093,-0.02757425206080422,0.038966442866913385,False
mixed  $20 frac_r 0.25,5621,0.010314811436365293,-0.07169561303934639,3350,0.00816360670379009,-0.08190218336387925,0.020634099046587265,-0.0010418036653177221,False
mixed  $20 frac_r 0.40,6498,0.00598534095208684,-0.09844883540711094,3935,-0.0037085358122739605,-0.11674020775750696,0.012146598140662384,-0.0006566795092781071,False
