day,symbol,entry_m,n_sig,spread_mean,spread_med,ask_dec,bid_dec,n_dec,err
2025-01-10,CEG,577,876,0.9527968036529699,0.9700000000000273,298.0,297.02,876,
2025-01-10,DAL,586,1209,0.0545492142266344,0.05000000000001137,68.94,68.89,1215,
2025-01-10,DAR,579,382,0.1739005235602104,0.1700000000000017,36.59,36.45,382,
2025-01-10,INTA,627,76,0.41092105263157397,0.4299999999999926,68.32,67.91,76,
2025-01-10,LAZR,628,124,0.019193548387096786,0.019999999999999574,7.84,7.8,126,
2025-01-10,MCY,604,71,0.4052112676056355,0.46999999999999886,51.6,51.13,71,
2025-01-10,NTCL,600,0,,,7.7,7.48,21,
2025-01-10,RNA,606,126,0.12960317460317547,0.11999999999999922,30.91,30.79,126,
2025-01-10,SERV,585,740,0.055567567567567845,0.05000000000000071,17.9,17.84,742,
2025-01-10,SMST,610,2245,0.01197327394209368,0.010000000000000675,5.89,5.87,2258,
2025-01-10,SNAP,625,1076,0.010250929368029559,0.009999999999999787,12.77,12.76,1309,
2025-01-10,TKNO,582,44,0.16681818181818223,0.15000000000000036,8.22,8.12,44,
2025-01-13,ALGS,595,23,0.43956521739130494,0.490000000000002,34.49,34.01,23,
2025-01-13,ATOM,582,21,0.21000000000000085,0.20000000000000107,11.21,11.02,21,
2025-01-13,CLF,589,958,0.01120041753653451,0.009999999999999787,10.22,10.21,997,
2025-01-13,COEP,721,7,0.6057142857142855,0.75,8.5,8.13,7,
2025-01-13,DJT,597,958,0.04534446764091905,0.04000000000000625,36.99,36.96,959,
2025-01-13,ENGN,613,14,0.4014285714285709,0.3899999999999997,7.85,7.37,14,
2025-01-13,INMB,585,58,0.12551724137931022,0.14000000000000057,6.14,5.99,58,
2025-01-13,LABD,581,2150,0.010023255813953627,0.009999999999999787,7.98,7.97,2223,
2025-01-13,MSTU,592,2687,0.011544473390398187,0.009999999999999787,8.62,8.6,2731,
2025-01-13,MSTX,592,1865,0.13972117962466524,0.14000000000000057,40.38,40.2,1865,
2025-01-13,PDYN,577,660,0.058818181818181874,0.054999999999999716,8.48,8.43,660,
