day,symbol,entry_m
2025-01-10,CEG,577
2025-01-10,DAL,586
2025-01-10,DAR,579
2025-01-10,INTA,627
2025-01-10,LAZR,628
2025-01-10,MCY,604
2025-01-10,NTCL,600
2025-01-10,RNA,606
2025-01-10,SERV,585
2025-01-10,SMST,610
2025-01-10,SNAP,625
2025-01-10,TKNO,582
2025-01-13,ALGS,595
2025-01-13,ATOM,582
2025-01-13,CLF,589
2025-01-13,COEP,721
2025-01-13,DJT,597
2025-01-13,ENGN,613
2025-01-13,INMB,585
2025-01-13,LABD,581
2025-01-13,MSTU,592
2025-01-13,MSTX,592
2025-01-13,PDYN,577
2025-01-13,PHIO,577
2025-01-13,QUBT,577
2025-01-13,RGTI,577
2025-01-13,VITL,585
2025-01-14,AGX,577
2025-01-14,AIFF,578
2025-01-14,ATOM,578
2025-01-14,DJT,609
2025-01-14,DJTWW,578
2025-01-14,HSAI,577
2025-01-14,IONQ,593
2025-01-14,IOVA,577
2025-01-14,LFVN,580
2025-01-14,MESO,606
2025-01-14,QMCO,593
2025-01-14,SRTS,587
2025-01-15,ADPT,581
2025-01-15,ALGS,607
2025-01-15,ATOM,581
2025-01-15,CBLL,595
2025-01-15,EVTL,577
2025-01-15,GRAL,737
2025-01-15,RGTI,584
2025-01-15,SERV,579
2025-01-15,SMTC,596
2025-01-15,SOUNW,580
2025-01-15,UMAC,585
2025-01-16,AENT,668
2025-01-16,ALCO,581
2025-01-16,AORT,581
2025-01-16,APLD,577
2025-01-16,ARQQ,577
2025-01-16,BYRN,577
2025-01-16,CNXC,579
2025-01-16,CRBP,768
2025-01-16,CRNC,578
2025-01-16,MSTZ,587
2025-01-16,RDW,610
2025-01-16,ZSPC,717
2025-01-17,ATOM,585
2025-01-17,BKKT,579
2025-01-17,CECO,633
2025-01-17,FSI,578
2025-01-17,INDB,600
2025-01-17,JSPR,593
2025-01-17,MSOX,590
2025-01-17,MSTU,699
2025-01-17,NTCL,628
2025-01-17,PDD,606
2025-01-17,SEI,582
2025-01-17,SLB,647
2025-01-17,SOUNW,581
2025-01-17,WOLF,577
2025-01-17,YINN,594
2025-01-21,CLPT,577
2025-01-21,GH,577
2025-01-21,IONQ,578
2025-01-21,LUNR,580
2025-01-21,MIND,577
2025-01-21,RKLB,577
2025-01-21,TSLQ,577
2025-01-22,AAOI,577
2025-01-22,ARM,577
2025-01-22,ATOM,586
2025-01-22,GRAL,577
2025-01-22,IESC,577
2025-01-22,INMB,577
2025-01-22,MGNI,720
2025-01-22,MSW,698
2025-01-22,POWL,584
2025-01-22,RXRX,577
2025-01-22,SEI,585
2025-01-22,SMMT,585
2025-01-23,ARLP,697
2025-01-23,BTCT,577
2025-01-23,CONL,577
2025-01-23,CORZ,674
2025-01-23,HNRG,700
2025-01-23,IONQ,577
2025-01-23,METC,700
2025-01-23,MSTU,577
2025-01-23,MSTX,577
2025-01-23,NBBK,577
2025-01-23,NFXL,638
2025-01-23,NNE,577
2025-01-23,NUKZ,700
2025-01-23,PLXS,577
2025-01-23,QMCO,578
2025-01-23,SMR,578
2025-01-23,SPCB,639
2025-01-23,TRAW,659
2025-01-24,DAN,579
2025-01-24,EOSE,577
2025-01-24,EVAX,590
2025-01-24,GDS,581
2025-01-24,HIMX,578
2025-01-24,LFVN,595
2025-01-24,LUNR,586
2025-01-24,MIDD,578
2025-01-24,MSOX,737
2025-01-24,OCC,684
2025-01-24,OKLO,614
2025-01-24,OUST,646
2025-01-24,QUBT,578
2025-01-24,RGTIW,577
2025-01-24,RIOX,625
2025-01-24,RNAZ,577
2025-01-24,RUN,584
2025-01-24,SERV,577
2025-01-24,TSSI,596
2025-01-24,WOK,601
2025-01-24,ZJK,584
2025-01-27,AMZU,628
2025-01-27,AMZZ,630
2025-01-27,AVGX,580
