cell,split,green,null_mean,p5,p95,verdict
"F17-h0  15:55 flat [shipped, =B2]",TRAIN,32.075471698113205,30.756603773584906,24.528301886792452,37.735849056603776,inside
"F17-h0  15:55 flat [shipped, =B2]",VAL,43.47826086956522,49.47391304347826,39.130434782608695,60.86956521739131,inside
F17-h1a  next OPEN,TRAIN,37.735849056603776,36.87547169811321,30.18867924528302,43.39622641509434,inside
F17-h1a  next OPEN,VAL,34.78260869565217,41.04347826086957,30.434782608695656,52.17391304347826,inside
"F17-h1b  next OPEN , prior-close stop",TRAIN,37.735849056603776,36.87547169811321,30.18867924528302,43.39622641509434,inside
"F17-h1b  next OPEN , prior-close stop",VAL,34.78260869565217,41.04347826086957,30.434782608695656,52.17391304347826,inside
F17-h2a  +1 session close,TRAIN,35.84905660377358,29.71792452830189,22.641509433962266,35.84905660377358,inside
F17-h2a  +1 session close,VAL,43.47826086956522,51.66304347826087,43.47826086956522,60.86956521739131,inside
"F17-h2b  +1 session close , prior-close stop",TRAIN,35.84905660377358,33.46132075471698,26.41509433962264,39.62264150943396,inside
"F17-h2b  +1 session close , prior-close stop",VAL,39.130434782608695,44.35434782608696,34.78260869565217,52.17391304347826,inside
F17-h3a  +2 session close,TRAIN,39.62264150943396,32.39905660377359,26.41509433962264,39.62264150943396,inside
F17-h3a  +2 session close,VAL,34.78260869565217,45.41521739130435,34.78260869565217,56.52173913043478,inside
"F17-h3b  +2 session close , prior-close stop",TRAIN,37.735849056603776,33.25188679245283,26.41509433962264,39.62264150943396,inside
"F17-h3b  +2 session close , prior-close stop",VAL,34.78260869565217,41.70652173913044,30.434782608695656,52.17391304347826,inside
F17-h5a  +5 session close,TRAIN,41.509433962264154,36.467924528301886,30.18867924528302,43.39622641509434,inside
F17-h5a  +5 session close,VAL,43.47826086956522,42.64347826086957,34.78260869565217,52.17391304347826,inside
"F17-h5b  +5 session close , prior-close stop",TRAIN,37.735849056603776,32.531132075471696,26.41509433962264,39.62264150943396,inside
"F17-h5b  +5 session close , prior-close stop",VAL,34.78260869565217,41.25000000000001,30.434782608695656,52.17391304347826,inside
