cell,era,n,per_wk,gross,net,total,green,tc,mde
F19-ref  base B2 (as-is),H1-2025,789,29.22222222222222,-0.07672468367398727,-0.14325229361401337,-11302.605966145655,26.923076923076923,-2.7853430476031833,0.15798891934704984
F19-ref  base B2 (as-is),H2-2025,833,30.85185185185185,-0.0031885061681804477,-0.07254423483174693,-6042.934761484519,37.03703703703704,-1.4685512490232482,0.1493986538740248
F19-ref  base B2 (as-is),VAL,706,32.09090909090909,0.08272033029467893,0.012650779374544391,893.1450238428347,45.45454545454545,0.26162959495333094,0.16490036658662086
"F19-b1   base, INTERSECT",H1-2025,757,28.037037037037038,-0.09657530925369226,-0.16266987111599213,-12314.109243480605,26.923076923076923,-3.118988491645948,0.15866954190342691
"F19-b1   base, INTERSECT",H2-2025,754,27.925925925925927,0.03311475686602089,-0.03375289791328328,-2544.96850266156,40.74074074074074,-0.6223629388799213,0.15368341446528566
"F19-b1   base, INTERSECT",VAL,656,29.818181818181817,0.002477883904967964,-0.06837677574724806,-4485.516489019471,45.45454545454545,-1.3307188217000832,0.16330984222288128
"F19-b2   base, NOT in INTERSECT",H1-2025,113,4.185185185185185,-0.06591529471263048,-0.13783369662766734,-1557.5207718926408,12.5,-1.180469326791391,0.35766924801116073
"F19-b2   base, NOT in INTERSECT",H2-2025,473,17.51851851851852,-0.02617584290810509,-0.10044379156967857,-4750.991341245796,37.03703703703704,-1.4893720018907344,0.1904215165625196
"F19-b2   base, NOT in INTERSECT",VAL,527,23.954545454545453,0.11171226875427953,0.041567901172930584,2190.628391813442,50.0,0.7437714717094778,0.1907981971283241
"F19-o1   wrappers, INTERSECT",H1-2025,453,16.77777777777778,-0.09827411629116521,-0.15533262687208044,-7036.567997305242,38.46153846153847,-1.840915077277828,0.20139225146549486
"F19-o1   wrappers, INTERSECT",H2-2025,354,13.11111111111111,0.11231408254550741,0.054004593243059736,1911.7626008043158,53.84615384615385,0.5796456407014716,0.2206405698679147
"F19-o1   wrappers, INTERSECT",VAL,324,14.727272727272727,-0.021122037142911516,-0.08366217434678302,-2710.65444883577,50.0,-0.976128314838538,0.22268826830327013
"F19-o2   SPY 09:35 gate, INTERSECT",H1-2025,368,13.62962962962963,-0.08229568180541028,-0.15047192139474508,-5537.366707326619,37.5,-2.0596335580306326,0.22337875721927578
"F19-o2   SPY 09:35 gate, INTERSECT",H2-2025,408,15.11111111111111,0.11363808652195642,0.047175992224750406,1924.780482769816,55.55555555555556,0.6246043171525711,0.21886167342684681
"F19-o2   SPY 09:35 gate, INTERSECT",VAL,347,15.772727272727273,0.06622008483369371,-0.005366810004907394,-186.22830717028614,61.904761904761905,-0.07317413799410574,0.22997982668595593
"F19-o3   dollar_frac>=p80(48.9), INT",H1-2025,208,7.703703703703703,-0.042738892992740314,-0.10282362702605218,-2138.731442141886,39.130434782608695,-1.005514595137245,0.2817376905748802
"F19-o3   dollar_frac>=p80(48.9), INT",H2-2025,277,10.25925925925926,0.10801515234287414,0.045741941551201974,1267.0517809682956,48.148148148148145,0.5094292423868833,0.23371994830780607
"F19-o3   dollar_frac>=p80(48.9), INT",VAL,272,12.363636363636363,-0.037032590824534986,-0.10320968976191316,-2807.3035615240387,47.61904761904761,-1.2010157101446832,0.2351111933684616
"F19-o4   price>=$30, INTERSECT",H1-2025,613,22.703703703703702,-0.051355472000151295,-0.11818966660775702,-7245.026563055506,34.61538461538461,-1.9773725386506693,0.17182124506992447
"F19-o4   price>=$30, INTERSECT",H2-2025,613,22.703703703703702,0.04427210252707548,-0.022110937604052673,-1355.4004751284294,40.74074074074074,-0.35773230867888317,0.16694025251542405
"F19-o4   price>=$30, INTERSECT",VAL,596,27.09090909090909,0.04014306285447436,-0.03132600462793911,-1867.0298758251702,45.45454545454545,-0.5497486872180004,0.1704217932514727
"F19-o1r  wrappers, as-is",H1-2025,497,18.40740740740741,-0.11713529633667928,-0.17664738927493906,-8779.375246964471,38.46153846153847,-2.215095696675721,0.19334943268461136
"F19-o1r  wrappers, as-is",H2-2025,586,21.703703703703702,0.09053857071730768,0.02295481607693919,1345.1522221086364,48.148148148148145,0.34012116423481137,0.183794850882805
"F19-o1r  wrappers, as-is",VAL,594,27.0,0.13450676486846186,0.0666324145755427,3957.9654257872376,45.45454545454545,0.9786414708946077,0.18372461154332825
"F19-o2r  SPY 09:35 gate, as-is",H1-2025,392,14.518518518518519,-0.06198696302969322,-0.13086671078828666,-5129.975062900838,37.5,-1.8976004869578427,0.2212797478524022
"F19-o2r  SPY 09:35 gate, as-is",H2-2025,437,16.185185185185187,0.11667202898545176,0.04739148927511443,2071.0080813225018,51.85185185185185,0.7135739602204084,0.21411553976034925
"F19-o2r  SPY 09:35 gate, as-is",VAL,365,16.59090909090909,0.16513250738438082,0.09422589264474344,3439.245081533136,71.42857142857143,1.4157829574298053,0.23371263050361343
"F19-o3r  dollar_frac>=p80, as-is",H1-2025,230,8.518518518518519,-0.07624414541954361,-0.13772846974868838,-3167.7548042198327,30.434782608695656,-1.4555450609133298,0.2674473457273863
"F19-o3r  dollar_frac>=p80, as-is",H2-2025,345,12.777777777777779,0.10751337285961987,0.0436002142206386,1504.2073906120322,51.85185185185185,0.5452361593501338,0.214487874308406
"F19-o3r  dollar_frac>=p80, as-is",VAL,374,17.0,0.08275563442131438,0.01728243598745386,646.3631059307745,52.38095238095239,0.22694278601335044,0.21470475319780138
"F19-o4r  price>=$30, as-is",H1-2025,649,24.037037037037038,-0.06960018890297756,-0.1375638309776165,-8927.892630447312,30.76923076923077,-2.402779009565763,0.16734444076660412
"F19-o4r  price>=$30, as-is",H2-2025,703,26.037037037037038,0.05226902162545301,-0.017073208739302067,-1200.246574372934,37.03703703703704,-0.3013371162000643,0.16001975667525856
"F19-o4r  price>=$30, as-is",VAL,673,30.59090909090909,0.027753405828456666,-0.0445110511086216,-2995.5937396102345,54.54545454545454,-0.8873421075390627,0.16784617813656028
F19-x1,"H1, all names (reference)",789,,-0.07672468367398727,-0.14325229361401337,-11302.605966145655,26.923076923076923,-2.7853430476031833,0.15798891934704984
F19-x1,"H1, names listed throughout H2-2025",789,,-0.07672468367398727,-0.14325229361401337,-11302.605966145655,26.923076923076923,-2.7853430476031833,0.15798891934704984
F19-x1,"H1, names listed in all three eras",757,,-0.09657530925369226,-0.16266987111599213,-12314.109243480605,26.923076923076923,-3.118988491645948,0.15866954190342691
F19-x1,"H1, names NOT listed throughout H2",0,,,,0.0,,,
