day,symbol,entry_m,rr_booked,rr_walk
2025-01-10,CEG,577,0.5308464849354361,0.5308464849354361
2025-01-10,DAR,579,-0.1263157894736848,-0.12631578947368488
2025-01-10,DAL,586,-1.0363523035230355,-1.0363523035230355
2025-01-10,MCY,604,-1.0651219512195136,-1.0651219512195136
2025-01-10,RNA,606,-1.0328351648351632,-1.0328351648351632
2025-01-10,VFC,625,2.0,2.0
2025-01-10,BG,727,-0.400778210116733,-0.40077821011673304
2025-01-10,IONQ,788,-1.0827791563275482,-1.0827791563275482
2025-01-13,AVGX,584,-0.5214723926380391,-0.5214723926380391
2025-01-13,VITL,585,0.1063829787234018,0.10638297872340184
2025-01-13,HIMS,591,-1.0618072289156597,-1.0618072289156595
2025-01-13,MSTX,592,-1.0258734726580767,-1.0258734726580767
2025-01-13,BITX,621,-1.0667055346587877,-1.0667055346587875
2025-01-13,OILU,631,-1.2127058823529324,-1.2127058823529324
2025-01-13,NBIS,827,2.0,2.0
2025-01-14,AGX,577,-0.0726256983240232,-0.07262569832402327
2025-01-14,DJTWW,578,-1.0283680665610146,-1.0283680665610146
2025-01-14,IONQ,593,-1.024899563318778,-1.0248995633187779
2025-01-14,QMCO,593,-1.0221308023027027,-1.0221308023027027
2025-01-14,DJT,609,-1.043170446076869,-1.043170446076869
2025-01-14,BBIO,612,-1.0478767123287702,-1.0478767123287702
2025-01-14,SSG,660,-0.2199999999999988,-0.21999999999999886
2025-01-14,TSLQ,705,-1.0723732876712373,-1.0723732876712373
2025-01-14,BOIL,772,-0.1900826446281012,-0.1900826446281012
2025-01-14,NBIS,816,-1.0822363473589902,-1.0822363473589902
2025-01-15,CBLL,595,-0.5238095238095236,-0.5238095238095236
2025-01-15,MUU,596,2.0,2.0
2025-01-15,RKLB,602,-1.0603255813953454,-1.0603255813953454
2025-01-15,ALGS,607,0.1060737527114964,0.10607375271149648
2025-01-15,SMR,632,-1.0673225806451572,-1.0673225806451572
2025-01-15,DRV,641,1.9696969696969544,1.9696969696969544
2025-01-16,ARQQ,577,2.0,2.0
2025-01-16,BYRN,577,-1.0337773437499993,-1.0337773437499993
2025-01-16,CNXC,579,-1.0158274888208991,-1.0158274888208993
2025-01-16,AORT,581,-0.4401719068084131,-0.44017190680841317
2025-01-16,PNC,632,0.5641414730944382,0.5641414730944382
2025-01-16,HUT,670,-1.0639518072289174,-1.0639518072289174
2025-01-16,BOIL,823,2.0,2.0
2025-01-17,TSLL,619,-1.065900433839476,-1.065900433839476
2025-01-17,TSLR,619,-1.0684631352899034,-1.0684631352899034
2025-01-17,TSLT,620,-1.082899184728579,-1.082899184728579
2025-01-17,CECO,633,-1.0357901234567903,-1.0357901234567903
2025-01-17,MARA,641,2.0,2.0
2025-01-17,SMR,648,2.0,2.0
2025-01-17,NNE,650,-1.0476538461538458,-1.0476538461538458
2025-01-17,OKLO,697,-1.0461194563662386,-1.0461194563662386
2025-01-17,MSTX,699,-1.0566079796744143,-1.0566079796744143
2025-01-21,GH,577,1.4397463002114157,1.4397463002114157
2025-01-21,RKLB,577,1.7015706806282722,1.7015706806282722
2025-01-21,TSLQ,577,-0.4725738396624482,-0.47257383966244826
2025-01-21,IONQ,578,1.9386792452830244,1.9386792452830244
2025-01-22,ARM,577,0.7688498165390574,0.7688498165390574
2025-01-22,MRNA,588,0.099999999999999,0.09999999999999905
2025-01-22,SMCX,604,-1.0319865771812082,-1.0319865771812082
2025-01-22,LUNR,614,-1.055390243902439,-1.055390243902439
2025-01-22,CONL,617,-1.0285120481927723,-1.0285120481927723
2025-01-22,OKLO,634,-1.046097829073919,-1.046097829073919
2025-01-22,FTAI,798,1.868519395757668,1.8685193957576676
2025-01-23,CONL,577,-1.0174812030075195,-1.0174812030075195
2025-01-23,MSTX,577,-1.0211068702290085,-1.0211068702290085
2025-01-23,NNE,577,2.0,2.0
2025-01-23,PLTU,578,-1.031213483146067,-1.0312134831460673
2025-01-23,FTAI,634,1.7651821862348185,1.7651821862348185
2025-01-23,TEM,661,2.0,2.0
2025-01-23,ARLP,697,-1.028125000000001,-1.028125000000001
2025-01-24,LUNR,586,-1.022064814814815,-1.022064814814815
2025-01-24,LFVN,595,-1.0365250194163993,-1.0365250194163993
2025-01-24,NBIS,602,2.0,2.0
2025-01-24,NEE,608,2.0,2.0
2025-01-24,OKLO,614,-1.0394655674102815,-1.0394655674102817
2025-01-24,BE,659,2.0,2.0
2025-01-24,CONL,662,-1.0468348623853243,-1.0468348623853243
2025-01-24,NVD,717,2.0,2.0
2025-01-24,BTDR,745,-1.0497619047619071,-1.0497619047619071
2025-01-27,AVGX,580,-1.015676646706587,-1.015676646706587
2025-01-27,AVL,580,-1.0159491525423732,-1.0159491525423732
2025-01-27,TREE,586,1.6622807017543848,1.6622807017543848
2025-01-27,ASAN,588,2.0,2.0
2025-01-27,FBL,612,2.0,2.0
2025-01-27,DDOG,624,-1.0642107623318406,-1.0642107623318406
