day,symbol,entry_m,ctrl_entry_m,rr,why
2025-01-10,DAL,586,571,2.0,target
2025-01-10,MCY,604,589,2.0,target
2025-01-10,RNA,606,591,-1.032835164835167,stop
2025-01-10,VFC,625,610,2.0,target
2025-01-10,BG,727,712,2.0,target
2025-01-10,IONQ,788,773,2.0,target
2025-01-13,VITL,585,570,2.0,target
2025-01-13,HIMS,591,576,2.0,target
2025-01-13,MSTX,592,577,2.0,target
2025-01-13,BITX,621,606,2.0,target
2025-01-13,OILU,631,616,2.0,target
2025-01-13,NBIS,827,812,2.0,target
2025-01-14,IONQ,593,578,-1.024899563318778,stop
2025-01-14,QMCO,593,578,-1.0168893827880214,stop
2025-01-14,DJT,609,594,-1.0431704460768674,stop
2025-01-14,BBIO,612,597,0.6809664214130143,eod
2025-01-14,TSLQ,705,690,-1.0723732876712346,stop
2025-01-14,BOIL,772,757,1.047859477558382,eod
2025-01-14,NBIS,816,801,-1.0822363473589989,stop
2025-01-15,CBLL,595,580,0.599176596599278,eod
2025-01-15,MUU,596,581,2.0,target
2025-01-15,RKLB,602,587,2.0,target
2025-01-15,ALGS,607,592,0.3666041569464405,eod
2025-01-15,SMR,632,617,-1.0673225806451616,stop
2025-01-15,DRV,641,626,2.0,target
2025-01-16,PNC,632,617,1.3882858754277088,eod
2025-01-16,HUT,670,655,0.8406400631073959,eod
2025-01-16,BOIL,823,808,2.0,target
2025-01-17,TSLL,619,604,2.0,target
2025-01-17,TSLR,619,604,2.0,target
2025-01-17,TSLT,620,605,2.0,target
2025-01-17,CECO,633,618,0.8572086066045295,eod
2025-01-17,MARA,641,626,2.0,target
2025-01-17,SMR,648,633,2.0,target
2025-01-17,NNE,650,635,2.0,target
2025-01-17,OKLO,697,682,0.3289344760028643,eod
2025-01-17,MSTX,699,684,1.5837901003565373,eod
2025-01-22,MRNA,588,573,2.0,target
2025-01-22,SMCX,604,589,2.0,target
2025-01-22,LUNR,614,599,2.0,target
2025-01-22,CONL,617,602,-1.028512048192771,stop
2025-01-22,OKLO,634,619,0.8927498943862624,eod
2025-01-22,FTAI,798,783,2.0,target
2025-01-23,FTAI,634,619,2.0,target
2025-01-23,TEM,661,646,2.0,target
2025-01-24,LUNR,586,571,-1.0220648148148144,stop
2025-01-24,NBIS,602,587,2.0,target
2025-01-24,NEE,608,593,2.0,target
2025-01-24,OKLO,614,599,2.0,target
2025-01-24,BE,659,644,2.0,target
2025-01-24,CONL,662,647,2.0,target
2025-01-24,NVD,717,702,2.0,target
2025-01-24,BTDR,745,730,2.0,target
2025-01-27,TREE,586,571,2.0,target
2025-01-27,ASAN,588,573,2.0,target
2025-01-27,FBL,612,597,2.0,target
2025-01-27,DDOG,624,609,-1.0642107623318406,stop
2025-01-27,SNOW,626,611,-1.0810400546199335,stop
2025-01-27,SOXS,689,674,2.0,target
2025-01-28,CRWD,603,588,2.0,target
2025-01-28,ETSY,603,588,2.0,target
2025-01-28,NCLH,610,595,2.0,target
2025-01-28,MDB,625,610,1.3071904161785919,eod
2025-01-28,U,628,613,2.0,target
2025-01-28,SNOW,661,646,0.61035379991413,eod
2025-01-29,OKLO,586,571,2.0,target
2025-01-29,CAVA,603,588,2.0,target
2025-01-29,NVD,643,628,2.0,target
2025-01-31,LUNR,650,635,-1.0755483870967744,stop
2025-01-31,SMCI,655,640,-1.0459788840937094,stop
2025-01-31,OKLO,673,658,2.0,target
2025-01-31,BEN,725,710,2.0,target
2025-01-31,YANG,811,796,2.0,target
2025-02-03,PLTU,672,657,2.000000000000005,target
2025-02-05,MWA,586,571,2.0,target
2025-02-05,WGS,592,577,-1.0090664875755537,stop
2025-02-05,HIMS,617,602,-1.0529756097560976,stop
2025-02-05,NUGT,618,603,-1.0672736758684482,stop
2025-02-05,SMCX,619,604,2.0,target
2025-02-05,LABU,623,608,2.0,target
2025-02-05,AMTM,778,763,1.0742971645160126,eod
2025-02-06,CPRI,588,573,-1.0603066666666627,stop
2025-02-06,PLTR,610,595,2.0,target
2025-02-07,SOXS,615,600,2.0,target
2025-02-07,BYRN,625,610,2.0,target
2025-02-07,NBIS,766,751,2.0,target
2025-02-10,CENX,589,574,-1.0336612903225793,stop
2025-02-10,AAOI,634,619,-0.2934159600555444,eod
2025-02-10,SMCI,695,680,2.0,target
2025-02-10,RKLB,709,694,2.0,target
2025-02-12,GDS,645,630,-1.0488611111111148,stop
2025-02-12,CONL,716,701,2.0,target
2025-02-13,BABX,594,579,1.917758679373728,eod
2025-02-13,SMMT,820,805,2.0,target
2025-02-13,ARM,828,813,2.0,target
2025-02-14,HIMS,599,584,-0.39373768406026505,eod
2025-02-14,APP,622,607,2.0,target
2025-02-14,DELL,791,776,0.7244168935621601,eod
2025-02-18,LMND,587,572,2.0,target
2025-02-18,NBIS,605,590,2.0,target
2025-02-18,NE,770,755,-1.089402985074626,stop
2025-02-18,UNG,792,777,2.0,target
2025-02-19,CVI,590,575,-1.0204271604938286,stop
2025-02-19,CRSP,621,606,-0.3196969625445819,eod
2025-02-19,GIL,635,620,0.4747640135822694,eod
2025-02-19,IONQ,666,651,0.648175678957579,eod
2025-02-19,SMCI,738,723,2.0,target
2025-02-20,DINO,595,580,2.0,target
2025-02-20,U,631,616,2.0,target
2025-02-20,SMCI,721,706,2.0,target
2025-02-21,U,594,579,-1.0350883350883335,stop
2025-02-21,BILI,608,593,-1.0447436849925709,stop
2025-02-21,TSLQ,698,683,2.0,target
2025-02-21,TSDD,699,684,2.0,target
2025-02-21,VKTX,746,731,1.999999999999998,target
2025-02-21,VIXY,793,778,2.0,target
2025-02-24,SMCL,586,571,2.0,target
2025-02-24,SMCX,586,571,-1.0189619771863112,stop
2025-02-24,MSTZ,588,573,2.0,target
2025-02-24,TSDD,599,584,2.0,target
2025-02-24,TSLQ,599,584,2.0,target
2025-02-24,UVIX,599,584,2.0,target
2025-02-24,SRTY,608,593,-1.071499999999996,stop
2025-02-24,NVDS,637,622,2.0,target
2025-02-24,HIMS,761,746,2.0,target
2025-02-27,SG,622,607,2.0,target
2025-02-27,AAOI,685,670,2.0,target
2025-02-27,XPEV,808,793,-0.35316768351263483,eod
2025-03-03,ETHD,596,581,2.0,target
2025-03-03,NVDS,598,583,2.0,target
2025-03-03,BOIL,680,665,2.0,target
2025-03-03,UNG,702,687,1.3470160539786082,eod
2025-03-03,TSDD,775,760,2.0,target
2025-03-03,ERY,796,781,2.0,target
2025-03-03,SRTY,809,794,2.0,target
2025-03-03,UVXY,813,798,2.0,target
2025-03-04,GDS,733,718,2.0,target
2025-03-04,COIN,792,777,2.0,target
2025-03-04,CELH,820,805,-0.486179517275195,eod
2025-03-05,GRRR,589,574,-1.0250866838110748,stop
2025-03-05,CYD,590,575,1.1178583137789417,eod
2025-03-05,NUGT,608,593,1.921253566384357,eod
2025-03-05,SOXS,695,680,-1.070661971830988,stop
2025-03-05,MSTR,722,707,2.0,target
2025-03-06,TSLQ,585,570,2.0,target
2025-03-06,ASTS,590,575,-1.024496245073982,stop
2025-03-06,SG,590,575,2.0,target
2025-03-06,TPB,601,586,-1.0238224637681173,stop
2025-03-07,CPB,644,629,2.0,target
2025-03-07,CART,646,631,2.0,target
2025-03-07,TSDD,711,696,-1.0621810344827634,stop
2025-03-07,TSLQ,711,696,2.0,target
2025-03-10,HIMS,585,570,2.0,target
2025-03-10,TSLQ,592,577,2.0,target
2025-03-10,TSDD,593,578,2.0,target
2025-03-11,CRDO,590,575,2.0,target
2025-03-11,SOXS,626,611,2.0,target
2025-03-11,UVXY,628,613,2.0,target
2025-03-11,VIXY,643,628,-1.0535648148148162,stop
2025-03-11,SEI,670,655,-1.0626821787414107,stop
2025-03-11,AVGX,703,688,-1.2004614844709613,stop
2025-03-12,MSTZ,596,581,2.0,target
2025-03-12,UVIX,598,583,2.0,target
