symbol,H1-2025,H2-2025,VAL,INTERSECT
A,True,True,True,True
AA,True,True,True,True
AAA,True,True,True,True
AAAA,False,True,True,False
AAAC,False,False,True,False
AAAU,True,True,True,True
AACB,False,True,True,False
AACBR,False,True,True,False
AACBU,True,True,True,True
AACG,True,True,True,True
AACT,True,False,False,False
AACT+,True,False,False,False
AACT=,True,False,False,False
AADR,True,True,True,True
AAEQ,False,False,True,False
AAL,True,True,True,True
AALG,False,True,True,False
AAM,True,True,False,False
AAM+,True,True,False,False
AAM=,True,True,False,False
AAME,True,True,True,True
AAMI,True,True,True,True
AAOI,True,True,True,True
AAON,True,True,True,True
AAP,True,True,True,True
AAPB,True,True,True,True
AAPD,True,True,True,True
AAPG,True,True,True,True
AAPL,True,True,True,True
AAPR,True,True,True,True
AAPU,True,True,True,True
AAPW,False,True,True,False
AAPX,True,True,True,True
AAPY,True,True,True,True
AARD,False,True,True,False
AAT,True,True,True,True
AAUC,False,True,True,False
AAUM,False,False,True,False
AAUS,False,True,True,False
AAVM,True,True,True,True
AAXJ,True,True,True,True
AB,True,True,True,True
ABAT,True,True,True,True
ABBV,True,True,True,True
ABCB,True,True,True,True
ABCL,True,True,True,True
ABCS,True,True,True,True
ABEO,True,True,True,True
ABEQ,True,True,True,True
ABEV,True,True,True,True
ABFL,True,True,True,True
ABG,True,True,True,True
ABHY,True,False,False,False
ABI,False,True,True,False
ABIG,False,True,True,False
ABL,True,True,False,False
ABLD,True,True,True,True
ABLG,True,True,True,True
ABLLL,True,True,False,False
ABLLW,True,False,False,False
ABLS,False,True,True,False
ABLV,True,True,True,True
ABLVW,True,True,True,True
ABM,True,True,True,True
ABNB,True,True,True,True
ABNG,False,False,True,False
ABNY,True,True,True,True
ABOS,True,True,True,True
ABOT,True,True,True,True
ABP,True,True,False,False
ABPWW,True,True,False,False
ABR,True,True,True,True
ABR-D,True,True,True,True
ABR-E,True,True,True,True
ABR-F,True,True,True,True
ABSI,True,True,True,True
ABT,True,True,True,True
ABTC,False,False,True,False
ABTS,True,True,True,True
ABUS,True,True,True,True
ABVC,True,True,True,True
ABVE,True,True,True,True
ABVEW,True,True,True,True
ABVX,True,True,True,True
ABX,False,False,True,False
ABXB,False,True,True,False
ABXL,False,False,True,False
AC,True,False,False,False
ACA,True,True,True,True
ACAD,True,True,True,True
ACB,True,True,True,True
ACCL,False,False,True,False
ACCO,True,True,True,True
ACCS,True,True,True,True
ACDC,True,True,True,True
ACEI,False,False,True,False
ACEL,True,True,True,True
ACEP,False,False,True,False
ACES,True,True,True,True
ACET,True,True,True,True
ACFN,False,True,True,False
ACGL,True,True,True,True
ACGLN,True,True,True,True
ACGLO,True,True,True,True
ACGR,True,True,True,True
ACH,False,False,True,False
ACHC,True,True,True,True
ACHR,True,True,True,True
ACHR+,True,True,True,True
ACHV,True,True,True,True
ACI,True,True,True,True
ACIC,True,True,True,True
ACII,False,False,True,False
ACIO,True,True,True,True
ACIU,True,True,True,True
ACIW,True,True,True,True
ACKY,False,False,True,False
ACLC,True,True,True,True
ACLO,True,True,True,True
ACLS,True,True,True,True
ACLX,True,True,False,False
ACM,True,True,True,True
ACMR,True,True,True,True
ACN,True,True,True,True
ACNB,True,True,True,True
