cell,base,split,n,per_wk,net,netb,gross,t,green,flat,redstreak,worst,best,total,mdd,wk_mean,green_mo,ex5,imp
B0 shipped (reference),B0,TRAIN,1688,31.849056603773583,-0.08788326202942731,-0.08856000275169078,-0.027117270911904905,-2.6414077636318516,41.509433962264154,1.8867924528301887,7,-2718.162843388239,1284.9140309047382,-14834.69463056733,-17209.0952590041,-279.8998986899496,25.0,-0.19784584419042966,0.6516587677725119
B0 shipped (reference),B0,VAL,820,35.65217391304348,-0.05034000540819084,-0.05105868102629371,0.015722543926062964,-1.0642109903330585,43.47826086956522,4.3478260869565215,6,-2076.2967819695546,2375.4564340873767,-4127.88044347165,-7519.286980372567,-179.47306275963697,40.0,-0.15753724287623047,0.6097560975609756
B2 shipped (reference),B2,TRAIN,1622,30.60377358490566,-0.10693921533680749,-0.13987097723625172,-0.03895918684147366,-3.4158001457905294,32.075471698113205,1.8867924528301887,5,-2231.432721493132,1814.8908985813755,-17345.540727630174,-18928.988592607817,-327.27435335151273,25.0,-0.21816972125039877,49.136868064118374
B2 shipped (reference),B2,VAL,706,30.695652173913043,0.012650779374544391,-0.02591279892455078,0.08272033029467893,0.2678074312316802,43.47826086956522,4.3478260869565215,4,-957.3728770391667,1410.7525100988917,893.1450238428342,-2940.0336675961444,38.83239234099279,40.0,-0.09302888820971138,57.082152974504254
P1  T10/0.25,B0,TRAIN,1826,34.45283018867924,-0.079934835006485,-0.08058237888874113,-0.01676255853305126,-2.7605500777759198,33.9622641509434,1.8867924528301887,6,-1810.9139876263555,1229.313152924236,-14596.10087218416,-14627.662877784747,-275.3981296638521,25.0,-0.18948531270801042,0.6024096385542169
P1  T10/0.25,B0,VAL,942,40.95652173913044,-0.05881839688447067,-0.059683792810942556,0.009247575272129332,-1.4822141431067557,30.434782608695656,4.3478260869565215,5,-2315.361831717143,1915.2293679503402,-5540.692986517137,-6625.796968442869,-240.89969506596248,0.0,-0.1684826976152251,0.6369426751592357
P2  T10/0.25,B2,TRAIN,2008,37.886792452830186,-0.10054526405703829,-0.13213623309430192,-0.030654356837059922,-3.944166170276081,30.18867924528302,1.8867924528301887,8,-1812.511771091664,2372.7737816979625,-20189.48902265329,-20189.489022653295,-380.93375514440174,8.333333333333332,-0.21077419143483503,44.223107569721115
P2  T10/0.25,B2,VAL,942,40.95652173913044,-0.020949900156737675,-0.057971791689579825,0.05176355049795001,-0.5627209568634155,34.78260869565217,4.3478260869565215,5,-1230.4669896320313,1394.8237994883343,-1973.4805947646905,-3761.1312906391845,-85.80350412020394,60.0,-0.12841107015334427,50.21231422505308
P3  T5/0.25,B0,TRAIN,1925,36.320754716981135,-0.08981762083052026,-0.09048618849186311,-0.024926180986284827,-3.4936543698547133,28.30188679245283,1.8867924528301887,7,-1570.94337790619,1181.0131526378734,-17289.892009875155,-17838.51026206794,-326.2243775448143,16.666666666666664,-0.19982929631508917,0.6233766233766234
P3  T5/0.25,B0,VAL,1006,43.73913043478261,-0.028565213686462577,-0.02946215396806497,0.041512268652897644,-0.7980802772039173,39.130434782608695,4.3478260869565215,4,-2276.6965249895366,1478.8522887969768,-2873.6604968581355,-5003.952771272748,-124.94176073296241,20.0,-0.13604028037952626,0.6958250497017893
P4  RuleD 0.75->-0.5R,B0,TRAIN,1688,31.849056603773583,-0.08275389638695238,-0.08343063710921583,-0.021987905269429984,-2.492618210468101,41.509433962264154,1.8867924528301887,7,-2718.162843388239,1339.2376672683745,-13968.857710117562,-16619.47705967792,-263.5633530210861,25.0,-0.19244449097489777,0.6516587677725119
P4  RuleD 0.75->-0.5R,B0,VAL,821,35.69565217391305,-0.05022928869644229,-0.05094708894838425,0.015915740792972467,-1.066350748056939,43.47826086956522,4.3478260869565215,6,-2076.2967819695546,2375.4564340873767,-4123.824601977912,-7266.125137780969,-179.29672182512658,40.0,-0.15728327408416173,0.6090133982947624
P5  RuleD 0.75->-0.5R,B2,TRAIN,1622,30.60377358490566,-0.1040301874255116,-0.13696194932495584,-0.03605015893017776,-3.3276689474997734,33.9622641509434,1.8867924528301887,5,-2231.432721493132,1874.1461617392706,-16873.69640041798,-18564.48605784845,-318.37163019656566,25.0,-0.21510579704772215,49.136868064118374
P5  RuleD 0.75->-0.5R,B2,VAL,707,30.73913043478261,0.015097499151472573,-0.023411533775205218,0.08517945330599534,0.3204646910687356,43.47826086956522,4.3478260869565215,4,-957.3728770391667,1410.7525100988917,1067.393190009111,-2765.785501429868,46.40839956561353,40.0,-0.09029340303851544,57.001414427157
P6  fill-bar shape exit,B0,TRAIN,1965,37.075471698113205,-0.11232118325960172,-0.11294281190613678,-0.04581870484578756,-4.883531646462988,28.30188679245283,1.8867924528301887,7,-1833.513639763406,1014.0539282876161,-22071.112510511743,-22071.112510511746,-416.43608510399514,0.0,-0.22341183355987343,0.6106870229007634
P6  fill-bar shape exit,B0,VAL,1013,44.04347826086956,-0.02253157390184591,-0.02302732419433244,0.04794715154450149,-0.6855772632792726,39.130434782608695,4.3478260869565215,5,-1547.626025278956,2107.0313709621328,-2282.448436256991,-4831.784481244218,-99.23688853291266,20.0,-0.12871706702147778,0.3948667324777887
