cell,split,obs,mu,p5,p95,outside
B0,TRAIN,41.509433962264154,34.65660377358491,28.30188679245283,41.509433962264154,inside
B0,VAL,43.47826086956522,38.71521739130435,30.434782608695656,47.82608695652174,inside
B2,TRAIN,32.075471698113205,30.756603773584906,24.528301886792452,37.735849056603776,inside
B2,VAL,43.47826086956522,49.47391304347826,39.130434782608695,60.86956521739131,inside
B3,TRAIN,26.41509433962264,32.159433962264146,24.528301886792452,39.62264150943396,inside
B3,VAL,47.82608695652174,48.036956521739135,39.130434782608695,56.52173913043478,inside
A1 spy_gap>0 [B2],TRAIN,35.84905660377358,35.11603773584905,28.30188679245283,41.509433962264154,inside
A1 spy_gap>0 [B2],VAL,56.52173913043478,54.678260869565214,43.47826086956522,65.21739130434783,inside
A2 |spy_gap|<=med [B2],TRAIN,35.84905660377358,37.343396226415095,30.18867924528302,43.39622641509434,inside
A2 |spy_gap|<=med [B2],VAL,39.130434782608695,42.18913043478261,34.78260869565217,52.17391304347826,inside
A3 spy_r5>0 (0935) [B2],TRAIN,43.39622641509434,42.86037735849057,35.84905660377358,50.943396226415096,inside
A3 spy_r5>0 (0935) [B2],VAL,65.21739130434783,56.123913043478254,43.47826086956522,65.21739130434783,inside
A4 spy_r5 TOP terc [B2],TRAIN,28.30188679245283,33.068867924528305,26.41509433962264,39.62264150943396,inside
A4 spy_r5 TOP terc [B2],VAL,60.86956521739131,53.15652173913043,43.47826086956522,61.08695652173894,inside
A5 qqq_gap>0 [B2],TRAIN,35.84905660377358,36.78490566037736,30.18867924528302,43.39622641509434,inside
A5 qqq_gap>0 [B2],VAL,65.21739130434783,61.030434782608694,47.82608695652174,69.56521739130434,inside
A6 qqq_r5>0 (0935) [B2],TRAIN,32.075471698113205,27.766981132075472,20.754716981132077,33.9622641509434,inside
A6 qqq_r5>0 (0935) [B2],VAL,52.17391304347826,50.09130434782608,39.130434782608695,60.86956521739131,inside
A7 qqq_imb not sell-side [B2],TRAIN,24.528301886792452,30.52169811320755,22.641509433962266,37.735849056603776,inside
A7 qqq_imb not sell-side [B2],VAL,34.78260869565217,39.38478260869565,30.434782608695656,47.82608695652174,inside
A8 qqq_imb BUY [B2],TRAIN,16.9811320754717,18.12358490566038,13.20754716981132,22.641509433962266,inside
A8 qqq_imb BUY [B2],VAL,13.043478260869565,17.245652173913044,8.695652173913043,26.08695652173913,inside
A9 spy_pm_ret>0 [B2],TRAIN,35.84905660377358,35.11603773584905,28.30188679245283,41.509433962264154,inside
A9 spy_pm_ret>0 [B2],VAL,56.52173913043478,54.678260869565214,43.47826086956522,65.21739130434783,inside
A10 spy_vol20 BOT terc [B2],TRAIN,13.20754716981132,10.366981132075473,5.660377358490567,15.09433962264151,inside
A10 spy_vol20 BOT terc [B2],VAL,13.043478260869565,22.039130434782606,13.043478260869565,30.434782608695656,inside
A11 qqq_vol20 BOT terc [B2],TRAIN,13.20754716981132,12.35943396226415,7.547169811320755,16.9811320754717,inside
A11 qqq_vol20 BOT terc [B2],VAL,4.3478260869565215,8.42608695652174,4.3478260869565215,13.043478260869565,inside
A12 skip weekday 0 [B2],TRAIN,28.30188679245283,30.078301886792453,22.641509433962266,35.943396226415004,inside
A12 skip weekday 0 [B2],VAL,43.47826086956522,45.741304347826095,34.78260869565217,56.52173913043478,inside
A13 spy_r5>0 AND qqq_r5>0 [B2],TRAIN,33.9622641509434,32.51603773584906,26.41509433962264,39.62264150943396,inside
A13 spy_r5>0 AND qqq_r5>0 [B2],VAL,60.86956521739131,51.94347826086957,43.47826086956522,60.86956521739131,inside
