scan,gate,grossD,netD,t,nk,nr,TRAIN,VAL,notl_k,notl_r,note
S1,Gp pdr >= 8,0.0779,0.0734,5.37,5734,4430,0.12,-0.0129,1481.0,1706.0,
S1,Gp pdr >= 10,0.0871,0.0815,5.38,4349,5815,0.1357,-0.0165,1428.0,1680.0,
S1,Gp pdr >= 12,0.0818,0.0759,4.4,3275,6889,0.1455,-0.0432,1377.0,1663.0,
S1,Gf floor >= 5 (S1 only: the floor test),,,,5734,0,,,,,degenerate
S1,Gx level >= $5,,,,5734,0,,,,,degenerate
S1,Gx level >= $10,-0.0244,-0.0091,-0.38,3771,1963,0.0366,-0.0874,1468.0,1505.0,
S1,Gx level >= $20,-0.0427,-0.0282,-1.31,2248,3486,0.0132,-0.0958,1468.0,1490.0,
S1,Gr r >= 1%,1.4181,2.8209,3.54,5734,33,1.8923,5.3001,1481.0,17333.0,
S1,Gr r >= 2%,0.3807,1.0945,3.01,5680,87,0.7397,1.9764,1475.0,8385.0,
S1,Gt signal <= 14:00,0.0873,0.0681,4.32,5734,719,0.0895,0.0254,1481.0,1391.0,
S1,Gt signal <= 13:00,-0.0327,-0.0538,-3.05,5109,1344,-0.1197,0.0711,1487.0,1402.0,
S1,Ga adv20 >= 100K,0.1806,0.1943,1.97,5734,107,0.2561,-0.0143,1481.0,1400.0,
S1,Ga adv20 >= 500K,-0.0061,0.0011,0.04,4071,1770,0.048,-0.0748,1475.0,1490.0,
S1,Gu prev close >= $5,0.405,0.4144,1.66,5734,8,0.2606,0.6708,1481.0,1434.0,
S1,Gc fill <= level x 1.006 (the cap),0.0412,0.0409,1.87,5734,2133,0.0655,0.0003,1481.0,1155.0,
S1,"Gv rv in [1,5)",0.003,0.0091,0.4,3622,2112,0.0021,0.0197,1460.0,1516.0,
S1,Gk next printed bar is the next clock minute,-0.0039,0.0075,0.23,4939,795,0.0387,-0.0404,1462.0,1580.0,
S2,Gp pdr >= 8,0.0489,0.0384,3.34,10073,9301,0.095,-0.0527,1842.0,2010.0,
S2,Gp pdr >= 10,0.0492,0.0383,2.95,7345,12029,0.0933,-0.0492,1786.0,2001.0,
S2,Gp pdr >= 12,0.0258,0.0145,0.97,5350,14024,0.0695,-0.0713,1718.0,1992.0,
S2,Gf floor >= 5 (S1 only: the floor test),,,,10073,0,,,,,degenerate
S2,Gx level >= $5,,,,10073,0,,,,,degenerate
S2,Gx level >= $10,-0.009,0.0139,0.7,6463,3610,0.056,-0.0506,1810.0,1893.0,
S2,Gx level >= $20,-0.0153,0.0071,0.38,3804,6269,0.0513,-0.057,1799.0,1868.0,
S2,Gr r >= 1%,0.4452,1.9487,4.15,10073,165,1.5326,2.8128,1842.0,21100.0,
S2,Gr r >= 2%,0.0552,0.6803,4.06,9728,510,0.5577,0.901,1810.0,7630.0,
S2,Gt signal <= 14:00,0.0805,0.0501,3.64,10073,1176,0.0798,-0.0007,1842.0,1641.0,
S2,Gt signal <= 13:00,-0.0858,-0.1188,-7.51,9001,2248,-0.1877,0.0155,1860.0,1677.0,
S2,Ga adv20 >= 100K,0.204,0.214,2.83,10073,195,0.2414,0.1395,1842.0,1770.0,
S2,Ga adv20 >= 500K,0.0196,0.0313,1.55,6873,3395,0.0792,-0.0454,1798.0,1952.0,
S2,Gu prev close >= $5,0.102,0.1055,0.37,10073,12,-0.0963,0.297,1842.0,1724.0,
S2,Gc fill <= level x 1.006 (the cap),-0.035,-0.041,-3.38,10073,14185,-0.0608,-0.0095,1842.0,1948.0,
S2,"Gv rv in [1,5)",-0.0266,-0.0166,-0.87,5917,4156,-0.0298,0.0047,1763.0,1961.0,
S2,Gk next printed bar is the next clock minute,-0.015,0.0054,0.21,8260,1813,0.0551,-0.071,1784.0,2150.0,
POOLED,Gs first break clears the floor (S1 kept vs the extra S2 signals),0.0135,0.049,2.52,5734,4339,,,1481.0,2310.0,
TRAIN,Gs first break clears the floor (S1 kept vs the extra S2 signals),-0.0222,0.0142,0.56,3581,2581,,,1471.0,2300.0,
VAL,Gs first break clears the floor (S1 kept vs the extra S2 signals),0.0654,0.0996,3.27,2153,1758,,,1498.0,2328.0,
