scan,cell,split,obs,null_mean,p5,p95,outside
S1,B0,TRAIN,58.5,58.1,50.9,64.2,inside
S1,B0,VAL,77.3,59.5,50.0,72.7,ABOVE
S1,P3,TRAIN,52.8,56.7,50.9,64.2,inside
S1,P3,VAL,63.6,58.7,50.0,68.2,inside
S1,P4,TRAIN,56.6,59.4,52.8,66.0,inside
S1,P4,VAL,63.6,55.0,45.5,63.6,inside
S1,X2,TRAIN,54.7,57.4,50.9,64.2,inside
S1,X2,VAL,50.0,51.7,40.9,63.6,inside
S1,R2,TRAIN,56.6,57.4,50.9,64.2,inside
S1,R2,VAL,72.7,58.3,50.0,68.2,ABOVE
S1,C1,TRAIN,52.8,56.1,49.1,62.3,inside
S1,C1,VAL,50.0,45.2,36.4,54.5,inside
S1,C2,TRAIN,50.9,57.4,50.9,64.2,inside
S1,C2,VAL,63.6,55.1,45.5,68.2,inside
S1,C4,TRAIN,43.4,44.7,37.7,50.9,inside
S1,C4,VAL,59.1,55.9,45.5,68.2,inside
S2,B0,TRAIN,39.6,37.9,32.1,45.3,inside
S2,B0,VAL,54.5,33.0,22.7,45.5,ABOVE
S2,P3,TRAIN,39.6,37.4,30.2,45.3,inside
S2,P3,VAL,54.5,32.9,22.7,45.5,ABOVE
S2,P4,TRAIN,35.8,38.1,32.1,45.3,inside
S2,P4,VAL,45.5,30.0,18.2,40.9,ABOVE
S2,X2,TRAIN,41.5,43.6,37.7,50.9,inside
S2,X2,VAL,40.9,34.8,22.7,45.5,inside
S2,R2,TRAIN,45.3,39.7,34.0,47.2,inside
S2,R2,VAL,45.5,35.4,27.3,45.5,inside
S2,C1,TRAIN,43.4,43.4,35.8,50.9,inside
S2,C1,VAL,40.9,29.4,18.2,40.9,inside
S2,C2,TRAIN,39.6,37.1,30.2,43.4,inside
S2,C2,VAL,40.9,36.1,27.3,45.5,inside
S2,C4,TRAIN,32.1,27.5,20.8,34.0,inside
S2,C4,VAL,31.8,29.1,18.2,40.9,inside
