population: 616806
  0/616806  rows=0  0.0 min
  25000/616806  rows=18489  0.8 min
  50000/616806  rows=37114  1.4 min
  75000/616806  rows=56705  2.0 min
  100000/616806  rows=75088  2.7 min
  125000/616806  rows=93981  3.3 min
  150000/616806  rows=113350  3.9 min
  175000/616806  rows=132033  4.5 min
  200000/616806  rows=150717  5.1 min
  225000/616806  rows=169566  5.8 min
  250000/616806  rows=188084  6.3 min
  275000/616806  rows=206856  6.9 min
  300000/616806  rows=226671  7.5 min
  325000/616806  rows=245829  8.1 min
  350000/616806  rows=265468  8.7 min
  375000/616806  rows=284677  9.3 min
  400000/616806  rows=303296  9.9 min
  425000/616806  rows=321972  10.5 min
  450000/616806  rows=341885  11.1 min
  475000/616806  rows=362242  11.8 min
  500000/616806  rows=381871  12.4 min
  525000/616806  rows=401594  13.1 min
  550000/616806  rows=421006  13.7 min
  575000/616806  rows=439937  14.4 min
  600000/616806  rows=458146  15.0 min
stats: {'no_bars': 81473, 'few_bars': 30, 'not_red': 283958, 'no_signal': 109546, 'no_next': 147, 'late': 24094, 'emitted': 471924}
rows written: 471924  15.4 min
