month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,6,2,2,33.33333333333333,7,600.1464727959994,-225.77034417390507,564.5393228620944,564.5393228620944,-225.77034417390507
2025-02,8,2,3,25.0,9,574.2663389919995,-161.37595614000006,500.80637858346347,1065.345701445558,-161.37595614000006
2025-03,4,3,0,75.0,5,313.9278917600003,0.0,567.3287776159207,1632.6744790614787,0.0
2025-04,3,1,1,33.33333333333333,4,185.16918000000007,-216.94254628076146,-31.773366280761394,1600.9011127807173,0.0
2025-05,8,3,3,37.5,9,704.9761355708871,-210.1269065571427,998.5873555546298,2599.488468335347,-210.12690655714266
2025-06,8,3,3,37.5,15,290.18712504,-170.17567301571384,478.71236995136366,3078.2008382867107,-262.82263412335686
2025-07,9,2,4,22.22222222222222,9,94.27044295661335,-115.4496634437141,-103.8917614246851,2974.3090768620254,-271.44422242129883
2025-08,4,1,2,25.0,4,157.91378444799992,-95.15629583035704,5.130875641642646,2979.439952503668,-95.15629583035704
2025-09,9,4,4,44.44444444444444,18,868.0533074173463,-124.78120000000034,1560.7570200253513,4540.196972529019,-141.4831237466641
2025-10,8,3,3,37.5,14,1670.1664882056539,-91.77419348821407,2222.7882492047743,6762.985221733794,-132.9348036748802
2025-11,8,3,5,37.5,17,940.1894014000006,-422.60733895999897,464.53366594638027,7227.518887680174,-770.9002469599981
2025-12,11,3,5,27.27272727272727,17,933.8076270039996,-256.7906632380952,771.5544833319077,7999.073371012082,-475.9077866666653
2026-01,8,3,4,37.5,13,1254.686943168,-262.94753527301725,745.4044772251756,8744.477848237259,-295.58222142714175
2026-02,10,3,4,30.0,14,743.3404914580005,-337.6383531424998,951.1899672600964,9695.667815497354,-349.6295743424998
2026-03,10,6,2,60.0,15,1883.048340673333,-75.60023266666656,4189.582986172829,13885.250801670183,-75.60023266666667
2026-04,14,3,7,21.428571428571427,17,497.91561277333363,-203.85846856666666,92.45854205162084,13977.709343721805,-297.52199714618985
2026-05,5,1,3,20.0,6,346.28630834466713,-132.89920121988067,159.12033712478714,14136.829680846591,-136.40444855321357
2026-06,11,4,3,36.36363636363637,16,217.7006121766667,-239.36570079999998,291.8560299379997,14428.685710784592,-239.36570079999998
2026-07,12,5,6,41.66666666666667,20,901.4300261843337,-282.03891333333274,588.6523492037894,15017.33805998838,-515.4667187533305
2026-08,12,3,4,25.0,17,701.0759580729072,-121.16225066666613,647.9696108962432,15665.307670884624,-169.49083866666592
2026-09,4,0,3,0.0,4,0.0,-107.24834999999975,-147.98746599999902,15517.320204884625,-40.73911599999927
