month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,6,2,2,33.33333333333333,7,600.1464727959994,-225.77034417390507,564.5393228620944,564.5393228620944,-225.77034417390507
2025-02,8,2,3,25.0,9,574.2663389919995,-161.37595614000006,500.80637858346347,1065.345701445558,-161.37595614000006
2025-03,4,3,0,75.0,5,313.9278917600003,0.0,567.3287776159207,1632.6744790614787,0.0
2025-04,3,1,0,33.33333333333333,3,374.3874696479999,0.0,374.3874696479999,2007.0619487094787,0.0
2025-05,7,3,3,42.857142857142854,8,664.7593584166675,-210.1269065571427,942.3984006019128,2949.4603493113914,-210.12690655714266
2025-06,8,3,3,37.5,13,237.27505,-170.17567301571384,425.80029491136355,3375.2606442227548,-262.82263412335686
2025-07,9,2,4,22.22222222222222,9,94.27044295661335,-115.4496634437141,-103.8917614246851,3271.3688827980695,-271.44422242129883
2025-08,3,1,1,33.33333333333333,3,157.91378444799992,-95.15629583035704,62.75748861764288,3334.1263714157126,-95.15629583035704
2025-09,9,3,5,33.33333333333333,16,868.0533074173463,-165.581070749333,593.5057020020179,3927.6320734177307,-290.450851162664
2025-10,6,2,3,33.33333333333333,9,1120.3312626113334,-118.31705599999944,929.2610399324537,4856.893113350185,-224.6252596748801
2025-11,7,2,4,28.57142857142857,16,324.3456236000006,-422.60733895999897,-253.936951916598,4602.956161433587,-422.60733895999897
2025-12,10,2,5,20.0,16,550.5376784000009,-322.0535581399996,-326.50936892542586,4276.446792508161,-432.1516325333324
2026-01,7,2,4,28.57142857142857,13,1254.686943168,-262.94753527301725,817.2716936011768,5093.718486109337,-285.0444838404746
2026-02,11,4,4,36.36363636363637,15,743.3404914580005,-248.9891864485714,1016.0278836335965,6109.746369742934,-231.7204953425
2026-03,8,5,2,62.5,9,1883.048340673333,-41.233373999999095,4122.548578085495,10232.294947828428,-76.18719149999924
2026-04,13,2,7,15.384615384615385,15,497.91561277333363,-165.29308597285717,110.5493525315168,10342.844300359944,-263.6378598929607
2026-05,6,2,3,33.33333333333333,7,346.28630834466713,-132.89920121988067,200.72776744595382,10543.572067805899,-132.89920121988067
2026-06,11,4,3,36.36363636363637,16,217.7006121766667,-239.36570079999998,291.8560299379997,10835.4280977439,-239.36570079999998
2026-07,12,5,6,41.66666666666667,20,901.4300261843337,-282.03891333333274,588.6523492037894,11424.080446947688,-515.4667187533305
2026-08,12,3,4,25.0,17,701.0759580729072,-121.16225066666613,647.9696108962432,12072.050057843931,-169.49083866666592
2026-09,4,0,3,0.0,4,0.0,-107.24834999999975,-147.98746599999902,11924.062591843933,-40.73911599999927
