cell,arm,split,picks,fills,pnl,r_per_pick,t,mdd,worst_mo,red_mo,n_mo,d_pnl,d_mean_day,t_day,n_days
M0,meas_cost,TRAIN,84,70,5692.0,0.5327,2.96,-489.0,72.0,0,9,0.0,0.0,,
M0,meas_cost,VAL,53,40,3931.0,0.4828,1.66,-470.0,172.0,0,5,0.0,0.0,,
M0,asis,TRAIN,84,70,5029.0,0.4868,2.76,-528.0,-25.0,1,9,0.0,0.0,,
M0,asis,VAL,53,40,6386.0,0.862,2.23,-489.0,159.0,0,5,0.0,0.0,,
M1 flags=0,meas_cost,TRAIN,107,83,6518.0,0.3848,2.46,-756.0,-90.0,3,9,826.0,11.8,0.45,70.0
M1 flags=0,meas_cost,VAL,65,50,3737.0,0.3632,1.51,-453.0,39.0,0,5,-194.0,-4.05,-0.49,48.0
M1 flags=0,asis,TRAIN,107,83,6366.0,0.3841,2.51,-771.0,-104.0,2,9,1337.0,19.11,0.73,70.0
M1 flags=0,asis,VAL,65,50,6138.0,0.6657,2.08,-434.0,92.0,0,5,-249.0,-5.18,-0.62,48.0
M4 flags=0,meas_cost,TRAIN,2,2,546.0,1.6264,0.95,0.0,-10.0,1,2,-5146.0,-97.09,-2.0,53.0
M4 flags=0,meas_cost,VAL,3,3,1128.0,2.5617,0.8,-119.0,-97.0,2,3,-2803.0,-66.74,-1.26,42.0
M4 flags=0,asis,TRAIN,2,2,530.0,1.5685,0.92,0.0,-17.0,1,2,-4499.0,-84.89,-1.76,53.0
M4 flags=0,asis,VAL,3,3,1138.0,2.5799,0.8,-116.0,-100.0,2,3,-5248.0,-124.96,-1.89,42.0
M1 flags=1,meas_cost,TRAIN,108,85,6892.0,0.4148,2.6,-756.0,-90.0,2,9,1199.0,17.13,0.69,70.0
M1 flags=1,meas_cost,VAL,64,49,3829.0,0.3818,1.57,-453.0,39.0,0,5,-102.0,-2.08,-0.25,49.0
M1 flags=1,asis,TRAIN,108,85,6800.0,0.419,2.68,-771.0,-104.0,1,9,1771.0,25.3,1.01,70.0
M1 flags=1,asis,VAL,64,49,6220.0,0.6874,2.12,-377.0,156.0,0,5,-166.0,-3.4,-0.41,49.0
M4 flags=1,meas_cost,TRAIN,2,2,546.0,1.6264,0.95,0.0,-10.0,1,2,-5146.0,-97.09,-2.0,53.0
M4 flags=1,meas_cost,VAL,3,2,-119.0,-0.4188,-1.2,-22.0,-97.0,2,2,-4050.0,-96.43,-1.61,42.0
M4 flags=1,asis,TRAIN,2,2,530.0,1.5685,0.92,0.0,-17.0,1,2,-4499.0,-84.89,-1.76,53.0
M4 flags=1,asis,VAL,3,2,-116.0,-0.4191,-1.14,-16.0,-100.0,2,2,-6503.0,-154.83,-2.17,42.0
M2 flags=0,meas_cost,TRAIN,106,84,4606.0,0.3209,2.11,-721.0,-263.0,3,9,-1087.0,-15.75,-0.97,69.0
M2 flags=0,meas_cost,VAL,59,44,3040.0,0.3184,1.26,-780.0,-351.0,1,5,-891.0,-18.96,-1.16,47.0
M2 flags=0,asis,TRAIN,106,84,4427.0,0.3177,2.14,-660.0,-306.0,2,9,-602.0,-8.73,-0.53,69.0
M2 flags=0,asis,VAL,59,44,5476.0,0.6555,1.91,-609.0,159.0,0,5,-910.0,-19.37,-1.18,47.0
M2 flags=1,meas_cost,TRAIN,103,82,5946.0,0.3997,2.49,-819.0,-90.0,2,9,254.0,3.85,0.17,66.0
M2 flags=1,meas_cost,VAL,58,44,2590.0,0.2757,1.06,-1056.0,-490.0,1,5,-1341.0,-29.15,-1.75,46.0
M2 flags=1,asis,TRAIN,103,82,5384.0,0.3713,2.36,-844.0,-104.0,1,9,355.0,5.38,0.24,66.0
M2 flags=1,asis,VAL,58,44,4978.0,0.614,1.74,-900.0,36.0,0,5,-1408.0,-30.61,-1.83,46.0
M3 flags=0,meas_cost,TRAIN,100,79,5449.0,0.3839,2.34,-760.0,-90.0,1,9,-243.0,-3.57,-0.16,68.0
M3 flags=0,meas_cost,VAL,55,41,2779.0,0.2959,1.37,-675.0,-471.0,1,5,-1152.0,-24.51,-0.76,47.0
M3 flags=0,asis,TRAIN,100,79,5178.0,0.3724,2.31,-879.0,-104.0,1,9,149.0,2.19,0.1,68.0
M3 flags=0,asis,VAL,55,41,5122.0,0.644,1.95,-715.0,-502.0,1,5,-1264.0,-26.9,-0.83,47.0
M3 flags=1,meas_cost,TRAIN,107,85,6394.0,0.4006,2.55,-560.0,-90.0,1,9,702.0,9.89,0.39,71.0
M3 flags=1,meas_cost,VAL,61,45,2427.0,0.2278,1.15,-675.0,-471.0,1,5,-1504.0,-32.7,-1.0,46.0
M3 flags=1,asis,TRAIN,107,85,6075.0,0.386,2.5,-713.0,-104.0,1,9,1046.0,14.73,0.59,71.0
M3 flags=1,asis,VAL,61,45,4748.0,0.5391,1.79,-715.0,-502.0,1,5,-1638.0,-35.61,-1.09,46.0
