model,flags,depth,trees,picks,fills,pnl,r_per_pick,t,mdd,worst_mo,red_mo,n_mo
m1,0,3,200,116,93,6446.0,0.3511,2.33,-756.0,-90.0,3,9
m1,0,3,500,110,87,4871.0,0.3004,2.0,-819.0,-90.0,3,9
m1,0,5,200,107,83,6518.0,0.3848,2.46,-756.0,-90.0,3,9
m1,0,5,500,108,83,4625.0,0.2554,1.83,-819.0,-125.0,3,9
m1,1,3,200,112,90,6513.0,0.3766,2.42,-756.0,-90.0,3,9
m1,1,3,500,104,80,3728.0,0.2427,1.7,-1068.0,-498.0,3,9
m1,1,5,200,108,85,6892.0,0.4148,2.6,-756.0,-90.0,2,9
m1,1,5,500,107,83,5086.0,0.2954,2.12,-819.0,-90.0,2,9
m2,0,3,200,103,84,4177.0,0.2852,1.94,-916.0,-458.0,3,9
m2,0,3,500,106,84,4606.0,0.3209,2.11,-721.0,-263.0,3,9
m2,0,5,200,105,80,4452.0,0.3204,2.14,-916.0,-458.0,3,9
m2,0,5,500,108,83,4006.0,0.2555,1.84,-819.0,-208.0,3,9
m2,1,3,200,107,86,5163.0,0.3293,2.14,-819.0,-90.0,2,9
m2,1,3,500,104,83,3858.0,0.2638,1.81,-916.0,-458.0,3,9
m2,1,5,200,103,82,5946.0,0.3997,2.49,-819.0,-90.0,2,9
m2,1,5,500,105,84,4692.0,0.3213,2.11,-819.0,-299.0,3,9
m3,0,3,200,92,71,3164.0,0.2231,1.53,-879.0,-171.0,2,9
m3,0,3,500,100,78,5306.0,0.3532,2.25,-1088.0,-208.0,2,9
m3,0,5,200,100,79,5449.0,0.3839,2.34,-760.0,-90.0,1,9
m3,0,5,500,104,79,3533.0,0.2789,1.91,-1052.0,-325.0,3,9
m3,1,3,200,95,72,3643.0,0.2602,1.81,-582.0,-171.0,2,9
m3,1,3,500,101,79,4077.0,0.2901,1.89,-1177.0,-299.0,2,9
m3,1,5,200,107,85,6394.0,0.4006,2.55,-560.0,-90.0,1,9
m3,1,5,500,104,81,4383.0,0.3118,2.06,-733.0,-299.0,2,9
