symbol,date,close_raw,close_adj,cum_factor,rel_err,ohlc_err,last_f
NKSH,2023-11-16,27.43,23.52,0.857455148796062,2.3233898978030003e-07,0.00012109236,1.0
TIPX,2025-11-06,19.18,18.34,0.9562034847264351,9.282292572541719e-07,4.7748326e-05,1.0
NEGG,2025-06-20,11.38,11.38,1.0,0.0,0.0,1.0
IFF,2019-12-06,142.04,118.31,0.8329355121718905,1.3270060554843252e-06,5.7319427e-05,1.0
BILI,2023-02-16,22.75,22.75,1.0,0.0,0.0,1.0
DSWL,2017-03-08,1.81,1.011,0.5585607361378107,5.080855364733482e-06,0.00073662313,1.0
PHO,2019-05-31,33.15,31.95,0.9637984315013924,2.544226186391679e-06,0.00016363742,1.0
NANC,2023-08-02,28.34,27.97,0.9869425608035003,1.679999605487012e-06,0.00023402336,1.0
UTES,2024-08-22,56.22,54.61,0.9713630784649303,6.014776120519183e-07,8.891339e-05,1.0
CKX,2022-04-07,11.799,11.799,1.0,0.0,0.0,1.0
OGIG,2025-11-07,55.065,55.02,0.9991830296578762,2.1261683221280636e-07,8.1963764e-05,1.0
RXD,2021-12-30,11.7461,20.77,1.7682442731960506,1.2348385963066889e-06,0.00015101334,1.0
MCFT,2025-07-02,20.23,20.23,1.0,0.0,0.0,1.0
QQXT,2026-03-13,98.7644,98.37,0.996006767036285,4.7539740695787655e-08,3.8479444e-05,1.0
SLF,2017-07-13,36.96,25.18,0.6812765194428883,8.248726633548678e-07,0.00019011485,1.0
LNC,2019-07-18,66.13,47.59,0.7196419256944301,1.7142880973508978e-06,0.00018171866,1.0
PSCE,2026-06-15,58.0187,57.59,0.9926110788044269,6.761337562853362e-08,9.2894785e-05,1.0
AVIV,2023-10-24,46.33,41.99,0.9063220605956304,2.356550179351983e-06,0.00017815808,1.0
DWX,2022-09-09,33.04,27.76,0.8401941325027481,5.287546665557823e-07,0.00012670162,1.0
CPHI,2020-08-10,0.504058,252.03,500.01077596300723,1.759569861565067e-05,4.0283044e-06,1.0
IBIL,2026-02-24,25.8,25.03,0.9701550482551219,4.721665571058162e-08,7.126838e-05,1.0
DOGZ,2019-01-31,4.05,81.0,20.00063488109887,3.1791151466426316e-05,0.0,1.0
AGGY,2016-11-09,50.6701,36.22,0.7148152376789257,6.648610404607065e-06,3.5354875e-05,1.0
SIM,2021-11-05,26.02,26.02,1.0,0.0,0.0,1.0
SHAK,2018-07-31,62.33,62.33,1.0,0.0,0.0,1.0
ADC,2026-07-10,77.95,77.4,0.9929444068710662,1.545154343669439e-07,2.3651106e-05,1.0
ZIVO,2023-06-06,2.75,16.5,6.000004421968504,7.369947507492836e-07,0.00024867058,1.0
GASS,2017-07-31,3.0,3.0,1.0,0.0,0.0,1.0
PSCC,2022-04-28,103.94,32.09,0.3087360633995427,8.423468557424997e-07,0.0002840883,1.0
MTLS,2024-04-15,4.97,4.97,1.0,0.0,0.0,1.0
EWH,2016-04-14,20.17,14.03,0.6955841286484604,4.832862735393753e-06,0.00049597165,1.0
BITI,2023-01-20,28.68,108.69,3.7897554708924344,1.7077958062991068e-06,2.8876353e-05,1.0
