month,scope,listed,absent_universe,absent_broker,pct_absent_universe,pct_absent_broker
2024-07,all_types,11180,3159,2692,28.26,24.08
2024-07,common_stock,4842,1016,889,20.98,18.36
2024-08,all_types,11155,3069,2598,27.51,23.29
2024-08,common_stock,4815,977,853,20.29,17.72
2024-09,all_types,11243,3031,2567,26.96,22.83
2024-09,common_stock,4802,946,830,19.7,17.28
2024-10,all_types,11269,2940,2477,26.09,21.98
2024-10,common_stock,4782,898,791,18.78,16.54
2024-11,all_types,11254,2852,2385,25.34,21.19
2024-11,common_stock,4761,862,761,18.11,15.98
2024-12,all_types,11299,2764,2287,24.46,20.24
2024-12,common_stock,4736,825,726,17.42,15.33
2025-01,all_types,11276,2626,2152,23.29,19.08
2025-01,common_stock,4711,780,688,16.56,14.6
2025-02,all_types,11328,2559,2075,22.59,18.32
2025-02,common_stock,4705,751,660,15.96,14.03
2025-03,all_types,11378,2498,2012,21.95,17.68
2025-03,common_stock,4684,709,624,15.14,13.32
2025-04,all_types,11434,2444,1956,21.37,17.11
2025-04,common_stock,4667,671,593,14.38,12.71
2025-05,all_types,11461,2381,1879,20.77,16.39
2025-05,common_stock,4646,627,556,13.5,11.97
2025-06,all_types,11592,2354,1835,20.31,15.83
2025-06,common_stock,4644,602,537,12.96,11.56
2025-07,all_types,11738,2346,1806,19.99,15.39
2025-07,common_stock,4658,581,518,12.47,11.12
2025-08,all_types,11831,2313,1754,19.55,14.83
2025-08,common_stock,4643,536,476,11.54,10.25
2025-09,all_types,11936,2259,1677,18.93,14.05
2025-09,common_stock,4627,489,431,10.57,9.31
2025-10,all_types,12051,2197,1588,18.23,13.18
2025-10,common_stock,4618,460,402,9.96,8.71
2025-11,all_types,12140,2136,1509,17.59,12.43
2025-11,common_stock,4615,428,373,9.27,8.08
2025-12,all_types,12280,2109,1457,17.17,11.86
2025-12,common_stock,4616,402,347,8.71,7.52
2026-01,all_types,12346,2036,1360,16.49,11.02
2026-01,common_stock,4614,362,313,7.85,6.78
2026-02,all_types,12490,2020,1309,16.17,10.48
2026-02,common_stock,4613,319,275,6.92,5.96
2026-03,all_types,12570,1964,1226,15.62,9.75
2026-03,common_stock,4590,271,230,5.9,5.01
2026-04,all_types,12661,1900,1138,15.01,8.99
2026-04,common_stock,4599,243,205,5.28,4.46
2026-05,all_types,12818,1840,1057,14.35,8.25
2026-05,common_stock,4606,206,173,4.47,3.76
2026-06,all_types,13068,1794,978,13.73,7.48
2026-06,common_stock,4605,171,139,3.71,3.02
2026-07,all_types,13214,1706,848,12.91,6.42
2026-07,common_stock,4601,130,101,2.83,2.2
2026-08,all_types,13321,1610,724,12.09,5.44
2026-08,common_stock,4598,92,68,2.0,1.48
2026-09,all_types,13290,1490,596,11.21,4.48
2026-09,common_stock,4578,62,43,1.35,0.94
