cell,split,kind,H,n_trades,raw_bps,raw_t,bench,n_months,mean_bps,t,pct_pos,ex_jan_bps,mde_bps,ann_pct,mdd_pct,gross_bps_per_trade,alpha_bps_per_trade,net_alpha_bps_per_trade,honest_cost_bps,breakeven_bps,breakeven_x_cost,net_ex_top5_bps,net_wincap3x_bps,long_leg_share_pct,book_trades,book_trades_per_wk,book_usd_per_month,boot_p_train,sidak_p_8cells
F2-LS-20,TRAIN,L-S,20,4466,23.40308554803131,0.5399343431263097,self (L-S),71,23.40308554803131,0.5399343431263097,56.33802816901409,4.915512001576371,86.68863481631323,2.8448022429210074,-17.450151107727805,175.3868432940631,28.19900985175676,26.853302277907417,1.3457075,28.19900985175676,20.95478334092289,-176.308656916243,-69.98306984967438,90.77919792397032,1226,3.916932907348243,123.6242139570332,0.6056,0.999414542666818
F2-LS-20,VAL,L-S,20,1880,210.62476829840557,1.8588998213473695,self (L-S),24,210.62476829840557,1.8588998213473695,70.83333333333334,250.86021683057425,226.61228526638982,28.418560801376238,-11.547218883818712,102.52056312359115,34.68335715350936,33.41120720974199,1.2721499,34.68335715350936,27.263576875334792,-175.4700848971176,-49.938588620239095,76.24473042548622,412,3.9561042524005487,-38.50451638639497,0.6056,0.999414542666818
F2-LO-20,TRAIN,long-only,20,4466,170.94571289584303,1.9297193051760844,F2-MKT-20,71,21.245133349963467,0.6197942933173172,52.112676056338024,-4.466635072316409,68.55543388840645,2.5794174499260247,-14.31261646647376,175.3868432940631,28.19900985175676,26.853302277907417,1.3457075,28.19900985175676,20.95478334092289,-176.308656916243,-69.98306984967438,90.77919792397032,1226,3.916932907348243,123.6242139570332,0.54,0.9979952387768064
F2-LO-20,VAL,long-only,20,1880,166.34723600981127,0.7433790416901951,F2-MKT-20,24,160.59028679842433,1.6470693275809012,62.5,172.02395073051488,195.0012474997491,21.067415670229074,-7.3328807376754295,102.52056312359115,34.68335715350936,33.41120720974199,1.2721499,34.68335715350936,27.263576875334792,-175.4700848971176,-49.938588620239095,76.24473042548622,412,3.9561042524005487,-38.50451638639497,0.54,0.9979952387768064
F2-LS-40,TRAIN,L-S,40,4466,59.965407562509014,1.6743201755083454,self (L-S),71,59.965407562509014,1.6743201755083454,57.74647887323944,77.97665167475091,71.62955859897315,7.437983422536076,-14.423656021478436,298.09817291613103,44.488231635799956,43.08327589474364,1.4049557,44.488231635799956,31.66521920868541,-237.69790835559985,-89.56051841627226,81.89002930575361,678,2.1661341853035143,350.46082326961573,0.089,0.5255974488970874
F2-LS-40,VAL,L-S,40,1880,3.751308829745374,0.07451126317926379,self (L-S),24,3.751308829745374,0.07451126317926379,54.166666666666664,23.049163339182517,100.69105447106014,0.45108699490541415,-9.001194013708547,-121.15840858940557,-103.50129339581122,-104.83598360049807,1.3346903,-103.50129339581122,-77.5470465937308,-404.23343023908876,-230.65778353807167,-33.81417201137541,232,2.2277091906721536,43.966933374456474,0.089,0.5255974488970874
F2-LO-40,TRAIN,long-only,40,4466,208.60171632474683,2.5877469661760437,F2-MKT-40,71,49.10568982625325,2.2416259442868807,61.97183098591549,43.652699256309695,43.81256377890027,6.054467190790458,-7.68910882153615,298.09817291613103,44.488231635799956,43.08327589474364,1.4049557,44.488231635799956,31.66521920868541,-237.69790835559985,-89.56051841627226,81.89002930575361,678,2.1661341853035143,350.46082326961573,0.0262,0.19135452313226342
F2-LO-40,VAL,long-only,40,1880,-10.091045446249392,-0.054581072361385756,F2-MKT-40,24,-1.2684740203680136,-0.028592691893164313,50.0,5.3974181799741485,88.72714923852757,-0.1521107315951009,-7.538781075197898,-121.15840858940557,-103.50129339581122,-104.83598360049807,1.3346903,-103.50129339581122,-77.5470465937308,-404.23343023908876,-230.65778353807167,-33.81417201137541,232,2.2277091906721536,43.966933374456474,0.0262,0.19135452313226342
F2-LS-60,TRAIN,L-S,60,4466,51.21018187741291,1.8844461327614752,self (L-S),71,51.21018187741291,1.8844461327614752,57.74647887323944,68.1430751976011,54.35038018557665,6.321294561135105,-13.012274843304628,466.6311508997301,67.14746976641543,65.6719509663362,1.4755188,67.14746976641543,45.50770124701672,-310.9412261329909,-115.80368513590324,92.58564090384968,482,1.5399361022364217,259.7088470187694,0.056,0.36936807243207304
F2-LS-60,VAL,L-S,60,1880,-30.46813105203101,-0.6485475948048312,self (L-S),24,-30.46813105203101,-0.6485475948048312,50.0,0.9259218926139183,93.95804192659091,-3.5955254617877297,-11.738284031830704,10.073710810520982,-148.02170360881428,-149.42845225849382,1.4067487,-148.02170360881428,-105.22256648347032,-552.3354597438015,-338.952453214482,,161,1.5459533607681757,-986.5255713513744,0.056,0.36936807243207304
