cell,split,conv,n_trades,raw_bps,mean_bps,t,nw_t,pct_pos,ex_jan_bps,mde_bps,mdd_pct,worst_bps,n_months,ex_top_1_bps,ex_top_1_t,ex_top_5_bps,ex_top_5_t,lls,honest_cost_bps,ends_mid_hold,book_n,book_usd_mo,book_raw_usd_mo,book_t,book_mde_usd,book_pct_pos,book_worst,book_mdd_usd,tr_wk,boot_p
F4-LO,TRAIN,sealed,41722,215.3912931705438,69.44891953560295,1.5810425318686134,1.3846406118635224,54.166666666666664,55.380619697401656,87.85205727960042,-13.209084091072787,-767.3045921617072,72,-58.26051550007757,-1.610434186710602,-306.1913833320265,-7.193044723172358,,0.43019683010449294,0,6180,616.3899621946948,1606.1610127175177,0.9714847738911119,1268.9647409003703,54.166666666666664,-9172.923977605791,-19181.36431550048,19.7444089456869,0.1863627274545091
F4-LO,VAL,sealed,16883,8.97550839506947,3.4945140870673574,0.04090587220842846,0.04268769690124686,58.333333333333336,52.48552977645532,170.85635379007172,-13.375623489777755,-1190.8719448433346,24,-128.4662010353299,-1.7378562825138433,-377.80418334451593,-5.915306445771619,,0.42514041481340104,0,2060,-578.3967838881684,-530.7095209378059,-0.5079583076131562,2277.339597440567,50.0,-11299.056616750739,-23286.51301277098,19.780521262002743,
F4-LO,VAL,complete,17056,3.3581137127691267,1.4641684693110966,0.017196804693714596,0.018023169948129678,58.333333333333336,50.27060728435759,170.28378182910313,-13.375623489777755,-1190.8719448433346,24,-131.7458606301843,-1.796804331649099,-383.17026988425215,-6.065610683084674,,0.42508234609852513,0,2080,-485.61759703573733,-459.6187566236278,-0.41958282967596,2314.76391639179,50.0,-11299.056616750739,-23286.51301277098,19.972565157750342,
F3-LO-12-1,TRAIN,sealed,7825,196.58567383668054,76.47484056829711,1.3678373700245867,1.5230741938185035,56.896551724137936,35.48846749708771,111.8186156398439,-14.40016946305256,-996.113799419952,58,12.893499608200012,0.2606651912932417,-113.71304130475268,-2.414768905534129,,0.4273001354138427,0,1140,585.4642716166185,1385.2006376408422,0.7457840106238217,1570.0638878725717,51.724137931034484,-12328.036266877374,-21360.278201622317,3.642172523961661,0.10817836432713457
F3-LO-12-1,VAL,sealed,3744,-8.870290675503842,5.356210776292411,0.07275093282354687,0.08142262479956987,58.333333333333336,61.11094369166691,147.24789273241583,-16.36554471822932,-705.4662449132687,24,-39.05336545262678,-0.5775335354018484,-134.94012691489408,-2.118538601978997,,0.42240771261888205,0,460,530.5751891482576,405.06216313060867,0.5221587717653042,2032.237004673882,58.333333333333336,-8782.067334680836,-12584.562259955936,4.4170096021947876,
F3-LO-12-1,VAL,complete,3901,18.78588772897862,3.2329770327547043,0.043898512300364526,0.04935795941304234,54.166666666666664,58.79468869871668,147.29323903433774,-16.36554471822932,-705.4662449132687,24,-43.04931190680196,-0.6360005912669603,-143.75601879315818,-2.253699006124879,,0.42250616682432585,0,480,625.4491598457281,696.7889408815158,0.6102264902849028,2049.8918673744174,58.333333333333336,-8782.067334680836,-12584.562259955936,4.609053497942387,
F3-LS-12-1,TRAIN,sealed,15384,36.379528054758815,36.379528054758815,0.4160245522577199,0.4833976153794307,44.827586206896555,0.07605041957494098,174.89125513064593,-37.71378523462571,-1663.6608336508384,58,-74.4628210324427,-0.8997276868298524,-314.20632829331,-3.815931869182341,1.7748656465059434,1.6579319678840474,0,1140,585.4642716166185,1385.2006376408422,0.7457840106238217,1570.0638878725717,51.724137931034484,-12328.036266877374,-21360.278201622317,3.642172523961661,0.5976804639072185
F3-LS-12-1,VAL,sealed,7261,67.28642942042794,67.28642942042794,0.5462734098489918,0.5477316864542183,66.66666666666666,130.24513012795447,246.34707898020574,-24.924680794032994,-1554.8137051373933,24,-27.05051201270315,-0.23818915174644004,-250.03268494801338,-2.4103448832729644,0.1619638296234181,1.6299122556681451,0,460,530.5751891482576,405.06216313060867,0.5221587717653042,2032.237004673882,58.333333333333336,-8782.067334680836,-12584.562259955936,4.4170096021947876,
F3-LS-12-1,VAL,complete,7569,44.53813461589309,44.53813461589309,0.349529698155711,0.35451388420867236,66.66666666666666,105.42880852300736,254.84606802167593,-24.924680794032994,-1554.8137051373933,24,-52.882013962492344,-0.4512224457263629,-282.95841474889767,-2.630327517567158,0.1820086137306582,1.6284742944708885,0,480,625.4491598457281,696.7889408815158,0.6102264902849028,2049.8918673744174,58.333333333333336,-8782.067334680836,-12584.562259955936,4.609053497942387,
F3-LO-6-1,TRAIN,sealed,8668,209.68747228090436,51.37689497261644,0.9522082501153313,1.0108960285524482,62.5,59.844572773605634,107.91104774904792,-20.465214954150092,-1596.614376334904,64,-13.159300486382323,-0.2730277623115496,-141.06878360782355,-3.127265408672671,,0.4288335571864137,0,1260,832.9102421226024,1870.8920550548614,1.0087331034058575,1651.3986490785087,59.375,-14580.500499902046,-30885.420355350227,4.02555910543131,0.3101379724055189
