year,month,excess,cell,split,variant
2016,2,0.03282253177211003,F2-LO-60,TRAIN,sealed
2016,3,-0.004376244739233259,F2-LO-60,TRAIN,sealed
2016,4,0.00016408974180670555,F2-LO-60,TRAIN,sealed
2016,5,-0.00010345925398591582,F2-LO-60,TRAIN,sealed
2016,6,0.019018564191648046,F2-LO-60,TRAIN,sealed
2016,7,0.01891072803919225,F2-LO-60,TRAIN,sealed
2016,8,0.016952673732462786,F2-LO-60,TRAIN,sealed
2016,9,0.013776473547217893,F2-LO-60,TRAIN,sealed
2016,10,-0.03880653847056481,F2-LO-60,TRAIN,sealed
2016,11,0.028113644224760925,F2-LO-60,TRAIN,sealed
2016,12,-0.024720393236825844,F2-LO-60,TRAIN,sealed
2017,1,0.0014798705530112422,F2-LO-60,TRAIN,sealed
2017,2,0.005944138791236453,F2-LO-60,TRAIN,sealed
2017,3,0.015589583125285689,F2-LO-60,TRAIN,sealed
2017,4,-0.005365689997365974,F2-LO-60,TRAIN,sealed
2017,5,0.004921496992192798,F2-LO-60,TRAIN,sealed
2017,6,0.011902643129868551,F2-LO-60,TRAIN,sealed
2017,7,-0.005633945090417258,F2-LO-60,TRAIN,sealed
2017,8,0.01568734461459864,F2-LO-60,TRAIN,sealed
2017,9,0.025914722394378087,F2-LO-60,TRAIN,sealed
2017,10,0.010554139017327824,F2-LO-60,TRAIN,sealed
2017,11,0.007686882275343532,F2-LO-60,TRAIN,sealed
2017,12,0.006556503735913655,F2-LO-60,TRAIN,sealed
2018,1,-0.00297607842749259,F2-LO-60,TRAIN,sealed
2018,2,0.01149801942521278,F2-LO-60,TRAIN,sealed
2018,3,0.0036652071886402737,F2-LO-60,TRAIN,sealed
2018,4,-0.0013824809979545716,F2-LO-60,TRAIN,sealed
2018,5,0.035093389247188966,F2-LO-60,TRAIN,sealed
2018,6,0.012802152362419328,F2-LO-60,TRAIN,sealed
2018,7,-0.0023933777880968954,F2-LO-60,TRAIN,sealed
2018,8,0.020046738616476656,F2-LO-60,TRAIN,sealed
2018,9,0.015406613248675871,F2-LO-60,TRAIN,sealed
2018,10,-0.03281583472482663,F2-LO-60,TRAIN,sealed
2018,11,-0.021577768600271607,F2-LO-60,TRAIN,sealed
2018,12,-0.002613537316108472,F2-LO-60,TRAIN,sealed
2019,1,0.007101608965838002,F2-LO-60,TRAIN,sealed
2019,2,0.015048245116108472,F2-LO-60,TRAIN,sealed
2019,3,-0.007367086779460741,F2-LO-60,TRAIN,sealed
2019,4,-0.008050377915552964,F2-LO-60,TRAIN,sealed
2019,5,-0.019195526269440544,F2-LO-60,TRAIN,sealed
2019,6,0.02297915633050307,F2-LO-60,TRAIN,sealed
2019,7,0.0037057658527999138,F2-LO-60,TRAIN,sealed
2019,8,0.0028113455678728805,F2-LO-60,TRAIN,sealed
2019,9,-0.015975658060271236,F2-LO-60,TRAIN,sealed
2019,10,0.0013244523051489931,F2-LO-60,TRAIN,sealed
2019,11,-0.012441484678035408,F2-LO-60,TRAIN,sealed
2019,12,-0.0023741377940951214,F2-LO-60,TRAIN,sealed
2020,1,-0.020461935486939642,F2-LO-60,TRAIN,sealed
2020,2,-0.013148935516120508,F2-LO-60,TRAIN,sealed
2020,3,-0.016817732773300675,F2-LO-60,TRAIN,sealed
2020,4,0.013969471889828444,F2-LO-60,TRAIN,sealed
2020,5,0.035106100613580216,F2-LO-60,TRAIN,sealed
2020,6,0.044542760796889125,F2-LO-60,TRAIN,sealed
2020,7,0.025707953530542227,F2-LO-60,TRAIN,sealed
2020,8,0.024392892908301045,F2-LO-60,TRAIN,sealed
2020,9,0.004281504083669674,F2-LO-60,TRAIN,sealed
2020,10,-0.00032200214904731794,F2-LO-60,TRAIN,sealed
2020,11,0.03053363994107694,F2-LO-60,TRAIN,sealed
2020,12,0.019416664096773673,F2-LO-60,TRAIN,sealed
2021,1,0.0438509653064143,F2-LO-60,TRAIN,sealed
2021,2,-0.008485597099852304,F2-LO-60,TRAIN,sealed
2021,3,-0.024915690150885572,F2-LO-60,TRAIN,sealed
2021,4,-0.021847474987326088,F2-LO-60,TRAIN,sealed
2021,5,0.011550049395470552,F2-LO-60,TRAIN,sealed
2021,6,0.015104793974401565,F2-LO-60,TRAIN,sealed
2021,7,-0.009393212161742492,F2-LO-60,TRAIN,sealed
2021,8,0.028052633295217344,F2-LO-60,TRAIN,sealed
2021,9,-0.013462917387890516,F2-LO-60,TRAIN,sealed
2021,10,0.004937381234055849,F2-LO-60,TRAIN,sealed
2021,11,-0.004796083532689566,F2-LO-60,TRAIN,sealed
2021,12,-0.02114858153652066,F2-LO-60,TRAIN,sealed
2022,1,-0.05460484714978553,F2-LO-60,TRAIN,sealed
2022,2,-0.012564718840772482,F2-LO-60,TRAIN,sealed
2022,3,0.05641239693645539,F2-LO-60,TRAIN,sealed
2017,5,0.005425443975816346,A1-b,TRAIN,sealed
2017,6,0.0047890459430612875,A1-b,TRAIN,sealed
2017,7,0.0062010725210021045,A1-b,TRAIN,sealed
2017,8,-0.11490320905302387,A1-b,TRAIN,sealed
2017,9,-0.05309180109085254,A1-b,TRAIN,sealed
2017,10,0.10078359737323517,A1-b,TRAIN,sealed
2017,11,-0.12253021262614605,A1-b,TRAIN,sealed
2017,12,0.08965587506843309,A1-b,TRAIN,sealed
2018,1,-0.004894458301117677,A1-b,TRAIN,sealed
2018,2,0.013636329111518908,A1-b,TRAIN,sealed
2018,3,0.03149561060661932,A1-b,TRAIN,sealed
2018,4,-0.0017311128447193846,A1-b,TRAIN,sealed
2018,5,-0.011573042552198709,A1-b,TRAIN,sealed
2018,6,0.002999616810115624,A1-b,TRAIN,sealed
2018,7,0.10884513544097085,A1-b,TRAIN,sealed
2018,8,0.036225604359360064,A1-b,TRAIN,sealed
2018,9,-0.055912460557731136,A1-b,TRAIN,sealed
2018,10,-0.046922874723684616,A1-b,TRAIN,sealed
2018,11,-0.01584545676614213,A1-b,TRAIN,sealed
2018,12,0.08966175280473543,A1-b,TRAIN,sealed
2019,1,0.037098146925767406,A1-b,TRAIN,sealed
2019,2,0.028364483571180044,A1-b,TRAIN,sealed
2019,3,0.08624002814969578,A1-b,TRAIN,sealed
2019,4,-0.033624685502767315,A1-b,TRAIN,sealed
2019,5,0.004737898051091927,A1-b,TRAIN,sealed
2019,6,0.007622330584289516,A1-b,TRAIN,sealed
2019,7,0.0062613781055487205,A1-b,TRAIN,sealed
2019,8,0.0352664388608539,A1-b,TRAIN,sealed
2019,9,0.10142248784587071,A1-b,TRAIN,sealed
2019,10,-0.02556959440509532,A1-b,TRAIN,sealed
2019,11,0.05468709867555288,A1-b,TRAIN,sealed
2019,12,-0.004730667818435563,A1-b,TRAIN,sealed
2020,1,0.030948750691250138,A1-b,TRAIN,sealed
2020,2,0.0207367676462904,A1-b,TRAIN,sealed
2020,3,-0.08437397329837415,A1-b,TRAIN,sealed
2020,4,-0.0787553420510716,A1-b,TRAIN,sealed
2020,5,0.14800293312730872,A1-b,TRAIN,sealed
2020,6,0.021632031381793704,A1-b,TRAIN,sealed
2020,7,0.029817378466138633,A1-b,TRAIN,sealed
2020,8,0.04987149101705235,A1-b,TRAIN,sealed
2020,9,0.05141518350037777,A1-b,TRAIN,sealed
2020,10,0.005729535002613084,A1-b,TRAIN,sealed
2020,11,0.1180635963027612,A1-b,TRAIN,sealed
2020,12,-0.025368202433470266,A1-b,TRAIN,sealed
2021,1,-0.05862800109848143,A1-b,TRAIN,sealed
2021,2,-0.09184526879427768,A1-b,TRAIN,sealed
2021,3,0.011969552321667187,A1-b,TRAIN,sealed
2021,4,-0.025428892836383277,A1-b,TRAIN,sealed
2021,5,-0.0004523336205308759,A1-b,TRAIN,sealed
2021,6,0.08696786689713742,A1-b,TRAIN,sealed
2021,7,-0.014976390116225868,A1-b,TRAIN,sealed
2021,8,0.04907014879191174,A1-b,TRAIN,sealed
2021,9,0.07716236613865968,A1-b,TRAIN,sealed
2021,10,0.07192211857118935,A1-b,TRAIN,sealed
2021,11,-0.018922128730733623,A1-b,TRAIN,sealed
2021,12,0.04122093585700726,A1-b,TRAIN,sealed
2022,1,-0.03942383760684676,A1-b,TRAIN,sealed
2022,1,-0.06982343786084033,F2-LO-60,VAL,sealed
2022,2,0.034691223377292024,F2-LO-60,VAL,sealed
2022,3,-0.001135635882780761,F2-LO-60,VAL,sealed
2022,4,-0.041397885652699196,F2-LO-60,VAL,sealed
2022,5,-0.02618873530422794,F2-LO-60,VAL,sealed
2022,6,-0.01863010551533073,F2-LO-60,VAL,sealed
2022,7,0.02324961303341877,F2-LO-60,VAL,sealed
2022,8,-0.00041196251581443466,F2-LO-60,VAL,sealed
2022,9,-0.017061326850086656,F2-LO-60,VAL,sealed
2022,10,-0.018542196443496417,F2-LO-60,VAL,sealed
2022,11,-0.008001351498172271,F2-LO-60,VAL,sealed
2022,12,-0.002592852680450175,F2-LO-60,VAL,sealed
2023,1,0.0019438139097305296,F2-LO-60,VAL,sealed
2023,2,-0.015862314013926126,F2-LO-60,VAL,sealed
2023,3,0.024190493873340047,F2-LO-60,VAL,sealed
2023,4,-0.02668933159106801,F2-LO-60,VAL,sealed
2023,5,0.026693632952386026,F2-LO-60,VAL,sealed
2023,6,0.00988992361101726,F2-LO-60,VAL,sealed
2023,7,0.0008482799341635872,F2-LO-60,VAL,sealed
2023,8,-0.019605691104978562,F2-LO-60,VAL,sealed
2023,9,-0.018354167378533903,F2-LO-60,VAL,sealed
2023,10,-0.016328560545946225,F2-LO-60,VAL,sealed
2023,11,0.047578263742171334,F2-LO-60,VAL,sealed
2023,12,0.038215517990864534,F2-LO-60,VAL,sealed
2021,11,0.05739709087815059,A1-b,VAL,sealed
2021,12,-0.06748540494946575,A1-b,VAL,sealed
2022,1,0.014559480337349773,A1-b,VAL,sealed
2022,2,-0.0286679979494201,A1-b,VAL,sealed
2022,3,0.05203531497973479,A1-b,VAL,sealed
2022,4,0.03030563269742592,A1-b,VAL,sealed
2022,5,-0.04253277899134522,A1-b,VAL,sealed
2022,6,0.08529692585790971,A1-b,VAL,sealed
2022,7,0.029655092426870144,A1-b,VAL,sealed
2022,8,-0.035283185825536134,A1-b,VAL,sealed
2022,9,-0.04113505065225809,A1-b,VAL,sealed
2022,10,-0.008488312034846457,A1-b,VAL,sealed
2022,11,0.033468625084514536,A1-b,VAL,sealed
2022,12,-0.04325389249763445,A1-b,VAL,sealed
2023,1,-0.08909345599753293,A1-b,VAL,sealed
2023,2,0.012607965452129388,A1-b,VAL,sealed
2023,3,0.044174185028920565,A1-b,VAL,sealed
2023,4,0.011788132901942694,A1-b,VAL,sealed
2023,5,0.017302123979831552,A1-b,VAL,sealed
2023,6,0.028105235459780387,A1-b,VAL,sealed
2023,7,-0.025699864014993468,A1-b,VAL,sealed
2023,8,0.02842037717880852,A1-b,VAL,sealed
2023,9,-0.08353686293935192,A1-b,VAL,sealed
2023,10,-0.04633610032118474,A1-b,VAL,sealed
2023,11,0.1514867957094992,A1-b,VAL,sealed
2023,12,0.16467452879969002,A1-b,VAL,sealed
2016,2,0.03282253177211003,F2-LO-60,TRAIN,complete
2016,3,-0.004376244739233259,F2-LO-60,TRAIN,complete
2016,4,0.00016408974180670555,F2-LO-60,TRAIN,complete
2016,5,-0.00010345925398591582,F2-LO-60,TRAIN,complete
2016,6,0.019018564191648046,F2-LO-60,TRAIN,complete
2016,7,0.01891072803919225,F2-LO-60,TRAIN,complete
2016,8,0.016952673732462786,F2-LO-60,TRAIN,complete
2016,9,0.013776473547217893,F2-LO-60,TRAIN,complete
2016,10,-0.03880653847056481,F2-LO-60,TRAIN,complete
2016,11,0.028113644224760925,F2-LO-60,TRAIN,complete
2016,12,-0.024720393236825844,F2-LO-60,TRAIN,complete
2017,1,0.0014798705530112422,F2-LO-60,TRAIN,complete
2017,2,0.005944138791236453,F2-LO-60,TRAIN,complete
2017,3,0.015589583125285689,F2-LO-60,TRAIN,complete
2017,4,-0.005365689997365974,F2-LO-60,TRAIN,complete
2017,5,0.004921496992192798,F2-LO-60,TRAIN,complete
2017,6,0.011902643129868551,F2-LO-60,TRAIN,complete
2017,7,-0.005633945090417258,F2-LO-60,TRAIN,complete
2017,8,0.01568734461459864,F2-LO-60,TRAIN,complete
2017,9,0.025914722394378087,F2-LO-60,TRAIN,complete
2017,10,0.010554139017327824,F2-LO-60,TRAIN,complete
2017,11,0.007686882275343532,F2-LO-60,TRAIN,complete
2017,12,0.006556503735913655,F2-LO-60,TRAIN,complete
2018,1,-0.00297607842749259,F2-LO-60,TRAIN,complete
2018,2,0.01149801942521278,F2-LO-60,TRAIN,complete
2018,3,0.0036652071886402737,F2-LO-60,TRAIN,complete
