month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,6,1,2,16.666666666666664,8,600.1464727959996,-225.77034417390504,228.29265262209472,228.29265262209472,-225.77034417390504
2025-02,5,2,1,40.0,6,438.2268440639998,-69.98950085214314,633.5354474651897,861.8281000872844,-69.98950085214312
2025-03,3,1,1,33.33333333333333,3,81.50797653592022,-63.38477326643988,18.123203269480342,879.9513033567647,0.0
2025-04,1,1,0,100.0,1,374.3874696479999,374.3874696479999,374.3874696479999,1254.3387730047646,0.0
2025-05,4,2,0,50.0,4,566.8328269042202,0.0,895.1293288978195,2149.468101902584,0.0
2025-06,9,2,3,22.22222222222222,10,374.41398958333383,-59.63108750764302,292.03983951569137,2441.507941418275,-75.65513759999949
2025-07,3,0,0,0.0,3,0.0,0.0,0.0,2441.507941418275,0.0
2025-08,3,1,1,33.33333333333333,3,157.91378444799994,-73.43091038295987,84.48287406504008,2525.990815483315,-73.43091038295987
2025-09,8,1,4,12.5,11,64.01571864733417,-104.53622666666642,-177.8524550993298,2348.1383603839854,-230.33493594666413
2025-10,6,3,1,50.0,7,549.8352255943205,-14.534010186666677,1115.2798092016544,3463.4181695856396,-14.534010186666706
2025-11,5,1,3,20.0,5,324.34562360000064,-138.09255379999996,31.390604523334247,3494.808774108974,-122.81668695999966
2025-12,7,1,3,14.285714285714285,8,550.5376784000011,-205.5692613333328,81.89155768000194,3576.7003317889757,-205.5692613333328
2026-01,5,1,3,20.0,5,38.545917423999576,-131.22809794630305,-184.89262552230232,3391.8077062666734,-223.4385429463019
2026-02,6,2,2,33.33333333333333,8,743.3404914580007,-100.1521313333335,806.4444425913343,4198.252148858008,-100.1521313333335
2026-03,3,2,0,66.66666666666666,3,1883.0483406733333,0.0,2161.7483441666673,6360.000493024675,0.0
2026-04,7,1,2,14.285714285714285,8,497.9156127733337,-71.02934471285717,410.6090968604775,6770.609589885153,-71.02934471285715
2026-05,2,0,2,0.0,3,-65.46087844666651,-132.8992012198807,-198.36007966654722,6572.249510218606,-132.8992012198807
2026-06,5,0,1,0.0,7,0.0,-8.633063999999598,-8.633063999999598,6563.616446218606,-8.633063999999598
2026-07,6,2,3,33.33333333333333,7,161.87974373333358,-142.6438000000001,-43.83742286654709,6519.779023352059,-142.6438000000001
2026-08,7,1,3,14.285714285714285,8,140.00499000000022,-139.0867353333333,-125.95228542666567,6393.826737925393,-78.54195209333278
2026-09,1,0,0,0.0,1,0.0,0.0,0.0,6393.826737925393,0.0
