cell,split,weeks,picks,picks_per_wk,fills,green_wk_pct,flat_wk_pct,red_wk_pct,red_streak,worst_wk,green_mo_pct,worst_mo,mdd,pnl,totR,R_pick,R_pick_ex1,R_pick_ex5,wr_fills,t,top1_share,top5_share,top10_share,mde80_green_pp,label,dump
L_base,TRAIN,53,105,1.9811320754716981,84,37.735849056603776,35.84905660377358,26.41509433962264,3,-418.3564857054276,91.66666666666666,-25.331767305424883,-527.5301845790186,6661.704093012963,49.289746849346045,0.46942616046996233,0.36930629843655216,0.21339731860745717,44.047619047619044,3.1950664823166197,13.030499333162998,47.36571642439596,84.27678001000281,26.36520743137772,shipped B+ (all gates on),asis
L_base,VAL,22,53,2.409090909090909,40,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,159.12033712478714,-489.1654050560701,6386.422373921438,44.47279888637708,0.8391094129505109,0.6206153154841201,0.2919267510223043,37.5,2.231507754624626,29.485183259451254,96.59349272809652,122.06310895709476,39.32182422339339,shipped B+ (all gates on),asis
L_q1off,TRAIN,53,129,2.4339622641509435,95,39.62264150943396,26.41509433962264,33.9622641509434,3,-418.3564857054276,83.33333333333334,-64.59027191347107,-539.0154632544363,6300.994629174759,46.1164876825346,0.35749215257778755,0.27452983915081436,0.12004235080512156,40.0,2.864080068048269,13.776448933920696,50.88865059210468,92.56873997608209,26.603811457067643,Q1 filter OFF,asis
L_q1off,VAL,22,61,2.772727272727273,45,40.90909090909091,22.727272727272727,36.36363636363637,2,-367.85392063363344,100.0,130.9038777914538,-385.93701163363335,10693.203050183485,76.95915969988437,1.2616255688505633,0.7458893321696566,0.26099822096346553,37.77777777777778,2.062276444219844,38.606289386127045,90.01270905445094,110.48551633491404,41.508012496715594,Q1 filter OFF,asis
L_pdr8,TRAIN,53,117,2.207547169811321,93,37.735849056603776,28.30188679245283,33.9622641509434,3,-496.4063701737846,83.33333333333334,-130.26940096292998,-659.8356878033301,5793.794330985274,42.42562890670577,0.3626122128778271,0.2710820069245616,0.1284884378333152,40.86021505376344,2.671996835888371,14.982466719175513,54.461095604550195,96.90143250962005,26.36520743137772,PDR veto 11.0 -> 8.0,asis
L_pdr8,VAL,22,61,2.772727272727273,46,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,33.35683762895404,-588.5152380703557,6089.299494410486,42.34530210072005,0.6941852803396729,0.5024083269919536,0.09852780986170306,34.78260869565217,2.1008067452652623,30.923891038728318,101.30670099248502,128.0190883679748,39.32182422339339,PDR veto 11.0 -> 8.0,asis
L_pdr6,TRAIN,53,117,2.207547169811321,93,37.735849056603776,28.30188679245283,33.9622641509434,3,-496.4063701737846,83.33333333333334,-130.26940096292998,-659.8356878033301,5793.794330985274,42.42562890670577,0.3626122128778271,0.2710820069245616,0.1284884378333152,40.86021505376344,2.671996835888371,14.982466719175513,54.461095604550195,96.90143250962005,26.36520743137772,PDR veto 11.0 -> 6.0,asis
L_pdr6,VAL,22,61,2.772727272727273,46,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,33.35683762895404,-588.5152380703557,6089.299494410486,42.34530210072005,0.6941852803396729,0.5024083269919536,0.09852780986170306,34.78260869565217,2.1008067452652623,30.923891038728318,101.30670099248502,128.0190883679748,39.32182422339339,PDR veto 11.0 -> 6.0,asis
L_pdroff,TRAIN,53,117,2.207547169811321,93,37.735849056603776,28.30188679245283,33.9622641509434,3,-496.4063701737846,83.33333333333334,-130.26940096292998,-659.8356878033301,5793.794330985274,42.42562890670577,0.3626122128778271,0.2710820069245616,0.1284884378333152,40.86021505376344,2.671996835888371,14.982466719175513,54.461095604550195,96.90143250962005,26.36520743137772,PDR veto OFF,asis
L_pdroff,VAL,22,61,2.772727272727273,46,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,33.35683762895404,-588.5152380703557,6089.299494410486,42.34530210072005,0.6941852803396729,0.5024083269919536,0.09852780986170306,34.78260869565217,2.1008067452652623,30.923891038728318,101.30670099248502,128.0190883679748,39.32182422339339,PDR veto OFF,asis
