month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,7,1,2,14.285714285714285,8,336.24667023999984,-225.77034417390507,-35.60714993390499,-35.60714993390499,-225.77034417390507
2025-02,10,1,7,10.0,13,332.00377206400066,-168.51657389048748,-352.24389245883975,-387.8510423927447,-352.24389245883975
2025-03,5,3,1,60.0,7,313.9278917600003,-76.82078283878604,427.2208267771349,39.36978438439019,0.0
2025-04,4,2,1,50.0,5,375.52802851400077,-52.1555733333332,502.5492692606673,541.9190536450575,0.0
2025-05,9,2,4,22.22222222222222,11,1231.5921853208874,-126.62018529761879,1235.5327528492755,1777.4518064943331,-178.67116930828544
2025-06,8,4,2,50.0,13,237.27505,-59.63108750764301,684.2151632346979,2461.666969729031,-59.63108750764301
2025-07,8,3,2,37.5,8,94.27044295661335,-100.673219264252,140.1548780723623,2601.8218478013932,-113.96573659758499
2025-08,6,2,2,33.33333333333333,6,157.91378444799992,-95.15629583035704,29.677831072683432,2631.499678874077,-168.5872062133169
2025-09,10,2,7,20.0,17,868.0533074173463,-165.581070749333,364.34684817535174,2995.8465270494285,-448.2771344959976
2025-10,9,2,5,22.22222222222222,14,1670.1664882056539,-87.06962159999998,2121.5138185512014,5117.360345600629,-115.8407416
2025-11,8,2,5,25.0,16,503.5298348364002,-537.3033993879751,-96.60271029471642,5020.757635305913,-606.613507482642
2025-12,13,3,7,23.076923076923077,22,550.5376784000009,-295.51462905333284,-377.8042159065909,4642.953419399322,-509.9854086011642
2026-01,11,4,7,36.36363636363637,17,1254.686943168,-262.94753527301725,598.0250849591292,5240.978504358452,-309.67607857847537
2026-02,11,2,5,18.181818181818183,21,1048.6642010491435,-190.47175850447664,658.0656723932054,5899.044176751657,-246.36419974269995
2026-03,11,5,4,45.45454545454545,14,1883.048340673333,-226.24097463671433,2346.852114516685,8245.896291268342,-261.19479213671366
2026-04,12,2,7,16.666666666666664,15,497.91561277333363,-117.71174701000037,211.60387914247806,8457.50017041082,-400.68791183618976
2026-05,10,1,7,10.0,12,346.28630834466713,-132.89920121988067,-88.22075305846317,8369.279417352356,-274.4934176865471
2026-06,12,2,3,16.666666666666664,18,273.26264635199965,-239.36570079999998,143.55133454000028,8512.830751892356,-239.36570079999998
2026-07,12,5,6,41.66666666666667,22,1032.6765628509997,-282.03891333333274,808.6766232037891,9321.507375096146,-515.4667187533305
2026-08,12,2,6,16.666666666666664,18,701.0759580729072,-121.16225066666613,341.7597699795753,9663.26714507572,-225.65965475999957
2026-09,4,0,3,0.0,5,0.0,-107.24834999999975,-147.98746599999902,9515.279679075722,-40.73911599999927
