month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,19,8,9,42.10526315789473,97,600.1464727959994,-419.1630313656188,-6.701032391375037,-6.701032391375037,-888.4105455990448
2025-02,19,8,11,42.10526315789473,118,852.8410582681897,-327.00774097104755,348.73825507968286,342.0372226883078,-711.8805878510815
2025-03,18,6,12,33.33333333333333,99,575.926401286666,-467.17162859999826,-1010.6055957156557,-668.5683730273479,-1101.1621824774863
2025-04,21,6,13,28.57142857142857,120,1155.2280711139192,-440.4719039267132,1644.1183631060346,975.5499900786867,-611.1357277306129
2025-05,21,7,14,33.33333333333333,131,1094.0700793136741,-250.8546523847841,1117.2217565901713,2092.771746668858,-652.6230322610049
2025-06,20,6,14,30.0,124,339.04398429823834,-333.03554907159605,-507.2180362548942,1585.553710413964,-856.5551617824538
2025-07,22,4,17,18.181818181818183,132,296.56925960400065,-344.2931170993517,-1916.1823600143289,-330.62864960036495,-1916.1823600143287
2025-08,21,3,17,14.285714285714285,118,197.04053736666768,-530.2371439694241,-1768.4217710175596,-2099.050420617925,-1746.9732973322284
2025-09,21,9,12,42.857142857142854,127,1196.4399917200024,-304.587365824379,2280.9502362968874,181.89981567896257,-913.488686610398
2025-10,23,10,13,43.47826086956522,163,1433.7538955050943,-414.3649431853088,890.9839174451397,1072.8837331241023,-1236.1791461368152
2025-11,19,6,13,31.57894736842105,136,455.17300539162017,-651.9418137672842,-2358.6357652834186,-1285.7520321593163,-2699.4055867573156
2025-12,22,3,19,13.636363636363635,122,482.6083068992869,-385.58912213385787,-1516.130562919684,-2801.8825950790006,-1280.690593179685
2026-01,20,8,12,40.0,138,1091.661951502111,-381.4510748925452,946.0195052436549,-1855.8630898353458,-829.7848743929726
2026-02,19,7,12,36.84210526315789,139,1707.206967474744,-381.4583717700956,1741.3085116716504,-114.5545781636954,-562.4004150800794
2026-03,22,8,14,36.36363636363637,147,1847.0884166733335,-410.41795724204684,2953.393130241714,2838.8385520780184,-646.4636107771639
2026-04,21,9,12,42.857142857142854,134,560.4560995884121,-471.79059066270645,109.98281044212172,2948.82136252014,-1101.6591416881224
2026-05,20,8,12,40.0,139,492.5303879361921,-373.3181001062843,-529.8812970014569,2418.9400655186832,-861.5788038058458
2026-06,21,12,9,57.14285714285714,157,943.6174665279058,-429.2873618890468,2223.926655215605,4642.866720734288,-1013.6319813807095
2026-07,22,5,17,22.727272727272727,161,2220.142676784334,-799.6417575776912,-724.4556454524652,3918.4110752818224,-2868.534986308784
2026-08,21,6,15,28.57142857142857,159,945.1307557446927,-593.0374956221664,-2437.738539649601,1480.6725356322213,-2677.5859369975115
2026-09,11,5,6,45.45454545454545,83,499.01600034642934,-300.87915357504437,466.12032119240257,1946.7928568246239,-345.7020322281145
