month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,7,1,2,14.285714285714285,8,336.24667023999984,-225.77034417390507,-35.60714993390499,-35.60714993390499,-225.77034417390507
2025-02,10,1,7,10.0,13,332.00377206400066,-168.51657389048748,-352.24389245883975,-387.8510423927447,-352.24389245883975
2025-03,5,3,1,60.0,6,313.9278917600003,-76.82078283878604,490.5079947771346,102.65695238438991,0.0
2025-04,3,2,0,66.66666666666666,4,375.52802851400077,0.0,554.7048425940005,657.3617949783904,0.0
2025-05,9,2,4,22.22222222222222,11,1231.5921853208874,-126.62018529761879,1235.5327528492755,1892.894547827666,-178.67116930828544
2025-06,8,4,2,50.0,13,237.27505,-59.63108750764301,684.2151632346979,2577.109711062364,-59.63108750764301
2025-07,7,2,2,28.57142857142857,7,94.27044295661335,-100.673219264252,53.58672439902871,2630.696435461393,-113.96573659758499
2025-08,4,2,1,50.0,4,157.91378444799992,-95.15629583035704,103.1087414556433,2733.805176917036,-95.15629583035704
2025-09,10,2,7,20.0,17,868.0533074173463,-165.581070749333,364.34684817535174,3098.1520250923877,-448.2771344959976
2025-10,8,2,4,25.0,12,1670.1664882056539,-87.06962159999998,2134.8060398845346,5232.958064976922,-115.8407416
2025-11,7,2,4,28.57142857142857,15,503.5298348364002,-537.3033993879751,-64.5569319780497,5168.4011329988725,-606.6135074826421
2025-12,13,3,7,23.076923076923077,20,550.5376784000009,-295.51462905333284,-377.8042159065909,4790.596917092282,-509.9854086011642
2026-01,11,4,7,36.36363636363637,17,1254.686943168,-262.94753527301725,598.0250849591292,5388.622002051411,-309.67607857847537
2026-02,11,2,5,18.181818181818183,19,844.9086672464764,-337.6383531424998,262.45968061453834,5651.081682665949,-438.2146577187
2026-03,11,5,4,45.45454545454545,13,1883.048340673333,-226.24097463671433,2400.6327705166846,8051.714453182634,-261.19479213671366
2026-04,12,2,7,16.666666666666664,15,497.91561277333363,-117.71174701000037,211.60387914247806,8263.318332325112,-400.68791183618976
2026-05,9,1,6,11.11111111111111,11,346.28630834466713,-132.89920121988067,-22.759874611796647,8240.558457713316,-204.45304635321332
2026-06,12,2,3,16.666666666666664,18,273.26264635199965,-239.36570079999998,143.55133454000028,8384.109792253315,-239.36570079999998
2026-07,12,5,6,41.66666666666667,22,1032.6765628509997,-282.03891333333274,808.6766232037891,9192.786415457105,-515.4667187533305
2026-08,12,2,6,16.666666666666664,18,701.0759580729072,-121.16225066666613,341.7597699795753,9534.54618543668,-225.65965475999957
2026-09,4,0,3,0.0,4,0.0,-107.24834999999975,-147.98746599999902,9386.558719436682,-40.73911599999927
