month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,8,2,3,25.0,11,600.1464727959994,-225.77034417390504,416.84441447226124,416.84441447226124,-373.4652525637383
2025-02,8,2,3,25.0,10,574.2663389919995,-161.37595614000006,416.2304174754632,833.0748319477244,-161.37595614000006
2025-03,6,4,1,66.66666666666666,7,610.3839824124594,-115.00405237403719,1062.708707654343,1895.7835396020673,-115.00405237403719
2025-04,6,2,1,33.33333333333333,6,375.52802851400077,-30.686452533333014,524.0183900606676,2419.801929662735,-30.68645253333301
2025-05,4,2,2,50.0,7,1231.5921853208874,-126.62018529761879,1347.4676687299423,3767.269598392677,-85.8008332869257
2025-06,7,2,4,28.57142857142857,12,237.27505,-170.17567301571384,141.79560520969662,3909.0652036023735,-262.82263412335686
2025-07,7,2,3,28.57142857142857,9,94.27044295661335,-118.1769963124998,-64.59027191347108,3844.4749316889024,-232.1427329100848
2025-08,5,1,2,20.0,5,157.91378444799992,-95.15629583035704,52.219140364309595,3896.694072053212,-95.15629583035704
2025-09,9,2,6,22.22222222222222,18,534.43961823068,-165.581070749333,102.06572948201801,3998.75980153523,-448.2771344959976
2025-10,6,3,1,50.0,11,1670.1664882056539,-78.29558638462665,2277.4274664950276,6276.187268030258,-78.29558638462663
2025-11,7,2,4,28.57142857142857,15,503.5298348364002,-422.60733895999897,50.139128449926545,6326.3263964801845,-491.91744705466596
2025-12,12,3,4,25.0,18,550.5376784000009,-295.51462905333284,-25.33176730542499,6300.994629174759,-318.51369199999914
2026-01,10,3,5,30.0,15,1254.686943168,-262.94753527301725,605.7201018645577,6906.714731039317,-367.8539206336335
2026-02,9,3,3,33.33333333333333,13,743.3404914580005,-337.6383531424998,1228.842594958168,8135.557325997484,-349.6295743424998
2026-03,9,6,2,66.66666666666666,10,1883.048340673333,-123.51949999999957,4391.027616841494,12526.584942838977,-123.51949999999943
2026-04,14,3,6,21.428571428571427,16,4128.2489141999995,-117.71174701000037,4336.70885872781,16863.29380156679,-250.91458260285702
2026-05,5,1,3,20.0,7,318.06984901133376,-132.89920121988067,130.90387779145377,16994.197679358243,-136.40444855321357
2026-06,11,4,3,36.36363636363637,16,217.7006121766667,-239.36570079999998,291.8560299379997,17286.053709296244,-239.36570079999998
2026-07,13,6,6,46.15384615384615,21,901.4300261843337,-282.03891333333274,666.4300418704562,17952.4837511667,-515.4667187533305
2026-08,12,3,4,25.0,19,701.0759580729072,-121.16225066666613,529.7942839522439,18482.278035118943,-169.49083866666592
2026-09,4,0,3,0.0,5,0.0,-107.24834999999975,-182.03058866666547,18300.24744645228,-74.78223866666572
