cell,label,survives,failed,pooled_green
L_catoff,catalyst veto OFF,False,5 worst-week,49.333333333333336
F6,F6 = CEILING (every gate off),False,"3 red-streak,4 P&L floor,5 worst-week",44.0
F5,F5 = F4 - catalyst,False,"3 red-streak,4 P&L floor,5 worst-week",44.0
F4,F4 = F0 - range-size - G1 - PDR,True,,38.666666666666664
F3,F3 = F0 - range-size - G1,False,3 red-streak,37.33333333333334
L_q1off,Q1 filter OFF,False,2 flat-week,37.333333333333336
L_g1off,G1 fingerprint OFF,False,3 red-streak,36.0
L_pdr6,PDR veto 11.0 -> 6.0,False,"1 green-week,2 flat-week",33.333333333333336
L_pdr8,PDR veto 11.0 -> 8.0,False,"1 green-week,2 flat-week",33.333333333333336
L_rsoff,range-size veto OFF,False,"1 green-week,2 flat-week",33.333333333333336
L_rs10,range-size veto 2.221 -> 1.0,False,"1 green-week,2 flat-week",33.333333333333336
L_rs15,range-size veto 2.221 -> 1.5,False,"1 green-week,2 flat-week",33.333333333333336
L_pdroff,PDR veto OFF,False,"1 green-week,2 flat-week",33.333333333333336
F2,"F2 = F0 - range-size, PDR 8.0",False,"1 green-week,2 flat-week",33.333333333333336
F1,F1 = F0 - range-size,False,"1 green-week,2 flat-week",33.333333333333336
L_thrall,composite threshold OFF (all candidates rank),False,"1 green-week,2 flat-week",33.333333333333336
L_thr05,composite threshold -> -0.5,False,"1 green-week,2 flat-week",33.333333333333336
