month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,8,2,3,25.0,12,600.1464727959994,-256.8658508271426,306.06203964511843,306.06203964511843,-373.4652525637383
2025-02,8,2,3,25.0,10,574.2663389919995,-161.37595614000006,416.2304174754632,722.2924571205816,-161.37595614000006
2025-03,7,4,2,57.14285714285714,8,610.3839824124594,-125.32687999999963,937.3818276543434,1659.6742847749251,-240.33093237403682
2025-04,6,2,1,33.33333333333333,6,375.52802851400077,-30.686452533333014,524.0183900606676,2183.6926748355927,-30.68645253333301
2025-05,5,2,3,40.0,8,1231.5921853208874,-126.62018529761879,1229.4194138481564,3413.112088683749,-203.84908816871143
2025-06,11,3,6,27.27272727272727,17,237.27505,-170.17567301571384,100.1466232096969,3513.2587118934457,-381.6611747900236
2025-07,7,2,3,28.57142857142857,9,94.27044295661335,-118.1769963124998,-64.59027191347108,3448.6684399799747,-232.1427329100848
2025-08,6,1,3,16.666666666666664,7,157.91378444799992,-95.15629583035704,-21.21177001865027,3427.456669961324,-168.5872062133169
2025-09,9,2,6,22.22222222222222,20,307.9607065942988,-165.581070749333,-124.4131821543632,3303.043487806961,-448.2771344959976
2025-10,7,3,2,42.857142857142854,12,1670.1664882056539,-78.29558638462665,2222.6844304950278,5525.727918301989,-78.29558638462663
2025-11,9,2,6,22.22222222222222,20,508.37828783640083,-422.60733895999897,-162.31517927959675,5363.412739022392,-670.6934671159976
2025-12,12,3,4,25.0,19,550.5376784000009,-295.51462905333284,-103.38165177378195,5260.03108724861,-318.51369199999914
2026-01,11,3,6,27.27272727272727,16,1254.686943168,-262.94753527301725,514.8962191978919,5774.9273064465015,-410.48272076047414
2026-02,9,3,3,33.33333333333333,13,743.3404914580005,-337.6383531424998,1228.842594958168,7003.769901404669,-349.6295743424998
2026-03,11,6,3,54.54545454545454,12,1883.048340673333,-123.51949999999957,4385.53765550816,11389.30755691283,-123.51949999999943
2026-04,16,3,7,18.75,19,4128.2489141999995,-217.0615800242859,4161.6057518289535,15550.913308741783,-350.26441561714256
2026-05,6,2,3,33.33333333333333,10,224.24675108590543,-132.89920121988067,39.73707073269244,15590.650379474475,-136.40444855321354
2026-06,12,4,4,33.33333333333333,18,300.054419066667,-239.36570079999998,458.0118055509125,16048.662185025387,-239.3657008
2026-07,15,5,9,33.33333333333333,27,901.4300261843337,-357.4097050315755,-12.864937073461164,16035.797247951925,-804.5119870248899
2026-08,13,3,4,23.076923076923077,24,701.0759580729072,-121.16225066666613,440.9885412855776,16476.785789237503,-169.49083866666592
2026-09,6,0,4,0.0,9,0.0,-135.65068266666657,-317.681271333332,16159.104517904172,-210.43292133333227
