cell,split,picks_per_wk,green_wk_pct,null_mean,null_p5,null_p95,flat_wk_pct,red_streak,worst_wk,green_mo_pct,mdd,pnl,R_pick,R_pick_ex1,R_pick_ex5,t,top1_share,top5_share,top10_share,vs_null
G0,TRAIN,1.981132075471698,33.9622641509434,37.53962264150943,32.075471698113205,43.39622641509434,37.735849056603776,3,-418.3564857054276,75.0,-559.9916696555719,5673.034098080109,0.409805647559935,0.3085281056641941,0.1501634412786403,2.776804301647233,15.301394146584036,54.83757676372933,95.004739367385,-3.5773584905660343
G0,VAL,2.409090909090909,31.818181818181817,36.66136363636364,27.272727272727277,45.45454545454545,22.727272727272727,3,-337.6383531424998,100.0,-489.1654050560701,3938.579738423237,0.4689962235263979,0.3050554443665195,0.0491126700337363,1.660215640695737,47.81033940491424,118.159669459896,144.0630151903488,-4.843181818181822
G1,TRAIN,2.4339622641509435,35.84905660377358,38.368867924528296,32.075471698113205,45.283018867924525,28.30188679245283,3,-418.3564857054276,66.66666666666666,-792.2625391534053,5312.324634241904,0.3089638281161374,0.2252372891070908,0.0687296142841964,2.471503270179954,16.34036635905294,59.589757729425855,105.87657193892468,-2.5198113207547124
G1,VAL,2.772727272727273,40.90909090909091,41.25227272727272,31.818181818181817,50.0,22.727272727272727,2,-367.85392063363344,100.0,-438.2146577187,8245.360414685287,0.9400518141050228,0.4189560148450235,0.0480034130787567,1.6298600471078193,50.06753745836797,102.30935922662935,120.25213852283076,-0.3431818181818116
G2,TRAIN,2.037735849056604,33.9622641509434,37.5,32.075471698113205,43.39622641509434,37.735849056603776,3,-418.3564857054276,66.66666666666666,-600.9610949619787,5567.557409380482,0.383693919946195,0.2847900494698857,0.1301522651664831,2.657176230538258,15.591277172190615,55.87646789462356,96.80459244161813,-3.5377358490566024
G2,VAL,2.4545454545454546,31.818181818181817,36.63636363636364,27.272727272727277,45.45454545454545,22.727272727272727,3,-337.6383531424998,100.0,-554.6262835027364,3873.1188599765705,0.437182646210987,0.2757348331236456,0.0236607166702161,1.5667943154133752,48.61839795654307,120.15672558945134,146.49787243769205,-4.818181818181824
G3,TRAIN,5.320754716981132,47.16981132075472,50.35849056603774,43.39622641509434,58.490566037735846,7.547169811320755,4,-895.3730616863788,58.333333333333336,-2638.748236888041,6515.078327993131,0.174829320410658,0.1101902921743157,-0.0574110440412217,2.271524689804291,13.323758575359088,59.45352129585299,101.64960493742105,-3.1886792452830193
G3,VAL,8.045454545454545,54.54545454545455,52.42727272727273,40.90909090909091,63.63636363636363,4.545454545454546,2,-363.7217806423805,100.0,-697.8461626630865,4287.206947665862,0.1492759983226137,0.0499782448516777,-0.0826329783673084,1.4993019472323756,43.92249694637543,111.6782533730356,153.05833047269292,2.1181818181818173
G4,TRAIN,2.490566037735849,35.84905660377358,38.09433962264151,32.075471698113205,45.283018867924525,28.30188679245283,3,-418.3564857054276,58.333333333333336,-792.2625391534053,5206.847945542278,0.2898915468740728,0.2078037390538186,0.0543549064245428,2.361206612542044,16.67137808701539,60.796885418087065,108.02134557852104,-2.24528301886793
G4,VAL,2.8181818181818183,40.90909090909091,40.92045454545455,31.818181818181817,50.0,22.727272727272727,2,-367.85392063363344,100.0,-438.2146577187,8179.899536238619,0.9047455436919452,0.3916135071999281,0.0256423723100576,1.5914976900571065,50.468210470202216,103.12810528807192,121.21447437890345,-0.01136363636364024
G5,TRAIN,7.132075471698113,47.16981132075472,52.96981132075472,45.283018867924525,60.37735849056604,1.8867924528301887,7,-994.573863930474,58.333333333333336,-2916.488417572888,7059.09508979154,0.13068196861231,0.0674988473098765,-0.0822237178033843,2.075581757184604,12.29694877850102,55.48862264722389,95.41626531371624,-5.800000000000004
G5,VAL,9.909090909090908,63.63636363636363,58.888636363636365,50.0,68.18181818181819,4.545454545454546,2,-443.2435000473519,100.0,-543.8868881158135,9530.837409561987,0.3107872873580616,0.0831170698618299,-0.044598441267194,1.8199910634581509,43.31465050550814,89.8980337516963,112.16209596515353,4.747727272727268
G6,TRAIN,5.056603773584905,45.283018867924525,49.2811320754717,41.50943396226416,56.60377358490566,7.547169811320755,4,-895.3730616863788,58.333333333333336,-2420.6605712613755,6228.45836379713,0.1870915507031164,0.1191764481104291,-0.0454104054396593,2.352369804566105,13.936888660328856,62.189441671301225,106.32729633808084,-3.9981132075471777
G6,VAL,7.818181818181818,54.54545454545455,53.04545454545455,40.90909090909091,63.63636363636363,4.545454545454546,2,-376.90288064238047,100.0,-620.1001263430862,4410.01483298673,0.1600338000824293,0.0579420868242283,-0.0783949598443718,1.5642353006684004,42.69936523995813,108.56829328163565,148.7960387099771,1.5
G7,TRAIN,2.207547169811321,33.9622641509434,36.69716981132076,30.18867924528302,43.39622641509434,30.18867924528302,4,-496.4063701737846,66.66666666666666,-780.4603463993299,4805.12433605242,0.3091066243688283,0.2166458864414931,0.0720906553508569,2.27399133377888,18.065158083515545,64.74243351053389,112.164657606585,-2.7349056603773647
