symbol,date,period,has_trade,has_twosided_quote,usable,win_flag,pnl_bt
VTAK,2023-01-12,2023-24,False,False,False,1,-467.95311089999785
NRGV,2023-01-18,2023-24,True,True,True,1,-314.66853000000657
BBAI,2023-02-08,2023-24,True,True,True,0,-1971.879426916077
TCBP,2023-02-22,2023-24,True,True,True,0,-470.5914194999912
GNS,2023-02-27,2023-24,True,True,True,0,-1526.0188499999854
AIXI,2023-03-10,2023-24,True,True,True,0,-588.4589500000052
UVIX,2023-03-13,2023-24,True,True,True,0,-851.7665188599992
UVIX,2023-03-17,2023-24,True,True,True,0,-1975.605358765716
PACWP,2023-03-20,2023-24,True,True,True,1,1276.9571548500005
BFRG,2023-04-12,2023-24,True,True,True,1,215.5926000000104
BFRG,2023-04-14,2023-24,True,True,True,1,-719.6712000000065
BFRG,2023-04-17,2023-24,True,True,True,0,-1775.9677517999996
OCEA,2023-04-17,2023-24,True,True,True,0,8.099910000006947
CLSK,2023-04-18,2023-24,True,True,True,1,-302.7103400000036
RLAY,2023-04-19,2023-24,True,True,True,0,-1769.0316614146363
PTPI,2023-04-25,2023-24,True,True,True,1,4024.004777200003
PTPI,2023-04-26,2023-24,True,True,True,0,-2840.922699999988
JYD,2023-04-28,2023-24,True,True,True,0,-1783.7033763999966
CHGG,2023-05-03,2023-24,True,True,True,1,-379.801800000003
MINM,2023-05-05,2023-24,True,True,True,1,1117.1825011999997
PACWP,2023-05-05,2023-24,True,True,True,1,3145.627708240007
BFRG,2023-05-05,2023-24,True,True,True,0,-2238.3407006999887
EYPT,2023-05-19,2023-24,True,True,True,0,-1445.1953263704988
ORMP,2023-05-22,2023-24,True,True,True,0,-1114.3861564514211
ARVL,2023-05-25,2023-24,True,True,True,0,-1480.9663679993153
GSIT,2023-05-25,2023-24,True,True,True,1,1151.9621044000069
MGRM,2023-05-30,2023-24,True,True,True,0,-1318.4753999999982
RMTI,2023-06-02,2023-24,True,True,True,0,-317.97051000000107
RMTI,2023-06-05,2023-24,True,True,True,0,-914.8700712214284
KC,2023-06-12,2023-24,True,True,True,1,2076.672251800003
KC,2023-06-13,2023-24,True,True,True,1,2805.6092350000063
VERA,2023-06-20,2023-24,True,True,True,1,-469.2679200000029
BDTX,2023-06-30,2023-24,True,True,True,0,-1502.8926292692847
MVIS,2023-06-30,2023-24,True,True,True,1,1037.0968400000036
SOS,2023-07-12,2023-24,True,True,True,0,-923.5263286460684
PRST,2023-07-12,2023-24,True,True,True,0,-1699.6158808000012
GREE,2023-07-12,2023-24,True,True,True,0,-1715.358164625227
RMTI,2023-07-17,2023-24,True,True,True,1,-1126.532260000003
GREE,2023-07-17,2023-24,True,True,True,0,-755.2949612999937
PRFX,2023-07-20,2023-24,True,True,True,1,1497.9207894300075
PACW,2023-07-26,2023-24,True,True,True,0,-1180.1837657442866
BBIG,2023-07-27,2023-24,True,True,True,1,1758.6908526999955
AMSC,2023-08-04,2023-24,True,True,True,0,-1974.3422999999964
NCMI,2023-08-08,2023-24,True,True,True,0,-1134.8877612637489
TDS,2023-08-08,2023-24,True,True,True,1,7063.268900560003
TNGX,2023-08-11,2023-24,True,True,True,1,-1355.530143212145
MSOX,2023-09-05,2023-24,True,True,True,1,7344.95790420001
MSOX,2023-09-11,2023-24,True,True,True,1,-1482.075435487503
SLNO,2023-09-28,2023-24,True,True,True,1,-1445.3118543571425
BNOX,2023-10-02,2023-24,True,True,True,1,1206.7442052500026
EVA,2023-10-24,2023-24,True,True,True,1,4717.379139999999
BTDR,2023-10-30,2023-24,True,True,True,0,-1946.659259999998
CUTR,2023-11-03,2023-24,True,True,True,0,-199.39800000000056
LIFW,2023-11-06,2023-24,True,True,True,1,104.25828000000809
PIXY,2023-11-08,2023-24,True,True,True,0,-1335.0532226999958
MNTK,2023-11-13,2023-24,True,True,True,1,6494.490210000001
RPTX,2023-11-20,2023-24,True,True,True,0,-545.8002399999954
SPRC,2023-12-01,2023-24,True,True,True,0,-325.93091519999155
EYPT,2023-12-05,2023-24,True,True,True,0,-424.24462999999486
BTDR,2023-12-27,2023-24,True,True,True,1,6105.836055600017
ANNX,2023-12-29,2023-24,True,True,True,0,-1028.7747431742866
BTM,2023-12-29,2023-24,True,True,True,0,-1362.067344187129
SIDU,2024-01-03,2023-24,True,True,True,1,20061.4830211
SAVAW,2024-01-08,2023-24,True,True,True,0,-1060.49812
CLSK,2024-01-11,2023-24,True,True,True,0,-1562.1622240917895
DCGO,2024-01-11,2023-24,True,True,True,0,-1547.336775642145
MIGI,2024-01-11,2023-24,True,True,True,1,1220.3321398399992
ASTS,2024-01-22,2023-24,True,True,True,0,-1867.5627915750024
CORZ,2024-01-25,2023-24,True,True,True,0,-1459.9194373750015
SGMT,2024-01-29,2023-24,True,True,True,0,-428.90434159999097
HSAI,2024-02-06,2023-24,True,True,True,1,3205.017782399991
BBAI,2024-02-29,2023-24,True,True,True,0,-1229.1983099142835
AAOI,2024-02-29,2023-24,True,True,True,1,578.8406990399991
ELEV,2024-03-07,2023-24,True,True,True,0,-1358.6308154392832
IREN,2024-03-11,2023-24,True,True,True,0,-1466.362102061427
INOD,2024-03-13,2023-24,True,True,True,0,-1421.96040533571
SMR,2024-03-18,2023-24,True,True,True,1,5529.568363200004
NKTX,2024-03-25,2023-24,True,True,True,0,-421.63749999998174
NOVA,2024-03-26,2023-24,True,True,True,0,-1340.128938603258
IREN,2024-04-04,2023-24,True,True,True,0,-497.1643199999888
IVVD,2024-04-05,2023-24,True,True,True,0,-1674.6543181499987
AXTI,2024-04-08,2023-24,True,True,True,0,-1771.085325675715
HYMC,2024-04-15,2023-24,True,True,True,0,-1538.2794805714366
DJT,2024-04-17,2023-24,True,True,True,1,5163.685838360013
TRSG,2024-04-22,2023-24,True,True,True,1,2636.3160638000063
TSLZ,2024-04-30,2023-24,True,True,True,1,1125.2980000000025
TSDD,2024-04-30,2023-24,True,True,True,1,-244.03167959999965
IBRX,2024-05-07,2023-24,True,True,True,0,-1884.9208734814213
NUVO,2024-05-08,2023-24,True,True,True,0,-3570.379639999993
AGBA,2024-05-09,2023-24,True,True,True,0,-1973.0267900000013
SKYT,2024-05-10,2023-24,True,True,True,1,-1276.9931875757145
MGNX,2024-05-13,2023-24,True,True,True,1,1527.6041185199986
NOVA,2024-05-14,2023-24,True,True,True,1,1369.109760000001
DXYZ,2024-05-14,2023-24,True,True,True,0,-586.6403399999942
OKLO,2024-05-24,2023-24,True,True,True,1,807.4870949100056
AWIN,2024-05-30,2023-24,True,True,True,1,-31.16699779999073
CORZZ,2024-06-06,2023-24,True,True,True,1,-1014.7390896696412
NNVC,2024-06-11,2023-24,True,True,True,0,-499.0905074999978
BNED,2024-06-13,2023-24,True,True,True,1,-625.8739151999987
SMFL,2024-06-17,2023-24,True,True,True,0,78.03369999999943
LICY,2024-06-21,2023-24,True,True,True,1,868.4319023999988
CORZW,2024-06-25,2023-24,True,True,True,1,-1966.7522271374976
CMTL,2024-06-26,2023-24,True,True,True,1,634.2388533839944
GRAL,2024-06-26,2023-24,True,True,True,0,-2737.6524599999943
SLNH,2024-06-28,2023-24,True,True,True,1,716.1350544999956
WBTN,2024-06-28,2023-24,True,True,True,0,-1782.8857100000073
SMR,2024-07-08,2023-24,True,True,True,1,-1004.3347499999971
ZAPP,2024-07-18,2023-24,True,True,True,0,-2228.669100000004
ZAPP,2024-07-23,2023-24,True,True,True,0,-2397.936539999997
NIPG,2024-07-29,2023-24,True,True,True,1,16937.7594672
NIPG,2024-08-01,2023-24,True,True,True,0,-940.5561774000048
SOXS,2024-08-01,2023-24,True,True,True,1,5986.166781020006
SVIX,2024-08-06,2023-24,True,True,True,1,-57.63431999998494
IVP,2024-08-06,2023-24,True,True,True,0,-1170.4324835000025
SERV,2024-08-08,2023-24,True,True,True,0,-2398.8128599999945
CONL,2024-08-08,2023-24,True,True,True,1,3777.569179999997
RILY,2024-08-16,2023-24,True,True,True,0,-3397.430279999992
ASTSW,2024-08-19,2023-24,True,True,True,1,10860.922640000004
IVP,2024-08-22,2023-24,True,True,True,0,-1804.283375700002
AEHL,2024-08-22,2023-24,True,True,True,0,-1771.4545432249995
GOVX,2024-08-23,2023-24,True,True,True,0,-2492.099836917857
CONL,2024-09-09,2023-24,True,True,True,1,681.0531734100093
NNE,2024-09-13,2023-24,True,True,True,0,-1337.9318199999889
TNON,2024-09-16,2023-24,True,True,True,0,-2618.96934934429
KSCP,2024-09-18,2023-24,True,True,True,1,-377.2243799999889
LASE,2024-09-27,2023-24,True,True,True,0,-2786.7699999999995
DJTWW,2024-09-30,2023-24,True,True,True,0,-628.8078356000027
CMTL,2024-10-18,2023-24,True,True,True,1,3953.799235260003
ALAR,2024-10-18,2023-24,True,True,True,0,-952.5756855410694
NNE,2024-10-21,2023-24,True,True,True,1,1316.9059662499917
ALAR,2024-10-24,2023-24,True,True,True,0,-1582.0179572410648
PHUN,2024-10-25,2023-24,True,True,True,1,-2348.5014208124944
IBRX,2024-10-28,2023-24,True,True,True,1,-1064.7317080128605
ASPI,2024-10-31,2023-24,True,True,True,0,-1406.2959973071434
ILLR,2024-11-01,2023-24,True,True,True,1,814.2159978600088
ILLR,2024-11-05,2023-24,True,True,True,0,276.3837499999988
TSL,2024-11-11,2023-24,True,True,True,0,-950.2363599999948
ZK,2024-11-13,2023-24,True,True,True,1,-748.8651599999989
KC,2024-11-13,2023-24,True,True,True,1,-1025.9359501392848
BTCT,2024-11-19,2023-24,True,True,True,1,1375.2538099999992
BTBT,2024-11-27,2023-24,True,True,True,1,570.9305950700019
TSSI,2024-11-29,2023-24,True,True,True,0,-1822.615019999992
PDYN,2024-11-29,2023-24,True,True,True,0,269.96585499999804
SOS,2024-11-29,2023-24,True,True,True,0,-1658.562645228569
ACHR.WS,2024-11-29,2023-24,False,False,False,1,716.1350544999956
ARQQ,2024-12-03,2023-24,True,True,True,0,-1797.9911296249968
NVTS,2024-12-05,2023-24,True,True,True,1,-1019.9989193464278
IREN,2024-12-05,2023-24,True,True,True,0,-245.74070219999527
BTDR,2024-12-06,2023-24,True,True,True,1,-764.8259504999896
ZJK,2024-12-06,2023-24,True,True,True,1,12876.425126000013
NOTV,2024-12-10,2023-24,True,True,True,1,-1674.8711262446477
ZENA,2024-12-12,2023-24,True,True,True,0,-56.90538000000545
BTDR,2024-12-12,2023-24,True,True,True,0,-1487.369729357145
BTCT,2024-12-13,2023-24,True,True,True,0,-485.5835999999943
