symbol,date,period,delay_s,status,fill_price,t_star,pnl_replay
VTAK,2023-01-12,2023-24,0,missing_tick_data,,,
VTAK,2023-01-12,2023-24,1,missing_tick_data,,,
VTAK,2023-01-12,2023-24,2,missing_tick_data,,,
VTAK,2023-01-12,2023-24,3,missing_tick_data,,,
VTAK,2023-01-12,2023-24,5,missing_tick_data,,,
VTAK,2023-01-12,2023-24,10,missing_tick_data,,,
VTAK,2023-01-12,2023-24,15,missing_tick_data,,,
VTAK,2023-01-12,2023-24,20,missing_tick_data,,,
VTAK,2023-01-12,2023-24,30,missing_tick_data,,,
VTAK,2023-01-12,2023-24,45,missing_tick_data,,,
VTAK,2023-01-12,2023-24,60,missing_tick_data,,,
VTAK,2023-01-12,2023-24,90,missing_tick_data,,,
NRGV,2023-01-18,2023-24,0,skipped_guard,,0.690182325,0.0
NRGV,2023-01-18,2023-24,1,skipped_guard,,0.690182325,0.0
NRGV,2023-01-18,2023-24,2,filled,4.3,0.690182325,-20.975707288630186
NRGV,2023-01-18,2023-24,3,filled,4.3,0.690182325,-20.975707288630186
NRGV,2023-01-18,2023-24,5,skipped_guard,,0.690182325,0.0
NRGV,2023-01-18,2023-24,10,filled,4.24,0.690182325,-20.971707288130187
NRGV,2023-01-18,2023-24,15,filled,4.27,0.690182325,-20.973707288380186
NRGV,2023-01-18,2023-24,20,skipped_guard,,0.690182325,0.0
NRGV,2023-01-18,2023-24,30,filled,4.27,0.690182325,-20.973707288380186
NRGV,2023-01-18,2023-24,45,skipped_guard,,0.690182325,0.0
NRGV,2023-01-18,2023-24,60,skipped_guard,,0.690182325,0.0
NRGV,2023-01-18,2023-24,90,skipped_guard,,0.690182325,0.0
BBAI,2023-02-08,2023-24,0,filled,5.6,2.7729327,-131.45752489326034
BBAI,2023-02-08,2023-24,1,filled,5.6,2.7729327,-131.45752489326034
BBAI,2023-02-08,2023-24,2,filled,5.6,2.7729327,-131.45752489326034
BBAI,2023-02-08,2023-24,3,filled,5.6,2.7729327,-131.45752489326034
BBAI,2023-02-08,2023-24,5,filled,5.58,2.7729327,-131.45619155976033
BBAI,2023-02-08,2023-24,10,filled,5.59,2.7729327,-131.45685822651032
BBAI,2023-02-08,2023-24,15,filled,5.59,2.7729327,-131.45685822651032
BBAI,2023-02-08,2023-24,20,filled,5.58,2.7729327,-131.45619155976033
