,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start
entered,1.0,-0.06,0.02,-0.04,-0.08,0.31,0.43,0.34,0.13,0.37,0.02,-0.0,-0.01,0.03,0.04,0.01,0.01,-0.02,-0.09,0.11,-0.12,-0.06,0.1,0.05
range_size_pct,-0.06,1.0,0.21,0.92,-0.2,0.09,0.07,0.14,0.04,0.01,0.14,0.33,-0.04,0.0,0.37,0.16,0.13,0.34,-0.13,0.14,-0.2,-0.22,0.12,0.1
range_total_volume,0.02,0.21,1.0,0.26,-0.26,0.08,0.06,0.09,0.01,0.07,-0.02,0.07,0.05,0.6,0.12,-0.01,0.03,0.12,-0.07,0.09,-0.11,-0.1,0.03,0.03
range_avg_bar_range_pct,-0.04,0.92,0.26,1.0,-0.24,0.09,0.06,0.09,0.05,-0.01,0.15,0.37,-0.01,0.04,0.42,0.14,0.14,0.38,-0.15,0.16,-0.21,-0.21,0.12,0.1
range_volume_stddev_pct,-0.08,-0.2,-0.26,-0.24,1.0,-0.14,-0.11,-0.13,-0.01,-0.1,-0.02,-0.12,0.04,-0.23,-0.25,-0.02,-0.05,-0.03,0.15,-0.16,0.21,0.09,-0.09,-0.06
bars_green_in_range,0.31,0.09,0.08,0.09,-0.14,1.0,0.66,0.63,0.43,0.57,-0.01,-0.03,-0.02,0.02,0.01,-0.02,-0.0,-0.04,-0.05,0.04,-0.01,-0.09,0.02,0.04
range_close_position,0.43,0.07,0.06,0.06,-0.11,0.66,1.0,0.7,0.4,0.79,-0.01,-0.05,-0.02,0.0,-0.01,-0.01,-0.01,-0.03,-0.04,0.05,-0.03,-0.11,0.03,0.02
range_return_pct,0.34,0.14,0.09,0.09,-0.13,0.63,0.7,1.0,0.21,0.82,-0.06,-0.07,-0.03,-0.01,-0.03,-0.08,-0.02,-0.03,-0.02,0.03,0.01,-0.09,0.03,0.02
last_bar_green,0.13,0.04,0.01,0.05,-0.01,0.43,0.4,0.21,1.0,0.35,0.02,0.0,-0.03,-0.01,-0.02,-0.0,0.01,-0.01,0.04,-0.0,-0.0,0.02,-0.01,-0.02
range_vwap_distance_pct,0.37,0.01,0.07,-0.01,-0.1,0.57,0.79,0.82,0.35,1.0,-0.02,-0.08,-0.01,-0.0,-0.06,-0.04,-0.04,-0.04,-0.01,0.03,0.0,-0.07,0.02,-0.01
